video_id,start_frame,end_frame,behavior_label,operational_state,annotation_version,conversion_fps,conversion_note
video_01,0,3802,alert,valid,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_01,3803,4343,fatigue,valid,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_01,4344,5731,distraction,valid,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_01,5732,6019,fatigue,valid,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_01,6020,6308,alert,valid,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_01,6309,10615,distraction,valid,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_01,10616,17662,alert,valid,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_01,17663,17860,fatigue,valid,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_01,17861,19951,alert,valid,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_01,19952,25844,,operator_absent,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_01,25845,26403,alert,valid,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_01,26404,29521,,operator_absent,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_01,29522,32012,alert,valid,v1,18.02297333739436,average_container_fps; inclusive_seconds; clipped_to_video
video_02,0,2373,alert,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,2374,2404,distraction,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,2405,2435,alert,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,2436,2514,distraction,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,2515,8062,alert,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,8063,8172,distraction,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,8173,12274,alert,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,12275,14065,distraction,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,14066,19613,alert,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,19614,20760,distraction,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,20761,23573,alert,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,23574,24170,distraction,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,24171,25852,alert,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,25853,25962,distraction,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,25963,26638,alert,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,26639,27235,distraction,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_02,27236,28199,alert,valid,v1,15.715857300015715,average_container_fps; inclusive_seconds; clipped_to_video
video_03,0,7772,alert,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,7773,15306,,operator_absent,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,15307,18095,alert,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,18096,18197,distraction,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,18198,19983,alert,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,19984,20391,distraction,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,20392,21088,alert,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,21089,21343,distraction,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,21344,25017,alert,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,25018,25187,distraction,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,25188,26479,alert,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,26480,26513,distraction,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,26514,28095,alert,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,28096,28129,fatigue,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,28130,28469,alert,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,28470,28588,fatigue,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,28589,28741,alert,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,28742,28877,fatigue,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,28878,28911,alert,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,28912,29013,fatigue,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,29014,29523,distraction,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,29524,29813,alert,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,29814,30119,distraction,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_03,30120,30333,alert,valid,v1,17.00686183760897,average_container_fps; inclusive_seconds; clipped_to_video
video_04,0,409,alert,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,410,997,distraction,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,998,1514,alert,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,1515,16673,,operator_absent,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,16674,18757,alert,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,18758,18917,distraction,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,18918,20770,alert,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,20771,20895,distraction,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,20896,20930,fatigue,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,20931,21002,alert,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,21003,21037,fatigue,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,21038,21091,distraction,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,21092,22498,alert,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,22499,22712,distraction,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,22713,26791,alert,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,26792,27789,distraction,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
video_04,27790,31789,alert,valid,v1,17.813525615558454,average_container_fps; inclusive_seconds; clipped_to_video
