sample_id,video_id,frame_index,timestamp_seconds,behavior_label,face_detected_baseline,pose_bin_baseline,selection_seed,annotation_status,review_status
video_01__frame_000091,video_01,91,5.0491113922469,alert,1,medium,42,pending,pending
video_01__frame_000284,video_01,284,15.75766632305626,alert,1,medium,42,pending,pending
video_01__frame_000659,video_01,659,36.56444403835942,alert,1,large,42,pending,pending
video_01__frame_000896,video_01,896,49.714327554431016,alert,1,near,42,pending,pending
video_01__frame_001992,video_01,1992,110.52560322369038,alert,1,large,42,pending,pending
video_01__frame_003341,video_01,3341,185.37451825820762,alert,1,near,42,pending,pending
video_01__frame_003482,video_01,3482,193.1978666791616,alert,1,medium,42,pending,pending
video_01__frame_003835,video_01,3835,212.78398010183363,fatigue,1,near,42,pending,pending
video_01__frame_003876,video_01,3876,215.05885446537346,fatigue,1,medium,42,pending,pending
video_01__frame_003913,video_01,3913,217.1117898666167,fatigue,0,unknown,42,pending,pending
video_01__frame_003957,video_01,3957,219.55311845187893,fatigue,1,large,42,pending,pending
video_01__frame_003997,video_01,3997,221.7725080748446,fatigue,0,unknown,42,pending,pending
video_01__frame_004055,video_01,4055,224.99062302814482,fatigue,0,unknown,42,pending,pending
video_01__frame_004106,video_01,4106,227.82034479742606,fatigue,1,medium,42,pending,pending
video_01__frame_004158,video_01,4158,230.7055513072814,fatigue,0,unknown,42,pending,pending
video_01__frame_004202,video_01,4202,233.14687989254367,fatigue,0,unknown,42,pending,pending
video_01__frame_004238,video_01,4238,235.14433055321277,fatigue,0,unknown,42,pending,pending
video_01__frame_004275,video_01,4275,237.19726595445601,fatigue,0,unknown,42,pending,pending
video_01__frame_004312,video_01,4312,239.25020135569926,fatigue,1,large,42,pending,pending
video_01__frame_004543,video_01,4543,252.067176428326,distraction,1,medium,42,pending,pending
video_01__frame_004588,video_01,4588,254.56398975416238,distraction,1,medium,42,pending,pending
video_01__frame_004646,video_01,4646,257.7821047074626,distraction,1,large,42,pending,pending
video_01__frame_004722,video_01,4722,261.99894499109735,distraction,0,unknown,42,pending,pending
video_01__frame_005225,video_01,5225,289.90776949989066,distraction,0,unknown,42,pending,pending
video_01__frame_005264,video_01,5264,292.0716743822822,distraction,1,medium,42,pending,pending
video_01__frame_005439,video_01,5439,301.781503982757,distraction,0,unknown,42,pending,pending
video_01__frame_005492,video_01,5492,304.72219523318654,distraction,0,unknown,42,pending,pending
video_01__frame_005615,video_01,5615,311.54681832380595,distraction,0,unknown,42,pending,pending
video_01__frame_005745,video_01,5745,318.7598345984444,fatigue,0,unknown,42,pending,pending
video_01__frame_005786,video_01,5786,321.0347089619842,fatigue,0,unknown,42,pending,pending
video_01__frame_005847,video_01,5847,324.41927813700687,fatigue,1,near,42,pending,pending
video_01__frame_005889,video_01,5889,326.7496372411208,fatigue,0,unknown,42,pending,pending
video_01__frame_005926,video_01,5926,328.80257264236405,fatigue,1,medium,42,pending,pending
video_01__frame_005965,video_01,5965,330.9664775247556,fatigue,1,large,42,pending,pending
video_01__frame_006024,video_01,6024,334.24007721862995,alert,0,unknown,42,pending,pending
video_01__frame_006062,video_01,6062,336.3484973604473,alert,1,near,42,pending,pending
video_01__frame_006150,video_01,6150,341.2311545309718,alert,1,near,42,pending,pending
video_01__frame_006276,video_01,6276,348.22223184331364,alert,1,near,42,pending,pending
video_01__frame_006317,video_01,6317,350.49710620685346,distraction,1,large,42,pending,pending
video_01__frame_006557,video_01,6557,363.8134439446475,distraction,1,medium,42,pending,pending
video_01__frame_006739,video_01,6739,373.9116667291413,distraction,1,medium,42,pending,pending
video_01__frame_007390,video_01,7390,410.0322328429076,distraction,0,unknown,42,pending,pending
video_01__frame_007531,video_01,7531,417.85558126386155,distraction,1,near,42,pending,pending
video_01__frame_007868,video_01,7868,436.55393883734735,distraction,0,unknown,42,pending,pending
video_01__frame_007935,video_01,7935,440.27141645581486,distraction,1,near,42,pending,pending
video_01__frame_007997,video_01,7997,443.7114703714116,distraction,1,medium,42,pending,pending
video_01__frame_008042,video_01,8042,446.208283697248,distraction,1,near,42,pending,pending
video_01__frame_008114,video_01,8114,450.2031850185862,distraction,1,near,42,pending,pending
video_01__frame_008341,video_01,8341,462.7982211289164,distraction,1,near,42,pending,pending
video_01__frame_008520,video_01,8520,472.72998969168776,distraction,1,near,42,pending,pending
video_01__frame_008565,video_01,8565,475.22680301752416,distraction,1,near,42,pending,pending
video_01__frame_008643,video_01,8643,479.5546127823072,distraction,1,medium,42,pending,pending
video_01__frame_009253,video_01,9253,513.4003045325337,distraction,1,near,42,pending,pending
video_01__frame_009357,video_01,9357,519.1707175522445,distraction,1,near,42,pending,pending
video_01__frame_009448,video_01,9448,524.2198289444913,distraction,0,unknown,42,pending,pending
video_01__frame_009887,video_01,9887,548.5776300565395,distraction,1,large,42,pending,pending
video_01__frame_009966,video_01,9966,552.9609245618967,distraction,0,unknown,42,pending,pending
video_01__frame_010038,video_01,10038,556.955825883235,distraction,1,near,42,pending,pending
video_01__frame_010075,video_01,10075,559.0087612844782,distraction,1,large,42,pending,pending
video_01__frame_010116,video_01,10116,561.283635648018,distraction,1,medium,42,pending,pending
video_01__frame_010167,video_01,10167,564.1133574172992,distraction,1,large,42,pending,pending
video_01__frame_010206,video_01,10206,566.2772622996907,distraction,1,medium,42,pending,pending
video_01__frame_010259,video_01,10259,569.2179535501202,distraction,1,medium,42,pending,pending
video_01__frame_010302,video_01,10302,571.6037973948083,distraction,1,large,42,pending,pending
video_01__frame_010473,video_01,10473,581.0916880329867,distraction,1,large,42,pending,pending
video_01__frame_010532,video_01,10532,584.365287726861,distraction,1,large,42,pending,pending
video_01__frame_010569,video_01,10569,586.4182231281043,distraction,1,large,42,pending,pending
video_01__frame_010614,video_01,10614,588.9150364539406,distraction,1,large,42,pending,pending
