run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
final__screening__deep__inception_individual__r0__w150__fold_1__seed_42,screening,deep,temporal,screening,inception_individual,R0,150,1,42,class_weights,3018b493329ae348604c883000ffea4d04b3d812538b73efb676d9b47eb808ea,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__inception_individual__r0__w150__fold_2__seed_42,screening,deep,temporal,screening,inception_individual,R0,150,2,42,class_weights,fa9418f70ad9424d54de341dd3ec84cd62433c0dbb81a10259f473654b127b57,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__inception_individual__r0__w150__fold_3__seed_42,screening,deep,temporal,screening,inception_individual,R0,150,3,42,class_weights,dbc9052ee2db5a59d577383856e11a223d0b28651ef5f7052f0ad75dfc9c2539,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__inception_individual__r0__w150__fold_4__seed_42,screening,deep,temporal,screening,inception_individual,R0,150,4,42,class_weights,5a1cf881312f855471dc3a7f740689c8ac10bea19df512773b3f8601de20a178,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__inception_individual__r0__w30__fold_1__seed_42,screening,deep,temporal,screening,inception_individual,R0,30,1,42,class_weights,53211f640a086fb95de9bf4200172f29e1e4a2dcc6c1edd7f156bef2d65e0ce3,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__inception_individual__r0__w30__fold_2__seed_42,screening,deep,temporal,screening,inception_individual,R0,30,2,42,class_weights,3fa4f7e0e39358f13a0c8e574202e81d2465311ddc5e65f6abad6d4ae0fd4633,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__inception_individual__r0__w30__fold_3__seed_42,screening,deep,temporal,screening,inception_individual,R0,30,3,42,class_weights,6168dcd45d25d3e2f9bf55a351bbbd094b57a2b5bf9bc3ac2197a0438d3a864e,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__inception_individual__r0__w30__fold_4__seed_42,screening,deep,temporal,screening,inception_individual,R0,30,4,42,class_weights,6f44f92a3e39f1bdd01feb41b78fba336c22bb397f7e3a3e5e73fcb671d56ff8,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__inception_individual__r0__w60__fold_1__seed_42,screening,deep,temporal,screening,inception_individual,R0,60,1,42,class_weights,32a3afd64327dfb12a46b8f0c7ad2f6823d29bd0ede37c6faa1fe7ee4aeb29de,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__inception_individual__r0__w60__fold_2__seed_42,screening,deep,temporal,screening,inception_individual,R0,60,2,42,class_weights,c7b2b776c581b1ef03928ced2359be7bd3edf0a42a22ad07d45659fd4b0d369c,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__inception_individual__r0__w60__fold_3__seed_42,screening,deep,temporal,screening,inception_individual,R0,60,3,42,class_weights,9cb06167ee383a38fd26195a07f695f31c1f716904070491580c627f4778f1cd,pending,new,,,2026-09-15T18:36:42+00:00,
