model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,scope,paradigm,family,seed,representation,window_size_frames,balancing,fingerprint,source,pr_auc_status,event_metrics_status
dummy,R0_flat,1,validation,1194,0.8559463986599665,0.5,0.4611913357400722,0.4611913357400722,"[""attention"", ""distraction""]",[],1.036386294001204,False,final__screening__feature__dummy__r0_flat__w30__fold_1__seed_42,screening,feature,classical,42,R0_flat,30,none,fbc765228e7fb5b41e2d46594a8860f89ef944abb6bdf37d204e59004885c69a,new,pending_probability_support,pending_confirmation
dummy,R0_flat,2,validation,1185,0.9164556962025316,0.5,0.47820343461030385,0.47820343461030385,"[""attention"", ""distraction""]",[],0.37298558600014076,False,final__screening__feature__dummy__r0_flat__w30__fold_2__seed_42,screening,feature,classical,42,R0_flat,30,none,b5b6dbfcd816033ac292afb18c65bfc07475aedddf31f4fde11f1d0d6d1473a0,new,pending_probability_support,pending_confirmation
dummy,R0_flat,3,validation,1158,0.8575129533678757,0.5,0.4616457461645746,0.4616457461645746,"[""attention"", ""distraction""]",[],0.37838971199926164,False,final__screening__feature__dummy__r0_flat__w30__fold_3__seed_42,screening,feature,classical,42,R0_flat,30,none,9c523a1c4d0d906212afb9f2c2fd7e0cb032cfe2d6113d0ae0e795798d1cf653,new,pending_probability_support,pending_confirmation
dummy,R0_flat,4,validation,1137,0.8953386103781882,0.5,0.47238979118329466,0.47238979118329466,"[""attention"", ""distraction""]",[],0.41191423800046323,False,final__screening__feature__dummy__r0_flat__w30__fold_4__seed_42,screening,feature,classical,42,R0_flat,30,none,ac510f4b67774448d5466371ba355be0871fe32a9ff3149d9c69ebe0d6b4764c,new,pending_probability_support,pending_confirmation
dummy,R0_flat,1,validation,1180,0.8593220338983051,0.5,0.4621695533272562,0.4621695533272562,"[""attention"", ""distraction""]",[],0.5797471850000875,False,final__screening__feature__dummy__r0_flat__w60__fold_1__seed_42,screening,feature,classical,42,R0_flat,60,none,4929f113cd176f7afe8d4cc022d4b05ec58635b5d15097568098b3c67ca2ef90,new,pending_probability_support,pending_confirmation
dummy,R0_flat,2,validation,1173,0.9207161125319693,0.5,0.4793608521970706,0.4793608521970706,"[""attention"", ""distraction""]",[],0.5769196290002583,False,final__screening__feature__dummy__r0_flat__w60__fold_2__seed_42,screening,feature,classical,42,R0_flat,60,none,f81651e0534190c792d27f980086ff35a98f57f4205374a911382b1006152eb6,new,pending_probability_support,pending_confirmation
dummy,R0_flat,3,validation,1151,0.8566463944396178,0.5,0.4613944782405241,0.4613944782405241,"[""attention"", ""distraction""]",[],0.5827451080003812,False,final__screening__feature__dummy__r0_flat__w60__fold_3__seed_42,screening,feature,classical,42,R0_flat,60,none,4e66dfadf43ae81bf0f978d939d3bb746dd3aed8dd24f62717aa5e371972e980,new,pending_probability_support,pending_confirmation
dummy,R0_flat,4,validation,1125,0.8995555555555556,0.5,0.4735610669162377,0.4735610669162377,"[""attention"", ""distraction""]",[],0.5831627019997541,False,final__screening__feature__dummy__r0_flat__w60__fold_4__seed_42,screening,feature,classical,42,R0_flat,60,none,10ffa36c7fce4310e992c3c28c0c6e97969d705fcf7e49c03480ce4f37ab164f,new,pending_probability_support,pending_confirmation
dummy,R0_flat,1,validation,1155,0.8649350649350649,0.5,0.4637883008356546,0.4637883008356546,"[""attention"", ""distraction""]",[],1.2223985790005827,False,final__screening__feature__dummy__r0_flat__w150__fold_1__seed_42,screening,feature,classical,42,R0_flat,150,none,b2e8e146e2e516e18c1d645ac07e31d3615df5c15a05e6f89cd3c6bbc20f5c4c,new,pending_probability_support,pending_confirmation
dummy,R0_flat,2,validation,1160,0.9258620689655173,0.5,0.4807520143240824,0.4807520143240824,"[""attention"", ""distraction""]",[],1.2634015309995448,False,final__screening__feature__dummy__r0_flat__w150__fold_2__seed_42,screening,feature,classical,42,R0_flat,150,none,9ef0dcedf4e5209f124b41ba07662127655d4bf263b35f2d1e360d684fa29754,new,pending_probability_support,pending_confirmation
