fold,subset,video_id,window_size_frames,label,num_windows,total_window_frames,missing_frames,mean_missing_rate,fully_observed_windows,fully_missing_windows
1,test,dataset,30,attention,1088,32640,3205,0.09819240196078431,938,69
1,test,dataset,30,distraction,448,13440,9638,0.7171130952380952,77,242
1,test,dataset,30,mixed,597,17910,14649,0.8179229480737018,89,463
1,test,dataset,60,attention,1088,65280,6603,0.10114889705882353,904,58
1,test,dataset,60,distraction,447,26820,19204,0.7160328113348248,62,191
1,test,dataset,60,mixed,596,35760,29171,0.8157438478747203,78,445
1,test,dataset,150,attention,1090,163500,17765,0.10865443425076453,829,44
1,test,dataset,150,distraction,442,66300,47794,0.7208748114630468,35,104
1,test,dataset,150,mixed,593,88950,71837,0.80761101742552,48,412
1,train,dataset,30,attention,2846,85380,8160,0.09557273366127898,2455,191
1,train,dataset,30,distraction,409,12270,6998,0.5703341483292583,144,197
1,train,dataset,30,mixed,1517,45510,44547,0.9788398154251813,25,1472
1,train,dataset,60,attention,2832,169920,16205,0.0953684086629002,2375,156
1,train,dataset,60,distraction,401,24060,13923,0.5786783042394015,122,174
1,train,dataset,60,mixed,1531,91860,89216,0.9712170694535163,30,1466
1,train,dataset,150,attention,2805,420750,41322,0.09821033868092692,2177,117
1,train,dataset,150,distraction,380,57000,34224,0.600421052631579,75,142
1,train,dataset,150,mixed,1555,233250,222565,0.9541907824222937,48,1452
1,validation,dataset,30,attention,1022,30660,3922,0.1279191128506197,824,74
1,validation,dataset,30,distraction,172,5160,2027,0.3928294573643411,82,47
1,validation,dataset,30,mixed,6,180,30,0.16666666666666666,5,1
1,validation,dataset,60,attention,1014,60840,7719,0.12687376725838265,776,44
1,validation,dataset,60,distraction,166,9960,4040,0.40562248995983935,70,36
1,validation,dataset,60,mixed,14,840,136,0.1619047619047619,9,2
1,validation,dataset,150,attention,999,149850,18751,0.1251317984651318,677,17
1,validation,dataset,150,distraction,156,23400,9741,0.41628205128205126,54,16
1,validation,dataset,150,mixed,21,3150,906,0.2876190476190476,10,0
2,test,dataset,30,attention,1580,47400,3578,0.07548523206751055,1411,83
2,test,dataset,30,distraction,295,8850,5599,0.6326553672316384,95,168
2,test,dataset,30,mixed,4,120,29,0.24166666666666667,3,0
2,test,dataset,60,attention,1571,94260,7053,0.07482495225970719,1366,59
2,test,dataset,60,distraction,293,17580,11175,0.6356655290102389,89,155
2,test,dataset,60,mixed,13,780,184,0.2358974358974359,7,1
2,test,dataset,150,attention,1560,234000,17471,0.07466239316239316,1277,35
2,test,dataset,150,distraction,281,42150,27442,0.6510557532621589,64,132
2,test,dataset,150,mixed,30,4500,1117,0.24822222222222223,18,2
2,train,dataset,30,attention,2289,68670,7595,0.11060142711518858,1925,175
2,train,dataset,30,distraction,635,19050,12128,0.6366404199475065,155,296
2,train,dataset,30,mixed,2039,61170,56977,0.9314533267941801,113,1862
2,train,dataset,60,attention,2282,136920,15311,0.11182442302074204,1854,147
2,train,dataset,60,distraction,628,37680,24124,0.6402335456475584,122,230
2,train,dataset,60,mixed,2043,122580,113833,0.9286425191711535,102,1837
2,train,dataset,150,attention,2259,338850,39967,0.11794894496089715,1667,116
2,train,dataset,150,distraction,611,91650,59737,0.6517948717948718,65,124
2,train,dataset,150,mixed,2053,307950,282718,0.918064620880013,82,1789
2,validation,dataset,30,attention,1086,32580,4114,0.12627378759975444,880,76
2,validation,dataset,30,distraction,99,2970,936,0.3151515151515151,53,22
2,validation,dataset,30,mixed,65,1950,1860,0.9538461538461539,3,62
2,validation,dataset,60,attention,1080,64800,8163,0.12597222222222224,834,52
2,validation,dataset,60,distraction,93,5580,1868,0.3347670250896057,43,16
2,validation,dataset,60,mixed,71,4260,3666,0.8605633802816901,8,61
2,validation,dataset,150,attention,1074,161100,20400,0.1266294227188082,738,27
2,validation,dataset,150,distraction,86,12900,4580,0.3550387596899225,35,6
2,validation,dataset,150,mixed,66,9900,8473,0.8558585858585859,6,53
3,test,dataset,30,attention,1371,41130,3350,0.08144906394359348,1192,71
3,test,dataset,30,distraction,142,4260,1983,0.46549295774647886,50,46
3,test,dataset,30,mixed,508,15240,14411,0.9456036745406824,22,473
3,test,dataset,60,attention,1367,82020,6626,0.08078517434772006,1159,63
3,test,dataset,60,distraction,134,8040,3922,0.48781094527363184,30,35
3,test,dataset,60,mixed,518,31080,28924,0.9306306306306307,25,468
3,test,dataset,150,attention,1365,204750,16489,0.08053235653235653,1080,53
3,test,dataset,150,distraction,130,19500,9699,0.49738461538461537,10,18
3,test,dataset,150,mixed,518,77700,72367,0.9313642213642214,15,458
3,train,dataset,30,attention,2600,78000,7234,0.09274358974358975,2247,156
3,train,dataset,30,distraction,724,21720,14876,0.6848987108655616,167,399
3,train,dataset,30,mixed,1537,46110,42627,0.9244632400780741,94,1390
3,train,dataset,60,attention,2589,155340,14548,0.09365263293420883,2157,119
3,train,dataset,60,distraction,718,43080,29652,0.6883008356545961,142,335
3,train,dataset,60,mixed,1546,92760,85206,0.9185640362225097,88,1371
3,train,dataset,150,attention,2568,385200,37824,0.09819314641744548,1949,81
3,train,dataset,150,distraction,699,104850,73529,0.7012780162136385,89,229
3,train,dataset,150,mixed,1562,234300,211620,0.9032010243277849,77,1333
3,validation,dataset,30,attention,993,29790,4916,0.16502181940248406,777,111
3,validation,dataset,30,distraction,165,4950,1804,0.36444444444444446,88,41
3,validation,dataset,30,mixed,64,1920,1830,0.953125,3,61
3,validation,dataset,60,attention,986,59160,9772,0.1651791751183232,738,78
3,validation,dataset,60,distraction,165,9900,3598,0.36343434343434344,82,31
3,validation,dataset,60,mixed,65,3900,3610,0.9256410256410257,4,60
3,validation,dataset,150,attention,969,145350,24434,0.1681045751633987,653,44
3,validation,dataset,150,distraction,156,23400,8685,0.37115384615384617,65,15
3,validation,dataset,150,mixed,73,10950,8561,0.7818264840182648,14,53
4,test,dataset,30,attention,960,28800,5367,0.18635416666666665,710,115
4,test,dataset,30,distraction,146,4380,1443,0.32945205479452055,83,30
4,test,dataset,30,mixed,1012,30360,30139,0.9927206851119894,5,1000
4,test,dataset,60,attention,957,57420,10664,0.18571926158133054,666,80
4,test,dataset,60,distraction,143,8580,2871,0.3346153846153846,73,20
4,test,dataset,60,mixed,1016,60960,60301,0.9891896325459317,7,999
4,test,dataset,150,attention,946,141900,27022,0.19042988019732207,555,46
4,test,dataset,150,distraction,132,19800,6978,0.3524242424242424,55,8
4,test,dataset,150,mixed,1032,154800,150227,0.9704586563307493,25,992
4,train,dataset,30,attention,2978,89340,6201,0.06940899932840833,2664,138
4,train,dataset,30,distraction,764,22920,15906,0.693979057591623,158,425
4,train,dataset,30,mixed,1030,30900,26867,0.8694822006472492,110,862
4,train,dataset,60,attention,2965,177900,12370,0.06953344575604271,2584,115
4,train,dataset,60,distraction,758,45480,31682,0.6966138962181179,127,356
4,train,dataset,60,mixed,1039,62340,53766,0.8624639076034649,101,840
4,train,dataset,150,attention,2946,441900,31823,0.07201403032360262,2406,88
4,train,dataset,150,distraction,743,111450,78564,0.7049259757738896,68,243
4,train,dataset,150,mixed,1043,156450,133453,0.8530073505912432,69,799
4,validation,dataset,30,attention,1018,30540,3719,0.12177472167648985,843,81
4,validation,dataset,30,distraction,119,3570,1314,0.3680672268907563,62,31
4,validation,dataset,30,mixed,66,1980,1860,0.9393939393939394,4,62
4,validation,dataset,60,attention,1012,60720,7493,0.12340250329380764,805,63
4,validation,dataset,60,distraction,113,6780,2614,0.3855457227138643,54,25
4,validation,dataset,60,mixed,72,4320,3616,0.837037037037037,9,60
4,validation,dataset,150,attention,1002,150300,18993,0.12636726546906188,722,44
4,validation,dataset,150,distraction,103,15450,6217,0.4023948220064725,41,11
4,validation,dataset,150,mixed,74,11100,8628,0.7772972972972974,12,53
