video_id,label,total_frames,missing_frames,missing_rate
dataset,attention,75064,7716,0.10279228391772355
dataset,distraction,15569,9357,0.6010019911362322
video_01,attention,16280,1559,0.09576167076167076
video_01,distraction,6722,4817,0.7166022017256769
video_02,attention,23738,1796,0.07565928047855759
video_02,distraction,4462,2807,0.6290900941281936
video_03,attention,20624,1688,0.08184639255236617
video_03,distraction,2176,1005,0.4618566176470588
video_04,attention,14422,2673,0.18534183885730135
video_04,distraction,2209,728,0.32956088727931193
