run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
final__screening__deep__inception_individual__r0__w150__fold_1__seed_42,screening,deep,temporal,screening,inception_individual,R0,150,1,42,class_weights,ce22532b08c9f6cc72444db0094c96b2def37c11f80d70f585fec46235925bbd,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__inception_individual__r0__w150__fold_2__seed_42,screening,deep,temporal,screening,inception_individual,R0,150,2,42,class_weights,d336fa1cadfa196698cf2af0214f0fee690c796e80f212e3d6396cc18179f425,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__inception_individual__r0__w150__fold_3__seed_42,screening,deep,temporal,screening,inception_individual,R0,150,3,42,class_weights,e567856db58a307f8739814dc420b3246f7095aa44a25c49b82874c4530dd543,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__inception_individual__r0__w150__fold_4__seed_42,screening,deep,temporal,screening,inception_individual,R0,150,4,42,class_weights,521144548baaca093bc2161ebca358ab5d6a24a4db20ccdb1dead8594531b2c5,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__inception_individual__r0__w30__fold_1__seed_42,screening,deep,temporal,screening,inception_individual,R0,30,1,42,class_weights,31ed7cb1d51c012fc5cf2f8cd3bdeeeb9fdf37872d31d17e8a813052bf1c646b,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__inception_individual__r0__w30__fold_2__seed_42,screening,deep,temporal,screening,inception_individual,R0,30,2,42,class_weights,60832434d64d23931afec5e0a7bff7f8678955b1deabab2d961bde1cc5253849,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__inception_individual__r0__w30__fold_3__seed_42,screening,deep,temporal,screening,inception_individual,R0,30,3,42,class_weights,0ea78b5f8504de2a1d788b884607fd9f1bedefc0051af9209d3aeb72b0c29bd5,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__inception_individual__r0__w30__fold_4__seed_42,screening,deep,temporal,screening,inception_individual,R0,30,4,42,class_weights,b231f12e7279b042dda955da19843cadbdeec90aa45da30375e6818c5dc4fc90,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__inception_individual__r0__w60__fold_1__seed_42,screening,deep,temporal,screening,inception_individual,R0,60,1,42,class_weights,63eb5fcb2dff220143666b939cd65c5111b61878d5eafa19de0ee06a12ca6385,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__inception_individual__r0__w60__fold_2__seed_42,screening,deep,temporal,screening,inception_individual,R0,60,2,42,class_weights,ebc419e91875495d5eb52034fde18b0ba479bf4a36c7e0cbabb3bc76f5f1ee61,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__inception_individual__r0__w60__fold_3__seed_42,screening,deep,temporal,screening,inception_individual,R0,60,3,42,class_weights,2d7c557555c04985a7ffaa5c6dff1b2183e11a3fe3d890ca596dd16cf4a3cf81,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__inception_individual__r0__w60__fold_4__seed_42,screening,deep,temporal,screening,inception_individual,R0,60,4,42,class_weights,c403aeb551b793d6b1a47b034b724515baf09b4ffea1c3f8a814665a3ea10ff7,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__lstm__r0__w150__fold_1__seed_42,screening,deep,temporal,screening,lstm,R0,150,1,42,class_weights,d277be5b6aa0ee16385a62f64bea87263b56f3c78cb9cfed2ca92c70da2eb5ed,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__lstm__r0__w150__fold_2__seed_42,screening,deep,temporal,screening,lstm,R0,150,2,42,class_weights,4a36a555211f0951111ffd0c8561916ec5be62f467f134f313e72ec691925dc5,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__lstm__r0__w150__fold_3__seed_42,screening,deep,temporal,screening,lstm,R0,150,3,42,class_weights,3e1adae5401458203ebe46e778573c6b436da585071d1371985db7cc528f24b9,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__lstm__r0__w150__fold_4__seed_42,screening,deep,temporal,screening,lstm,R0,150,4,42,class_weights,189887f425bc1f4498ab910a7497b198872933516b0f40b86e7ab6324d941ac0,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__lstm__r0__w30__fold_1__seed_42,screening,deep,temporal,screening,lstm,R0,30,1,42,class_weights,69002d43691476917fc77f9c07ff48b4f9a0423c607730ed4700580d2fdaf01e,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__lstm__r0__w30__fold_2__seed_42,screening,deep,temporal,screening,lstm,R0,30,2,42,class_weights,735684eae3cb3955a8375992eb4d7955d8d1ee78b005a2a9528369b4fca5470c,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__lstm__r0__w30__fold_3__seed_42,screening,deep,temporal,screening,lstm,R0,30,3,42,class_weights,681bf5cb2e5b5a6c0e795bdaf75affda57fb2758f7fb32c28e466011b20dbc13,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__lstm__r0__w30__fold_4__seed_42,screening,deep,temporal,screening,lstm,R0,30,4,42,class_weights,21955b8d471f77c17c1c460a2f802161c14acd5b81b8b98737fce1cf6151f841,pending,new,,,2026-09-15T18:12:46+00:00,
