model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,scope,paradigm,family,seed,representation,window_size_frames,balancing,fingerprint,source,pr_auc_status,event_metrics_status
dummy,R0_flat,1,validation,1194,0.8559463986599665,0.5,0.4611913357400722,0.4611913357400722,"[""attention"", ""distraction""]",[],1.0195807059999424,False,final__screening__feature__dummy__r0_flat__w30__fold_1__seed_42,screening,feature,classical,42,R0_flat,30,none,56d3f11764cadabbbc69516454973a7892ca700c3e702203b007bfcd0428a53a,new,pending_probability_support,pending_confirmation
dummy,R0_flat,2,validation,1185,0.9164556962025316,0.5,0.47820343461030385,0.47820343461030385,"[""attention"", ""distraction""]",[],0.36266725299992686,False,final__screening__feature__dummy__r0_flat__w30__fold_2__seed_42,screening,feature,classical,42,R0_flat,30,none,9f77a0d1c25a9ab019ceba1760f14cf4768f03573c904d4848d313cd252d8523,new,pending_probability_support,pending_confirmation
dummy,R0_flat,3,validation,1158,0.8575129533678757,0.5,0.4616457461645746,0.4616457461645746,"[""attention"", ""distraction""]",[],0.3646038500000941,False,final__screening__feature__dummy__r0_flat__w30__fold_3__seed_42,screening,feature,classical,42,R0_flat,30,none,0e1429081b52e137a4c7fbc7b8e43010eeb180689012fcda5be91d67eef8e719,new,pending_probability_support,pending_confirmation
dummy,R0_flat,4,validation,1137,0.8953386103781882,0.5,0.47238979118329466,0.47238979118329466,"[""attention"", ""distraction""]",[],0.41139739099980943,False,final__screening__feature__dummy__r0_flat__w30__fold_4__seed_42,screening,feature,classical,42,R0_flat,30,none,baec3d743c6b842b13cce985fb5324771d7448e57ff043f7157d2036fda969a1,new,pending_probability_support,pending_confirmation
dummy,R0_flat,1,validation,1180,0.8593220338983051,0.5,0.4621695533272562,0.4621695533272562,"[""attention"", ""distraction""]",[],0.5768425389996992,False,final__screening__feature__dummy__r0_flat__w60__fold_1__seed_42,screening,feature,classical,42,R0_flat,60,none,5c9289f911f929a3e1340001a327eb4ad0faf73be1437c042a18484961bf6b4a,new,pending_probability_support,pending_confirmation
dummy,R0_flat,2,validation,1173,0.9207161125319693,0.5,0.4793608521970706,0.4793608521970706,"[""attention"", ""distraction""]",[],0.5733750510007667,False,final__screening__feature__dummy__r0_flat__w60__fold_2__seed_42,screening,feature,classical,42,R0_flat,60,none,0b7b34248aa6b1b2dda344a33c817ec28175d6f3c9906d5641b32b30c1f5561d,new,pending_probability_support,pending_confirmation
dummy,R0_flat,3,validation,1151,0.8566463944396178,0.5,0.4613944782405241,0.4613944782405241,"[""attention"", ""distraction""]",[],0.5779146969998692,False,final__screening__feature__dummy__r0_flat__w60__fold_3__seed_42,screening,feature,classical,42,R0_flat,60,none,4abbb747db075e2bdf5f79c72f5e0b236530890632698b90b693842f18e95a9f,new,pending_probability_support,pending_confirmation
dummy,R0_flat,4,validation,1125,0.8995555555555556,0.5,0.4735610669162377,0.4735610669162377,"[""attention"", ""distraction""]",[],0.5783179039999595,False,final__screening__feature__dummy__r0_flat__w60__fold_4__seed_42,screening,feature,classical,42,R0_flat,60,none,e4df3edccb0620050b84985b2b2a2db89b517f41a31952bb4555539b66091f44,new,pending_probability_support,pending_confirmation
dummy,R0_flat,1,validation,1155,0.8649350649350649,0.5,0.4637883008356546,0.4637883008356546,"[""attention"", ""distraction""]",[],1.1936545449998448,False,final__screening__feature__dummy__r0_flat__w150__fold_1__seed_42,screening,feature,classical,42,R0_flat,150,none,2fa4e3be3439f73d20bf8e55121fda32ab8d79cd06395fbca58552a1ab51edfb,new,pending_probability_support,pending_confirmation
dummy,R0_flat,2,validation,1160,0.9258620689655173,0.5,0.4807520143240824,0.4807520143240824,"[""attention"", ""distraction""]",[],1.1984755459998269,False,final__screening__feature__dummy__r0_flat__w150__fold_2__seed_42,screening,feature,classical,42,R0_flat,150,none,d86285a3ca1ae4d82809669a56c98de73bc5a1b8627b062ca0e90cb41e59a027,new,pending_probability_support,pending_confirmation
dummy,R0_flat,3,validation,1125,0.8613333333333333,0.5,0.46275071633237824,0.46275071633237824,"[""attention"", ""distraction""]",[],1.249440863000018,False,final__screening__feature__dummy__r0_flat__w150__fold_3__seed_42,screening,feature,classical,42,R0_flat,150,none,f7e1b4c8a99abe4518450efd3e4c3cfd252cca370dd2ea2c6ccae245fd819bbd,new,pending_probability_support,pending_confirmation
dummy,R0_flat,4,validation,1105,0.9067873303167421,0.5,0.4755576649264357,0.4755576649264357,"[""attention"", ""distraction""]",[],1.2044529999993756,False,final__screening__feature__dummy__r0_flat__w150__fold_4__seed_42,screening,feature,classical,42,R0_flat,150,none,7dbe7f4a1ee77e21317d9b937259c40f6d45814ab76a83989baf98623476e295,new,pending_probability_support,pending_confirmation
logistic_regression,R0_flat,1,validation,1194,0.8090452261306532,0.6031606972193146,0.6051587301587301,0.6051587301587301,"[""attention"", ""distraction""]",[],0.03186807299971406,False,final__screening__feature__logistic_regression__r0_flat__w30__fold_1__seed_42,screening,feature,classical,42,R0_flat,30,none,683ed35b470be03f3a7e405b188a8d606af917f95d6f3593a44d23620f875a25,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,2,validation,1185,0.8286919831223629,0.5806406607511579,0.5600266301355832,0.5600266301355832,"[""attention"", ""distraction""]",[],0.023708300000180316,False,final__screening__feature__logistic_regression__r0_flat__w30__fold_2__seed_42,screening,feature,classical,42,R0_flat,30,none,feeae5316e1a5e832283f48f5b0159559bb206d4a4dabc6f179da92b889476d5,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,3,validation,1158,0.7642487046632125,0.5795385882999177,0.5693718899966355,0.5693718899966355,"[""attention"", ""distraction""]",[],0.024119636999785143,False,final__screening__feature__logistic_regression__r0_flat__w30__fold_3__seed_42,screening,feature,classical,42,R0_flat,30,none,f3c4484996303dab7d9010d504e77adce06003e6f5c9bca9cce541350ffded6b,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,4,validation,1137,0.7968337730870713,0.6045426028957752,0.5766277812076361,0.5766277812076361,"[""attention"", ""distraction""]",[],0.026437391999934334,False,final__screening__feature__logistic_regression__r0_flat__w30__fold_4__seed_42,screening,feature,classical,42,R0_flat,30,none,23326c9ff45258ebbadc8dcbda537a89feb1068208ae9090d6121dd67bf2699a,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,1,validation,1180,0.8076271186440678,0.593349730282075,0.5949952749952749,0.5949952749952749,"[""attention"", ""distraction""]",[],0.05133721200036234,False,final__screening__feature__logistic_regression__r0_flat__w60__fold_1__seed_42,screening,feature,classical,42,R0_flat,60,none,0a00f6f4d4d041198ae50e838b879853519b04b0f40b5e12195a724b00eae752,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,2,validation,1173,0.8235294117647058,0.5749701314217444,0.5507933835677008,0.5507933835677008,"[""attention"", ""distraction""]",[],0.052604215999963344,False,final__screening__feature__logistic_regression__r0_flat__w60__fold_2__seed_42,screening,feature,classical,42,R0_flat,60,none,7cfb8421002541baf40340ceaf5a4315980cb5b3b76b010585090010cdb796e9,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,3,validation,1151,0.7593397046046916,0.5617954391788064,0.5549601410383291,0.5549601410383291,"[""attention"", ""distraction""]",[],0.04989994300012768,False,final__screening__feature__logistic_regression__r0_flat__w60__fold_3__seed_42,screening,feature,classical,42,R0_flat,60,none,58b872cba4576885ace502ddc79abf3b877defa26b7022eea97499950e075df2,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,4,validation,1125,0.7831111111111111,0.5885742768197558,0.5578400041236051,0.5578400041236051,"[""attention"", ""distraction""]",[],0.05515097300030902,False,final__screening__feature__logistic_regression__r0_flat__w60__fold_4__seed_42,screening,feature,classical,42,R0_flat,60,none,a57facbb0c7244d89eaa553dd90168ddb698b0765789f96d350273ae86700e97,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,1,validation,1155,0.8095238095238095,0.5572206822206822,0.5610367892976589,0.5610367892976589,"[""attention"", ""distraction""]",[],0.19567573000040284,False,final__screening__feature__logistic_regression__r0_flat__w150__fold_1__seed_42,screening,feature,classical,42,R0_flat,150,none,d52388c99ee1924b9ece4138166034a1a205c22b102c417d9a0933e2edd57c54,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,2,validation,1160,0.7913793103448276,0.5289939803386601,0.5085434173669467,0.5085434173669467,"[""attention"", ""distraction""]",[],0.16684686500047974,False,final__screening__feature__logistic_regression__r0_flat__w150__fold_2__seed_42,screening,feature,classical,42,R0_flat,150,none,a04cd6f7191492b05d1415e6bfdefb5b766908f8dbd23e82639c05b3ebf7fa1a,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,3,validation,1125,0.7511111111111111,0.5408926728586172,0.5349427758158433,0.5349427758158433,"[""attention"", ""distraction""]",[],0.16569942600017384,False,final__screening__feature__logistic_regression__r0_flat__w150__fold_3__seed_42,screening,feature,classical,42,R0_flat,150,none,8de7efbeaa146e61d106ccc192b6835923ab6066036afaa22576338a41cb0c5d,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,4,validation,1105,0.7484162895927602,0.5259141910354049,0.5048517085751129,0.5048517085751129,"[""attention"", ""distraction""]",[],0.17717452200031403,False,final__screening__feature__logistic_regression__r0_flat__w150__fold_4__seed_42,screening,feature,classical,42,R0_flat,150,none,6af0f757ce91e46e810f37c3c3e32d6bf10f9051f2b0473ec92d04f6684c3e11,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,1,validation,1194,0.8509212730318257,0.49706457925636005,0.4597285067873303,0.4597285067873303,"[""attention"", ""distraction""]",[],5.778173065999908,False,final__screening__feature__svm__r0_flat__w30__fold_1__seed_42,screening,feature,classical,42,R0_flat,30,none,cc880fa8ca1681ef8f643239ea5fba3747e935ff758e65ef6f3d3554e7e110e7,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,2,validation,1185,0.8194092827004219,0.58016630392321,0.555616693769977,0.555616693769977,"[""attention"", ""distraction""]",[],8.300312581999606,False,final__screening__feature__svm__r0_flat__w30__fold_2__seed_42,screening,feature,classical,42,R0_flat,30,none,ea837dd20a9c6cf8e1ad1c9376312683341f7b0371b28814c8be5b18c1caaafe,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,3,validation,1158,0.7564766839378239,0.5851139796759133,0.570501893939394,0.570501893939394,"[""attention"", ""distraction""]",[],10.503846673000226,False,final__screening__feature__svm__r0_flat__w30__fold_3__seed_42,screening,feature,classical,42,R0_flat,30,none,3f76fc89ed677a2aa3b8dba3dd1c62ca56ab6bbd53181fa41fa32a70c3c8c511,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,4,validation,1137,0.8117854001759015,0.6091817866635849,0.586789799744586,0.586789799744586,"[""attention"", ""distraction""]",[],12.36981698299951,False,final__screening__feature__svm__r0_flat__w30__fold_4__seed_42,screening,feature,classical,42,R0_flat,30,none,8170a48df6960c07e2ce80387238cf392d97552fa797202ac5aebb104caf8d6a,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,1,validation,1180,0.8016949152542373,0.6050117630284452,0.6018480066445182,0.6018480066445182,"[""attention"", ""distraction""]",[],9.866180464000536,False,final__screening__feature__svm__r0_flat__w60__fold_1__seed_42,screening,feature,classical,42,R0_flat,60,none,4ef92f5ac41fceab3b3ce36d8880a8038f503f7eb797aa59fd69573ce628b9d7,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,2,validation,1173,0.8098891730605285,0.5479091995221028,0.5287654501137647,0.5287654501137647,"[""attention"", ""distraction""]",[],21.391069237999545,False,final__screening__feature__svm__r0_flat__w60__fold_2__seed_42,screening,feature,classical,42,R0_flat,60,none,c434d281a555454dae2e9d742d1e01fe918085d671b0a414d9ed43a5ac0588c2,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,3,validation,1151,0.7532580364900087,0.5658153543549082,0.556172879735836,0.556172879735836,"[""attention"", ""distraction""]",[],25.08507540299979,False,final__screening__feature__svm__r0_flat__w60__fold_3__seed_42,screening,feature,classical,42,R0_flat,60,none,b493e8e57547f76cda1db1a4a62800c4fa2d299d4e6221f76a273f173948d6d0,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,4,validation,1125,0.7822222222222223,0.5920109132883277,0.5594405594405594,0.5594405594405594,"[""attention"", ""distraction""]",[],26.202650741999605,False,final__screening__feature__svm__r0_flat__w60__fold_4__seed_42,screening,feature,classical,42,R0_flat,60,none,173335ae4e7f69543b2fa1c93dc917616a1ef7650d1e2cd46e0ea18b70d5f53d,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,1,validation,1155,0.7792207792207793,0.5532263032263032,0.5503771473584419,0.5503771473584419,"[""attention"", ""distraction""]",[],4.690414104000411,False,final__screening__feature__svm__r0_flat__w150__fold_1__seed_42,screening,feature,classical,42,R0_flat,150,none,53719512050d323f6f60978f1d6d3cf988ca1006257f23402ab3957925356a78,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,2,validation,1160,0.7508620689655172,0.5071131609718073,0.48560021236406936,0.48560021236406936,"[""attention"", ""distraction""]",[],13.318084192999777,False,final__screening__feature__svm__r0_flat__w150__fold_2__seed_42,screening,feature,classical,42,R0_flat,150,none,ef1774b61c537db8b494e844e795b2a31e364ca26e6afabcab39610ec3969e12,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,3,validation,1125,0.7342222222222222,0.5337778836230849,0.5256371023354661,0.5256371023354661,"[""attention"", ""distraction""]",[],15.242124047000289,False,final__screening__feature__svm__r0_flat__w150__fold_3__seed_42,screening,feature,classical,42,R0_flat,150,none,e55a1c5a58f37cee3ceac3e203d79eb6658f3bf386f6133483c2915b254c7c95,new,average_precision_not_trapezoidal_auc,pending_confirmation
