run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
balance_augmentation::final__screening__deep__lstm__r0__w150__fold_1__seed_42,screening,deep,temporal,screening,lstm,R0,150,1,42,augmentation,c84d2305eaa11da9166b9854ce61957042303c29688b8b68a218c6416cf048a2,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__lstm__r0__w150__fold_2__seed_42,screening,deep,temporal,screening,lstm,R0,150,2,42,augmentation,c76c6efe802bd377d31d3ac0ccf03ae6ea83ff70149e307dcf93da8ff11586d7,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__lstm__r0__w150__fold_3__seed_42,screening,deep,temporal,screening,lstm,R0,150,3,42,augmentation,e6c02d138ab814d6423a874940d65c2655d4bb6a864a7d7930198416d76fe5d6,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__lstm__r0__w150__fold_4__seed_42,screening,deep,temporal,screening,lstm,R0,150,4,42,augmentation,2c738dc349dc9bc821de6d0df3076a65fba9918fb158a89172dfe9192de5a9a7,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__lstm__r0__w60__fold_1__seed_42,screening,deep,temporal,screening,lstm,R0,60,1,42,augmentation,b36db2b7c3d978ed8d61a633240e0f3abad0755ec49873a4e634f2b488aef859,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__lstm__r0__w60__fold_2__seed_42,screening,deep,temporal,screening,lstm,R0,60,2,42,augmentation,8df4f6ce09fd5d5d0caf8cb62e59b285084bfec0f902acee73c9584217d970e5,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__lstm__r0__w60__fold_3__seed_42,screening,deep,temporal,screening,lstm,R0,60,3,42,augmentation,0e571bffc0c79e0c7b521e83405b875df2bc18da08bb1f7373cc5b567eb84d1e,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__lstm__r0__w60__fold_4__seed_42,screening,deep,temporal,screening,lstm,R0,60,4,42,augmentation,d77c8ed469fb2154e487ddd91a1d1bb1f44a45bd5efe73ecab032dd67743d5cb,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__tcn__r0__w150__fold_1__seed_42,screening,deep,temporal,screening,tcn,R0,150,1,42,augmentation,508109abdc66ccf400189583070c4177b7d943a68827e819d139636928b1a5a9,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__tcn__r0__w150__fold_2__seed_42,screening,deep,temporal,screening,tcn,R0,150,2,42,augmentation,babae622e0102615434944574b6af38aa3adfc7ad08e1fe74682c6ade8a08c1d,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__tcn__r0__w150__fold_3__seed_42,screening,deep,temporal,screening,tcn,R0,150,3,42,augmentation,f41f6645e7fafb76c47e9d821f2f8252a87654be73fc0b3183602f657c567fbb,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__tcn__r0__w150__fold_4__seed_42,screening,deep,temporal,screening,tcn,R0,150,4,42,augmentation,5fa152ed9ab64231275521042e04762e27dfb7e37872652e73116707d2f3c4e7,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__tcn__r0__w60__fold_1__seed_42,screening,deep,temporal,screening,tcn,R0,60,1,42,augmentation,0f5a80f27bffe74ef7fbb86961d088c96584bc5849b11343065626d02e2e74c7,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__tcn__r0__w60__fold_2__seed_42,screening,deep,temporal,screening,tcn,R0,60,2,42,augmentation,5ab175a8d1f4bd639e3d3331cbd1bee7c3a0423ecd78bf60fcb668b2843e61c0,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__tcn__r0__w60__fold_3__seed_42,screening,deep,temporal,screening,tcn,R0,60,3,42,augmentation,18d4c7237cca107ea7ebc23955440ec7551eed2179668c862f779ae1677066ce,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
balance_augmentation::final__screening__deep__tcn__r0__w60__fold_4__seed_42,screening,deep,temporal,screening,tcn,R0,60,4,42,augmentation,dcb3967fdcc02a8dc1b22e6f4548a024357b113584dd021d1898e3ef5b69db87,pending,new,,,2026-09-15T18:09:11+00:00,G4 · Aumento de dados: 
