source,scientific_status,run_id,family,model,representation,window_size_frames,fold,seed,balancing,subset,scope,label,metric,value
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_1__seed_42,classical,fixed_rules,R0_flat,150,1,42,none,validation,global,,accuracy,0.08744588744588745
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_1__seed_42,classical,fixed_rules,R0_flat,150,1,42,none,validation,global,,balanced_accuracy,0.20266933600266934
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_1__seed_42,classical,fixed_rules,R0_flat,150,1,42,none,validation,global,,macro_f1,0.05967172639229392
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_1__seed_42,classical,fixed_rules,R0_flat,150,1,42,none,test,global,,accuracy,0.1106020942408377
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_1__seed_42,classical,fixed_rules,R0_flat,150,1,42,none,test,global,,balanced_accuracy,0.23136046797176554
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_1__seed_42,classical,fixed_rules,R0_flat,150,1,42,none,test,global,,macro_f1,0.10741420597874458
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_1__seed_42,classical,fixed_rules,R0_flat,150,1,42,none,all,cost,,train_seconds,0.0
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_2__seed_42,classical,fixed_rules,R0_flat,150,2,42,none,validation,global,,accuracy,0.0896551724137931
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_2__seed_42,classical,fixed_rules,R0_flat,150,2,42,none,validation,global,,balanced_accuracy,0.24617914003388863
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_2__seed_42,classical,fixed_rules,R0_flat,150,2,42,none,validation,global,,macro_f1,0.06611649727909302
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_2__seed_42,classical,fixed_rules,R0_flat,150,2,42,none,test,global,,accuracy,0.053775122216186855
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_2__seed_42,classical,fixed_rules,R0_flat,150,2,42,none,test,global,,balanced_accuracy,0.1703211971895246
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_2__seed_42,classical,fixed_rules,R0_flat,150,2,42,none,test,global,,macro_f1,0.036160596202120594
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_2__seed_42,classical,fixed_rules,R0_flat,150,2,42,none,all,cost,,train_seconds,0.0
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_3__seed_42,classical,fixed_rules,R0_flat,150,3,42,none,validation,global,,accuracy,0.12711111111111112
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_3__seed_42,classical,fixed_rules,R0_flat,150,3,42,none,validation,global,,balanced_accuracy,0.2251284058693048
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_3__seed_42,classical,fixed_rules,R0_flat,150,3,42,none,validation,global,,macro_f1,0.09847109319474058
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_3__seed_42,classical,fixed_rules,R0_flat,150,3,42,none,test,global,,accuracy,0.04018754186202277
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_3__seed_42,classical,fixed_rules,R0_flat,150,3,42,none,test,global,,balanced_accuracy,0.17498706743989764
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_3__seed_42,classical,fixed_rules,R0_flat,150,3,42,none,test,global,,macro_f1,0.0351721393754564
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_3__seed_42,classical,fixed_rules,R0_flat,150,3,42,none,all,cost,,train_seconds,0.0
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_4__seed_42,classical,fixed_rules,R0_flat,150,4,42,none,validation,global,,accuracy,0.08144796380090498
