video_id,label,total_frames,missing_frames,missing_rate
dataset,alert,75064,7716,0.10279228391772355
dataset,distraction,14081,8747,0.6211916767275052
dataset,fatigue,1488,610,0.4099462365591398
video_01,alert,16280,1559,0.09576167076167076
video_01,distraction,5695,4260,0.7480245829675154
video_01,fatigue,1027,557,0.5423563777994158
video_02,alert,23738,1796,0.07565928047855759
video_02,distraction,4462,2807,0.6290900941281936
video_03,alert,20624,1688,0.08184639255236617
video_03,distraction,1785,952,0.5333333333333333
video_03,fatigue,391,53,0.13554987212276215
video_04,alert,14422,2673,0.18534183885730135
video_04,distraction,2139,728,0.34034595605423096
video_04,fatigue,70,0,0.0
