model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,scope,paradigm,family,seed,representation,window_size_frames,balancing,fingerprint,source,pr_auc_status,event_metrics_status
logistic_regression,temporal_behavior_v1,1,validation,1180,0.7127118644067797,0.5652226848808045,0.4123153099623688,0.4123153099623688,"[""alert"", ""fatigue"", ""distraction""]",[],26.842920558000515,False,final__screening__feature__logistic_regression__temporal_behavior_v1__w60__fold_1__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,0e816aa243e62d23e5a1cc66d48f7de168ce8a1ebd13d1d14a460927d532a834,new,pending_probability_support,pending_confirmation
logistic_regression,temporal_behavior_v1,1,test,1534,0.6303780964797914,0.45527164686809624,0.42956790577654985,0.42956790577654985,"[""alert"", ""fatigue"", ""distraction""]",[],26.86578294300034,False,final__screening__feature__logistic_regression__temporal_behavior_v1__w60__fold_1__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,0e816aa243e62d23e5a1cc66d48f7de168ce8a1ebd13d1d14a460927d532a834,new,pending_probability_support,pending_confirmation
logistic_regression,temporal_behavior_v1,2,validation,1173,0.7178175618073316,0.36996426250812214,0.33253991309861836,0.33253991309861836,"[""alert"", ""fatigue"", ""distraction""]",[],31.892000900000312,False,final__screening__feature__logistic_regression__temporal_behavior_v1__w60__fold_2__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,2ea183e3de33565fd4c62404be0ea40e3bce6c59402c8b573b67b54be19d78f1,new,pending_probability_support,pending_confirmation
logistic_regression,temporal_behavior_v1,2,test,1864,0.8433476394849786,0.762691096951356,0.7605180805749105,0.5070120537166071,"[""alert"", ""distraction""]","[""fatigue""]",31.916607082000155,False,final__screening__feature__logistic_regression__temporal_behavior_v1__w60__fold_2__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,2ea183e3de33565fd4c62404be0ea40e3bce6c59402c8b573b67b54be19d78f1,new,pending_probability_support,pending_confirmation
logistic_regression,temporal_behavior_v1,3,validation,1151,0.7141615986099045,0.38547560585032564,0.368276420042406,0.368276420042406,"[""alert"", ""fatigue"", ""distraction""]",[],21.093135826000434,False,final__screening__feature__logistic_regression__temporal_behavior_v1__w60__fold_3__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,871be0154c9013f055c0fd3af7a00d9de2486ad7ed98caa6630523f52544f787,new,pending_probability_support,pending_confirmation
logistic_regression,temporal_behavior_v1,3,test,1500,0.862,0.4948589774851662,0.4642912142912143,0.4642912142912143,"[""alert"", ""fatigue"", ""distraction""]",[],21.11864810299994,False,final__screening__feature__logistic_regression__temporal_behavior_v1__w60__fold_3__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,871be0154c9013f055c0fd3af7a00d9de2486ad7ed98caa6630523f52544f787,new,pending_probability_support,pending_confirmation
logistic_regression,temporal_behavior_v1,4,validation,1125,0.7457777777777778,0.4240640096618358,0.3778933414907719,0.3778933414907719,"[""alert"", ""fatigue"", ""distraction""]",[],26.027981411999463,False,final__screening__feature__logistic_regression__temporal_behavior_v1__w60__fold_4__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,5a24954a9b8cf83c48dff053b61f95872922eda31719f08c600ee38ef6290a03,new,pending_probability_support,pending_confirmation
logistic_regression,temporal_behavior_v1,4,test,1095,0.6894977168949772,0.5556994230157648,0.5388548422107445,0.3592365614738297,"[""alert"", ""distraction""]","[""fatigue""]",26.05273591599962,False,final__screening__feature__logistic_regression__temporal_behavior_v1__w60__fold_4__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,5a24954a9b8cf83c48dff053b61f95872922eda31719f08c600ee38ef6290a03,new,pending_probability_support,pending_confirmation
svm,temporal_behavior_v1,1,validation,1180,0.7364406779661017,0.40150242286994425,0.3854227410050373,0.3854227410050373,"[""alert"", ""fatigue"", ""distraction""]",[],10.505527143000108,False,final__screening__feature__svm__temporal_behavior_v1__w60__fold_1__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,39d54481e7fdc21be05e121a40cc4f4156fc4252bd42249e630ca2e6fbe79123,new,pending_probability_support,pending_confirmation
svm,temporal_behavior_v1,1,test,1534,0.5860495436766623,0.42526815470605994,0.401009821989519,0.401009821989519,"[""alert"", ""fatigue"", ""distraction""]",[],10.606492388000333,False,final__screening__feature__svm__temporal_behavior_v1__w60__fold_1__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,39d54481e7fdc21be05e121a40cc4f4156fc4252bd42249e630ca2e6fbe79123,new,pending_probability_support,pending_confirmation
