fold,subset,video_id,window_size_frames,label,num_windows,total_window_frames,missing_frames,mean_missing_rate,fully_observed_windows,fully_missing_windows
1,test,dataset,30,alert,1088,32640,3205,0.09819240196078431,938,69
1,test,dataset,30,distraction,379,11370,8503,0.7478452066842568,59,217
1,test,dataset,30,fatigue,68,2040,1105,0.5416666666666666,18,24
1,test,dataset,30,mixed,598,17940,14679,0.8182274247491639,89,464
1,test,dataset,60,alert,1088,65280,6603,0.10114889705882353,904,58
1,test,dataset,60,distraction,379,22740,17000,0.7475813544415127,48,175
1,test,dataset,60,fatigue,67,4020,2144,0.5333333333333333,14,15
1,test,dataset,60,mixed,597,35820,29231,0.8160524846454494,78,446
1,test,dataset,150,alert,1090,163500,17765,0.10865443425076453,829,44
1,test,dataset,150,distraction,376,56400,42274,0.7495390070921986,24,100
1,test,dataset,150,fatigue,62,9300,5072,0.5453763440860215,11,2
1,test,dataset,150,mixed,597,89550,72285,0.8072026800670017,48,414
1,train,dataset,30,alert,2846,85380,8160,0.09557273366127898,2455,191
1,train,dataset,30,distraction,388,11640,6899,0.5926975945017182,129,196
1,train,dataset,30,fatigue,20,600,99,0.165,14,1
1,train,dataset,30,mixed,1518,45540,44547,0.9781949934123847,26,1472
1,train,dataset,60,alert,2832,169920,16205,0.0953684086629002,2375,156
1,train,dataset,60,distraction,381,22860,13722,0.600262467191601,110,174
1,train,dataset,60,fatigue,14,840,201,0.2392857142857143,6,0
1,train,dataset,60,mixed,1537,92220,89216,0.9674257211017133,36,1466
1,train,dataset,150,alert,2805,420750,41322,0.09821033868092692,2177,117
1,train,dataset,150,distraction,362,54300,33510,0.6171270718232044,72,142
1,train,dataset,150,fatigue,14,2100,702,0.3342857142857143,0,0
1,train,dataset,150,mixed,1559,233850,222577,0.9517938849689972,51,1452
1,validation,dataset,30,alert,1022,30660,3922,0.1279191128506197,824,74
1,validation,dataset,30,distraction,165,4950,2023,0.4086868686868687,78,47
1,validation,dataset,30,fatigue,7,210,4,0.01904761904761905,4,0
1,validation,dataset,30,mixed,6,180,30,0.16666666666666666,5,1
1,validation,dataset,60,alert,1014,60840,7719,0.12687376725838265,776,44
1,validation,dataset,60,distraction,162,9720,4035,0.41512345679012347,69,36
1,validation,dataset,60,fatigue,4,240,5,0.020833333333333332,1,0
1,validation,dataset,60,mixed,14,840,136,0.1619047619047619,9,2
1,validation,dataset,150,alert,999,149850,18751,0.1251317984651318,677,17
1,validation,dataset,150,distraction,155,23250,9730,0.418494623655914,54,16
1,validation,dataset,150,fatigue,1,150,11,0.07333333333333333,0,0
1,validation,dataset,150,mixed,21,3150,906,0.2876190476190476,10,0
2,test,dataset,30,alert,1580,47400,3578,0.07548523206751055,1411,83
2,test,dataset,30,distraction,295,8850,5599,0.6326553672316384,95,168
2,test,dataset,30,mixed,4,120,29,0.24166666666666667,3,0
2,test,dataset,60,alert,1571,94260,7053,0.07482495225970719,1366,59
2,test,dataset,60,distraction,293,17580,11175,0.6356655290102389,89,155
2,test,dataset,60,mixed,13,780,184,0.2358974358974359,7,1
2,test,dataset,150,alert,1560,234000,17471,0.07466239316239316,1277,35
2,test,dataset,150,distraction,281,42150,27442,0.6510557532621589,64,132
2,test,dataset,150,mixed,30,4500,1117,0.24822222222222223,18,2
2,train,dataset,30,alert,2289,68670,7595,0.11060142711518858,1925,175
2,train,dataset,30,distraction,558,16740,10894,0.6507765830346476,135,270
2,train,dataset,30,fatigue,75,2250,1204,0.5351111111111111,19,25
2,train,dataset,30,mixed,2041,61230,57007,0.9310305405846807,114,1863
2,train,dataset,60,alert,2282,136920,15311,0.11182442302074204,1854,147
2,train,dataset,60,distraction,553,33180,21719,0.6545810729355033,109,214
2,train,dataset,60,fatigue,68,4080,2345,0.5747549019607843,7,15
2,train,dataset,60,mixed,2050,123000,113893,0.9259593495934959,108,1838
2,train,dataset,150,alert,2259,338850,39967,0.11794894496089715,1667,116
2,train,dataset,150,distraction,538,80700,53503,0.6629863692688972,62,120
2,train,dataset,150,fatigue,65,9750,5774,0.5922051282051282,0,2
2,train,dataset,150,mixed,2061,309150,283178,0.9159890021025392,85,1791
2,validation,dataset,30,alert,1086,32580,4114,0.12627378759975444,880,76
2,validation,dataset,30,distraction,79,2370,932,0.39324894514767933,36,22
2,validation,dataset,30,fatigue,20,600,4,0.006666666666666667,17,0
2,validation,dataset,30,mixed,65,1950,1860,0.9538461538461539,3,62
2,validation,dataset,60,alert,1080,64800,8163,0.12597222222222224,834,52
2,validation,dataset,60,distraction,76,4560,1863,0.4085526315789474,29,16
2,validation,dataset,60,fatigue,17,1020,5,0.004901960784313725,14,0
2,validation,dataset,60,mixed,71,4260,3666,0.8605633802816901,8,61
2,validation,dataset,150,alert,1074,161100,20400,0.1266294227188082,738,27
2,validation,dataset,150,distraction,74,11100,4569,0.41162162162162164,24,6
2,validation,dataset,150,fatigue,12,1800,11,0.006111111111111111,11,0
2,validation,dataset,150,mixed,66,9900,8473,0.8558585858585859,6,53
3,test,dataset,30,alert,1371,41130,3350,0.08144906394359348,1192,71
3,test,dataset,30,distraction,117,3510,1880,0.5356125356125356,34,45
3,test,dataset,30,fatigue,25,750,103,0.13733333333333334,16,1
3,test,dataset,30,mixed,508,15240,14411,0.9456036745406824,22,473
3,test,dataset,60,alert,1367,82020,6626,0.08078517434772006,1159,63
3,test,dataset,60,distraction,112,6720,3711,0.5522321428571428,22,35
3,test,dataset,60,fatigue,21,1260,211,0.16746031746031745,7,0
3,test,dataset,60,mixed,519,31140,28924,0.9288375080282595,26,468
3,test,dataset,150,alert,1365,204750,16489,0.08053235653235653,1080,53
3,test,dataset,150,distraction,106,15900,8820,0.5547169811320755,9,18
3,test,dataset,150,fatigue,22,3300,867,0.26272727272727275,0,0
3,test,dataset,150,mixed,520,78000,72379,0.9279358974358974,16,458
3,train,dataset,30,alert,2600,78000,7234,0.09274358974358975,2247,156
3,train,dataset,30,distraction,663,19890,13741,0.6908496732026144,157,374
3,train,dataset,30,fatigue,59,1770,1105,0.6242937853107344,9,24
3,train,dataset,30,mixed,1539,46170,42657,0.9239116309291748,95,1391
3,train,dataset,60,alert,2589,155340,14548,0.09365263293420883,2157,119
3,train,dataset,60,distraction,658,39480,27448,0.6952380952380952,136,319
3,train,dataset,60,fatigue,54,3240,2144,0.6617283950617284,1,15
3,train,dataset,60,mixed,1552,93120,85266,0.9156572164948453,93,1372
3,train,dataset,150,alert,2568,385200,37824,0.09819314641744548,1949,81
