model,ablation,fold,subset,actual,predicted,count,run_id,generation,representation,window_size_frames,seed,balancing
fixed_rules,r0_flat,1,validation,alert,alert,131,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,validation,alert,fatigue,1,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,validation,alert,distraction,890,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,validation,fatigue,alert,1,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,validation,fatigue,fatigue,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,validation,fatigue,distraction,6,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,validation,distraction,alert,70,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,validation,distraction,fatigue,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,validation,distraction,distraction,95,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,test,alert,alert,360,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,test,alert,fatigue,3,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,test,alert,distraction,725,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,test,fatigue,alert,50,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,test,fatigue,fatigue,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,test,fatigue,distraction,18,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,test,distraction,alert,346,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,test,distraction,fatigue,1,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,test,distraction,distraction,32,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,validation,alert,alert,1015,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,validation,alert,fatigue,7,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,validation,alert,distraction,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,validation,fatigue,alert,6,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,validation,fatigue,fatigue,1,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,validation,fatigue,distraction,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,validation,distraction,alert,163,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,validation,distraction,fatigue,2,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,validation,distraction,distraction,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,test,alert,alert,1070,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,test,alert,fatigue,17,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,test,alert,distraction,1,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,test,fatigue,alert,68,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,test,fatigue,fatigue,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,test,fatigue,distraction,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,test,distraction,alert,374,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,test,distraction,fatigue,5,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,test,distraction,distraction,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,validation,alert,alert,942,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,validation,alert,fatigue,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,validation,alert,distraction,80,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,validation,fatigue,alert,7,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,validation,fatigue,fatigue,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,validation,fatigue,distraction,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,validation,distraction,alert,117,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,validation,distraction,fatigue,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,validation,distraction,distraction,48,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,test,alert,alert,1016,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,test,alert,fatigue,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,test,alert,distraction,72,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,test,fatigue,alert,43,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,test,fatigue,fatigue,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,test,fatigue,distraction,25,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,test,distraction,alert,144,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,test,distraction,fatigue,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,test,distraction,distraction,235,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,validation,alert,alert,943,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,validation,alert,fatigue,0,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,validation,alert,distraction,79,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,validation,fatigue,alert,7,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,validation,fatigue,fatigue,0,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
