run_id,generation,model,representation,window_size_frames,fold,seed,balancing,train_seconds,resumed_checkpoint,validation_num_windows,validation_accuracy,validation_balanced_accuracy,validation_macro_f1_present_classes,validation_macro_f1_all_classes,test_num_windows,test_accuracy,test_balanced_accuracy,test_macro_f1_present_classes,test_macro_f1_all_classes
G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_1__seed_42,G1,fixed_rules,R0_flat,150,1,42,none,0.0,False,1155,0.08744588744588745,0.20266933600266934,0.05967172639229392,0.05967172639229392,1528,0.1106020942408377,0.23136046797176554,0.10741420597874458,0.10741420597874458
G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_2__seed_42,G1,fixed_rules,R0_flat,150,2,42,none,0.0,False,1160,0.0896551724137931,0.24617914003388863,0.06611649727909302,0.06611649727909302,1841,0.053775122216186855,0.1703211971895246,0.054240894303180895,0.036160596202120594
G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_3__seed_42,G1,fixed_rules,R0_flat,150,3,42,none,0.0,False,1125,0.12711111111111112,0.2251284058693048,0.09847109319474058,0.09847109319474058,1493,0.04018754186202277,0.17498706743989764,0.0351721393754564,0.0351721393754564
G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_4__seed_42,G1,fixed_rules,R0_flat,150,4,42,none,0.0,False,1105,0.08144796380090498,0.17980522471540436,0.06156569836264784,0.06156569836264784,1076,0.12174721189591078,0.3678240364286876,0.13281791072995597,0.08854527381997064
G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,fixed_rules,R0_flat,30,1,42,none,0.0,False,1194,0.18927973199329984,0.23464587163217301,0.12613738305779829,0.12613738305779829,1535,0.2553745928338762,0.13843835687309225,0.14863826785013864,0.14863826785013864
G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,fixed_rules,R0_flat,30,2,42,none,0.0,False,1185,0.2514767932489452,0.28709078334926297,0.15464158959844057,0.15464158959844057,1875,0.1184,0.20947757991847243,0.1183290496480547,0.07888603309870314
G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,fixed_rules,R0_flat,30,3,42,none,0.0,False,1158,0.31951640759930916,0.29135969329163797,0.20159587680079483,0.20159587680079483,1513,0.10971579643093192,0.1602299151533287,0.07246823747235522,0.07246823747235522
G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,G1,fixed_rules,R0_flat,30,4,42,none,0.0,False,1137,0.2532981530343008,0.24628075119234258,0.15630384642392225,0.15630384642392225,1105,0.26334841628959277,0.2886081560283688,0.1715435684647303,0.1715435684647303
G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,G1,fixed_rules,R0_flat,60,1,42,none,0.0,False,1180,0.10932203389830508,0.2083789904302725,0.07627118644067797,0.07627118644067797,1534,0.1408083441981747,0.21581497438695085,0.12844578121161074,0.12844578121161074
G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,G1,fixed_rules,R0_flat,60,2,42,none,0.0,False,1173,0.11508951406649616,0.26890933761418795,0.08540685767629246,0.08540685767629246,1864,0.06330472103004292,0.1791537313465261,0.06494916301067762,0.04329944200711841
G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_3__seed_42,G1,fixed_rules,R0_flat,60,3,42,none,0.0,False,1151,0.15377932232841007,0.25764789372401203,0.11780387058868014,0.11780387058868014,1500,0.048666666666666664,0.15911769487116964,0.03791962327975197,0.03791962327975197
G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_4__seed_42,G1,fixed_rules,R0_flat,60,4,42,none,0.0,False,1125,0.10933333333333334,0.21064868635201117,0.08214842390783349,0.08214842390783349,1095,0.1415525114155251,0.3724501385670801,0.15570323166136618,0.10380215444091079
G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_1__seed_42,G1,random_forest,R0_flat,150,1,42,none,1.7757083000033163,True,1155,0.8562770562770563,0.3881365236203946,0.39988943007501954,0.39988943007501954,1528,0.8075916230366492,0.49757791658533407,0.5036017669045192,0.5036017669045192
G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_2__seed_42,G1,random_forest,R0_flat,150,2,42,none,1.365466799998103,True,1160,0.8646551724137931,0.4203449259315181,0.3969779290209689,0.3969779290209689,1841,0.8951656708310701,0.7805855917510722,0.7902615996793534,0.5268410664529023
G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_3__seed_42,G1,random_forest,R0_flat,150,3,42,none,1.7034227000003739,True,1125,0.8088888888888889,0.3892767754409689,0.38891123698525387,0.38891123698525387,1493,0.8961821835231079,0.4282558112746792,0.42956283538781137,0.42956283538781137
G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_4__seed_42,G1,random_forest,R0_flat,150,4,42,none,1.954322100002173,True,1105,0.8443438914027149,0.4302713254809063,0.40761918125372715,0.40761918125372715,1076,0.7871747211895911,0.5505204098227354,0.5450031483646046,0.36333543224306974
G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,random_forest,R0_flat,30,1,42,none,0.889426599998842,True,1194,0.8291457286432161,0.4042104014706755,0.4099813005897506,0.4099813005897506,1535,0.8149837133550488,0.5179587666201045,0.5159965727403527,0.5159965727403527
G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,random_forest,R0_flat,30,2,42,none,0.7419021000023349,True,1185,0.8379746835443038,0.4143374439548997,0.3850444521608766,0.3850444521608766,1875,0.8821333333333333,0.7756758206393477,0.7768194967256088,0.5178796644837392
G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,G1,random_forest,R0_flat,30,3,42,none,0.861654099997395,True,1158,0.7841105354058722,0.39766523559654426,0.38985805176627797,0.38985805176627797,1513,0.8889623265036352,0.4651230931318459,0.4539823735361584,0.4539823735361584
G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,G1,random_forest,R0_flat,30,4,42,none,0.9750060999976995,True,1137,0.8258575197889182,0.4381668684222712,0.40875336277346325,0.40875336277346325,1105,0.7547511312217194,0.37429078014184397,0.3644081983704625,0.3644081983704625
G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,G1,random_forest,R0_flat,60,1,42,none,1.162704099999246,True,1180,0.8466101694915255,0.4079309421189763,0.4184266916991894,0.4184266916991894,1534,0.8096479791395046,0.5094700644109887,0.5103966134026942,0.5103966134026942
G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,G1,random_forest,R0_flat,60,2,42,none,0.9903904999991937,True,1173,0.8397271952259164,0.41002274204028594,0.3816551594329372,0.3816551594329372,1864,0.8873390557939914,0.7804598275483757,0.7843961505922166,0.5229307670614777
G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_3__seed_42,G1,random_forest,R0_flat,60,3,42,none,1.114797299997008,True,1151,0.7958297132927888,0.39499484004127966,0.3913354296003655,0.3913354296003655,1500,0.8966666666666666,0.4618538161424042,0.4543552379617954,0.4543552379617954
G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_4__seed_42,G1,random_forest,R0_flat,60,4,42,none,1.2971918000002916,True,1125,0.8364444444444444,0.44823232323232326,0.4173582611339109,0.4173582611339109,1095,0.7589041095890411,0.5737017854709009,0.5552232192311952,0.3701488128207968
G1__qualification_r0_flat__svm__r0_flat__w150__fold_1__seed_42,G1,svm,R0_flat,150,1,42,none,4.575780499999382,True,1155,0.8025974025974026,0.3910684878426814,0.39386493341788203,0.39386493341788203,1528,0.643324607329843,0.4301109376016657,0.40377122398792636,0.40377122398792636
G1__qualification_r0_flat__svm__r0_flat__w150__fold_2__seed_42,G1,svm,R0_flat,150,2,42,none,9.484366000000591,True,1160,0.7603448275862069,0.3660140587514889,0.3380462489226312,0.3380462489226312,1841,0.8527973927213471,0.7541267451409801,0.7440758915254682,0.4960505943503121
G1__qualification_r0_flat__svm__r0_flat__w150__fold_3__seed_42,G1,svm,R0_flat,150,3,42,none,14.148051700001815,True,1125,0.7502222222222222,0.3587535437647533,0.35345357205546774,0.35345357205546774,1493,0.7890154052243804,0.46790107167465655,0.41424690905213213,0.41424690905213213
G1__qualification_r0_flat__svm__r0_flat__w150__fold_4__seed_42,G1,svm,R0_flat,150,4,42,none,10.748064700001123,True,1105,0.7484162895927602,0.36503549677202374,0.34495217113757337,0.34495217113757337,1076,0.7481412639405205,0.5283216783216783,0.5240781507980187,0.34938543386534576
G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,svm,R0_flat,30,1,42,none,4.355644100000063,True,1194,0.8509212730318257,0.37866927592954985,0.34595488240627165,0.34595488240627165,1535,0.6970684039087948,0.3278186274509804,0.27435897435897433,0.27435897435897433
G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,svm,R0_flat,30,2,42,none,7.651476399998501,True,1185,0.8312236286919831,0.40014453225167257,0.3775866415426489,0.3775866415426489,1875,0.8757333333333334,0.7663645140527784,0.770888011738205,0.5139253411588033
G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,svm,R0_flat,30,3,42,none,7.153566900000442,True,1158,0.7573402417962003,0.3928309570502288,0.3810862796417049,0.3810862796417049,1513,0.8486450760079313,0.4789566540113586,0.43774444843900095,0.43774444843900095
