model,window_size_frames,subset,metric,n_folds,mean,standard_deviation,minimum,maximum
fixed_rules,30,test,accuracy,4,0.1867097013886002,0.08402903594055518,0.10971579643093192,0.26334841628959277
fixed_rules,30,test,balanced_accuracy,4,0.19918850199331556,0.06660853617216429,0.13843835687309225,0.2886081560283688
fixed_rules,30,test,macro_f1_all_classes,4,0.11788402672148182,0.04969442352088197,0.07246823747235522,0.1715435684647303
fixed_rules,30,validation,accuracy,4,0.2533927714689638,0.05318676843944718,0.18927973199329984,0.31951640759930916
fixed_rules,30,validation,balanced_accuracy,4,0.26484427486635415,0.028603744061677223,0.23464587163217301,0.29135969329163797
fixed_rules,30,validation,macro_f1_all_classes,4,0.15966967397023898,0.031192047304545056,0.12613738305779829,0.20159587680079483
fixed_rules,60,test,accuracy,4,0.09858306082760235,0.049549826452622514,0.048666666666666664,0.1415525114155251
fixed_rules,60,test,balanced_accuracy,4,0.23163413479293168,0.09676814138219794,0.15911769487116964,0.3724501385670801
fixed_rules,60,test,macro_f1_all_classes,4,0.07836675023484797,0.04479789919165706,0.03791962327975197,0.12844578121161074
fixed_rules,60,validation,accuracy,4,0.12188105090663616,0.02143827431536922,0.10932203389830508,0.15377932232841007
fixed_rules,60,validation,balanced_accuracy,4,0.23639622703012092,0.031393402145370265,0.2083789904302725,0.26890933761418795
fixed_rules,60,validation,macro_f1_all_classes,4,0.09040758465337101,0.018651320274956022,0.07627118644067797,0.11780387058868014
fixed_rules,150,test,accuracy,4,0.08157799255373953,0.04058790324211013,0.04018754186202277,0.12174721189591078
fixed_rules,150,test,balanced_accuracy,4,0.23612319225746886,0.09207845243896584,0.1703211971895246,0.3678240364286876
fixed_rules,150,test,macro_f1_all_classes,4,0.06682305384407305,0.03679430738418444,0.0351721393754564,0.10741420597874458
fixed_rules,150,validation,accuracy,4,0.09641503369292416,0.0207557514834623,0.08144796380090498,0.12711111111111112
fixed_rules,150,validation,balanced_accuracy,4,0.2134455266553168,0.02861104280481654,0.17980522471540436,0.24617914003388863
fixed_rules,150,validation,macro_f1_all_classes,4,0.07145625380719385,0.01821183425054991,0.05967172639229392,0.09847109319474058
random_forest,30,test,accuracy,4,0.8352076261034341,0.06317658856899253,0.7547511312217194,0.8889623265036352
random_forest,30,test,balanced_accuracy,4,0.5332621151332855,0.17215633279199996,0.37429078014184397,0.7756758206393477
random_forest,30,test,macro_f1_all_classes,4,0.4630667022826782,0.07216198776570362,0.3644081983704625,0.5178796644837392
random_forest,30,validation,accuracy,4,0.8192721168455775,0.023992905564756473,0.7841105354058722,0.8379746835443038
random_forest,30,validation,balanced_accuracy,4,0.4135949873610977,0.0177590917963461,0.39766523559654426,0.4381668684222712
random_forest,30,validation,macro_f1_all_classes,4,0.3984092918225921,0.012814754990867924,0.3850444521608766,0.4099813005897506
random_forest,60,test,accuracy,4,0.838139452797301,0.0656659205952526,0.7589041095890411,0.8966666666666666
random_forest,60,test,balanced_accuracy,4,0.5813713733931674,0.1404151937188993,0.4618538161424042,0.7804598275483757
random_forest,60,test,macro_f1_all_classes,4,0.464457857811691,0.06958378469229193,0.3701488128207968,0.5229307670614777
random_forest,60,validation,accuracy,4,0.8296528806136688,0.022943215757440287,0.7958297132927888,0.8466101694915255
random_forest,60,validation,balanced_accuracy,4,0.41529521185821633,0.022941881703916343,0.39499484004127966,0.44823232323232326
random_forest,60,validation,macro_f1_all_classes,4,0.40219388546660073,0.018558085555438666,0.3816551594329372,0.4184266916991894
random_forest,150,test,accuracy,4,0.8465285496451045,0.057358562628979974,0.7871747211895911,0.8961821835231079
random_forest,150,test,balanced_accuracy,4,0.5642349323584552,0.15267522727508578,0.4282558112746792,0.7805855917510722
random_forest,150,test,macro_f1_all_classes,4,0.4558352752470757,0.07431895711941082,0.36333543224306974,0.5268410664529023
random_forest,150,validation,accuracy,4,0.8435412522456133,0.02455896879633833,0.8088888888888889,0.8646551724137931
random_forest,150,validation,balanced_accuracy,4,0.40700738761844696,0.021521964356924092,0.3881365236203946,0.4302713254809063
random_forest,150,validation,macro_f1_all_classes,4,0.39834944433374236,0.007730036456475055,0.38891123698525387,0.40761918125372715
svm,30,test,accuracy,4,0.7951807078374017,0.08218340275569164,0.6970684039087948,0.8757333333333334
svm,30,test,balanced_accuracy,4,0.4883000936778337,0.19568445283226743,0.3278186274509804,0.7663645140527784
svm,30,test,macro_f1_all_classes,4,0.39949396257378367,0.10161239383008963,0.27435897435897433,0.5139253411588033
svm,30,validation,accuracy,4,0.814136897137698,0.040329747472489415,0.7573402417962003,0.8509212730318257
svm,30,validation,balanced_accuracy,4,0.4023942008399883,0.025313544343496128,0.37866927592954985,0.43793203812850184
svm,30,validation,macro_f1_all_classes,4,0.3782036792810558,0.025479857119717984,0.34595488240627165,0.4081869135335978
svm,60,test,accuracy,4,0.8140038459711579,0.04750791783193075,0.7579908675799086,0.8572961373390557
