model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,representation,window_size_frames,seed,balancing
fixed_rules,r0_flat,1,validation,alert,0.6485148514851485,0.12818003913894324,0.21405228758169934,1022,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,validation,fatigue,0.0,0.0,0.0,7,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,validation,distraction,0.0958627648839556,0.5757575757575758,0.1643598615916955,165,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,test,alert,0.47619047619047616,0.33088235294117646,0.39045553145336226,1088,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,test,fatigue,0.0,0.0,0.0,68,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,test,distraction,0.04129032258064516,0.08443271767810026,0.05545927209705372,379,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,validation,alert,0.8572635135135135,0.9931506849315068,0.9202175883952856,1022,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,validation,fatigue,0.1,0.14285714285714285,0.11764705882352941,7,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,validation,distraction,0.0,0.0,0.0,165,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,test,alert,0.7076719576719577,0.9834558823529411,0.823076923076923,1088,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,test,fatigue,0.0,0.0,0.0,68,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,1,test,distraction,0.0,0.0,0.0,379,G1__qualification_r0_flat__svm__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,validation,alert,0.8836772983114447,0.9217221135029354,0.9022988505747126,1022,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,validation,fatigue,0.0,0.0,0.0,7,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,validation,distraction,0.375,0.2909090909090909,0.32764505119453924,165,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,test,alert,0.8445552784704904,0.9338235294117647,0.8869489305979922,1088,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,test,fatigue,0.0,0.0,0.0,68,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,1,test,distraction,0.7078313253012049,0.6200527704485488,0.6610407876230661,379,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,validation,alert,0.8871119473189087,0.9227005870841487,0.9045563549160671,1022,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,validation,fatigue,0.0,0.0,0.0,7,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,validation,distraction,0.3969465648854962,0.3151515151515151,0.35135135135135137,165,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,test,alert,0.8428927680798005,0.9319852941176471,0.885202968136185,1088,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,test,fatigue,0.0,0.0,0.0,68,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,test,distraction,0.7048192771084337,0.6174142480211082,0.6582278481012658,379,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,validation,alert,0.8701754385964913,0.2283609576427256,0.36177972283005105,1086,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,validation,fatigue,0.0,0.0,0.0,20,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,validation,distraction,0.05555555555555555,0.6329113924050633,0.10214504596527069,79,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,alert,0.38412698412698415,0.07658227848101266,0.12770448548812666,1580,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,fatigue,,,,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,distraction,0.06478511866581142,0.3423728813559322,0.10895361380798274,295,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,alert,0.9302325581395349,0.8839779005524862,0.9065155807365439,1086,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,fatigue,0.0,0.0,0.0,20,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,distraction,0.176056338028169,0.31645569620253167,0.22624434389140272,79,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
