model,window_size_frames,subset,label,metric,n_folds_with_support,mean,standard_deviation
fixed_rules,30,test,alert,precision,4,0.5701814058956917,0.18426000244180357
fixed_rules,30,test,alert,recall,4,0.17531049592994552,0.11918192932466147
fixed_rules,30,test,alert,f1,4,0.24998740617421988,0.1294152677415203
fixed_rules,30,test,distraction,precision,4,0.06233046368807541,0.033200036744732146
fixed_rules,30,test,distraction,recall,4,0.369885615070383,0.23572706470649626
fixed_rules,30,test,distraction,f1,4,0.1036646739902256,0.0596788248294973
fixed_rules,30,test,fatigue,precision,3,0.0,0.0
fixed_rules,30,test,fatigue,recall,3,0.0,0.0
fixed_rules,30,test,fatigue,f1,3,0.0,0.0
fixed_rules,30,validation,alert,precision,4,0.7819405536772261,0.0941965786229341
fixed_rules,30,validation,alert,recall,4,0.21807664050630265,0.06459354937905948
fixed_rules,30,validation,alert,f1,4,0.3389120503406243,0.08720352039091903
fixed_rules,30,validation,distraction,precision,4,0.08056437278950246,0.02741746216167504
fixed_rules,30,validation,distraction,recall,4,0.5764561840927598,0.0533271140361196
fixed_rules,30,validation,distraction,f1,4,0.14009697157009263,0.042476334223924016
fixed_rules,30,validation,fatigue,precision,4,0.0,0.0
fixed_rules,30,validation,fatigue,recall,4,0.0,0.0
fixed_rules,30,validation,fatigue,f1,4,0.0,0.0
fixed_rules,60,test,alert,precision,4,0.624124766294528,0.214135745821903
fixed_rules,60,test,alert,recall,4,0.058852109804363145,0.060470003192656996
fixed_rules,60,test,alert,f1,4,0.10054662248952374,0.09431828202464171
fixed_rules,60,test,distraction,precision,4,0.06378291028497404,0.03446066710143006
fixed_rules,60,test,distraction,recall,4,0.3817669532509699,0.24389293092765563
fixed_rules,60,test,distraction,f1,4,0.1060396896955581,0.06185448020188761
fixed_rules,60,test,fatigue,precision,2,0.03249704840613932,0.035856241147535085
fixed_rules,60,test,fatigue,recall,2,0.23276474769012082,0.261835560055573
fixed_rules,60,test,fatigue,f1,2,0.057027877038924146,0.06308172680175331
fixed_rules,60,validation,alert,precision,4,0.7986237083404304,0.09671968368975226
fixed_rules,60,validation,alert,recall,4,0.06667431479503667,0.023212142924493733
fixed_rules,60,validation,alert,f1,4,0.12253883249411078,0.040985443636455156
fixed_rules,60,validation,distraction,precision,4,0.0814181074205132,0.0290016404023258
fixed_rules,60,validation,distraction,recall,4,0.5938718323586745,0.07093039743602149
fixed_rules,60,validation,distraction,f1,4,0.1418122368761495,0.04516558813349394
fixed_rules,60,validation,fatigue,precision,4,0.003710837185413457,0.002532795495987996
fixed_rules,60,validation,fatigue,recall,4,0.04864253393665159,0.03353202726307045
fixed_rules,60,validation,fatigue,f1,4,0.006871684589852741,0.00466322595975348
fixed_rules,150,test,alert,precision,4,0.7269518272425249,0.18332875038351734
fixed_rules,150,test,alert,recall,4,0.03839835756306847,0.043643727860714
fixed_rules,150,test,alert,f1,4,0.06912993097100356,0.075098161494256
fixed_rules,150,test,distraction,precision,4,0.059582835663614137,0.0326138974551381
fixed_rules,150,test,distraction,recall,4,0.38367538001299617,0.2525536016581373
fixed_rules,150,test,distraction,f1,4,0.10011461354918288,0.05927559198311584
fixed_rules,150,test,fatigue,precision,2,0.0348685796961659,0.029805224343238127
fixed_rules,150,test,fatigue,recall,2,0.3035190615835777,0.3006759040236052
fixed_rules,150,test,fatigue,f1,2,0.062449234024065436,0.054443174977169335
fixed_rules,150,validation,alert,precision,4,0.9302707930367505,0.08885276011586493
fixed_rules,150,validation,alert,recall,4,0.03924049524917595,0.021202507731731397
fixed_rules,150,validation,alert,f1,4,0.074805979734139,0.03996038940163485
fixed_rules,150,validation,distraction,precision,4,0.07981757302903839,0.0289449994922101
fixed_rules,150,validation,distraction,recall,4,0.6010960847167743,0.08063716757195619
fixed_rules,150,validation,distraction,f1,4,0.13956278168744254,0.04543454609188643
fixed_rules,150,validation,fatigue,precision,4,0.0,0.0
fixed_rules,150,validation,fatigue,recall,4,0.0,0.0
fixed_rules,150,validation,fatigue,f1,4,0.0,0.0
random_forest,30,test,alert,precision,4,0.8989076368277712,0.04287475365153697
random_forest,30,test,alert,recall,4,0.9080535035109243,0.05557955441754544
random_forest,30,test,alert,f1,4,0.9026558184511003,0.039771816413941306
random_forest,30,test,distraction,precision,4,0.48251651053200734,0.2301758427947937
random_forest,30,test,distraction,recall,4,0.49781388672909527,0.15485521886163867
random_forest,30,test,distraction,f1,4,0.4865442883969343,0.19532546901995348
random_forest,30,test,fatigue,precision,3,0.0,0.0
random_forest,30,test,fatigue,recall,3,0.0,0.0
random_forest,30,test,fatigue,f1,3,0.0,0.0
random_forest,30,validation,alert,precision,4,0.9046910045026186,0.025659416562407517
random_forest,30,validation,alert,recall,4,0.8886273937281896,0.024297717167412945
random_forest,30,validation,alert,f1,4,0.8962897336966902,0.01611263539111561
random_forest,30,validation,distraction,precision,4,0.2734489484908948,0.07703452191597869
random_forest,30,validation,distraction,recall,4,0.35215756835510337,0.06068984431876445
random_forest,30,validation,distraction,f1,4,0.29893814177108613,0.03826085418187882
random_forest,30,validation,fatigue,precision,4,0.0,0.0
random_forest,30,validation,fatigue,recall,4,0.0,0.0
random_forest,30,validation,fatigue,f1,4,0.0,0.0
random_forest,60,test,alert,precision,4,0.8995097590884527,0.04863894925904661
random_forest,60,test,alert,recall,4,0.910116746540815,0.059497022534393006
random_forest,60,test,alert,f1,4,0.9036869756983933,0.042036197371795495
random_forest,60,test,distraction,precision,4,0.49386640684796385,0.23380421534367998
random_forest,60,test,distraction,recall,4,0.49545697038386805,0.1394770902828328
random_forest,60,test,distraction,f1,4,0.4896865977366798,0.18928919023584598
random_forest,60,test,fatigue,precision,2,0.0,0.0
random_forest,60,test,fatigue,recall,2,0.0,0.0
random_forest,60,test,fatigue,f1,2,0.0,0.0
random_forest,60,validation,alert,precision,4,0.9077774378165799,0.027877415609291314
random_forest,60,validation,alert,recall,4,0.899130437394012,0.027243570656133635
random_forest,60,validation,alert,f1,4,0.9029983216579505,0.014883513829796306
random_forest,60,validation,distraction,precision,4,0.29216722771731873,0.10375186491251434
random_forest,60,validation,distraction,recall,4,0.34675519818063677,0.07823599192128046
random_forest,60,validation,distraction,f1,4,0.30358333474185173,0.05202986879190003
random_forest,60,validation,fatigue,precision,4,0.0,0.0
random_forest,60,validation,fatigue,recall,4,0.0,0.0
random_forest,60,validation,fatigue,f1,4,0.0,0.0
random_forest,150,test,alert,precision,4,0.8946398695158322,0.05235385050030319
random_forest,150,test,alert,recall,4,0.9262181727844732,0.04274728844514553
random_forest,150,test,alert,f1,4,0.9092950688764723,0.03693637905228899
random_forest,150,test,distraction,precision,4,0.4921295695811626,0.25984972773853765
random_forest,150,test,distraction,recall,4,0.4337101238974406,0.1785041476434856
random_forest,150,test,distraction,f1,4,0.45821075686475465,0.21390721506238078
random_forest,150,test,fatigue,precision,2,0.0,0.0
random_forest,150,test,fatigue,recall,2,0.0,0.0
random_forest,150,test,fatigue,f1,2,0.0,0.0
random_forest,150,validation,alert,precision,4,0.9098772650692288,0.03093760612502401
random_forest,150,validation,alert,recall,4,0.915428943580253,0.02901103934994845
random_forest,150,validation,alert,f1,4,0.9121176636890299,0.015609646223337735
