model,window_size_frames,subset,label,metric,n_folds_with_support,mean,standard_deviation,minimum,maximum
lstm,30,test,alert,precision,4,0.9224554985501492,0.023542981091584904,0.888641425389755,0.9400887573964497
lstm,30,test,alert,recall,4,0.842156981550064,0.12660531272622289,0.6672794117647058,0.9430379746835443
lstm,30,test,alert,f1,4,0.8763723496716848,0.07359400181844268,0.7793880837359098,0.9335839598997494
lstm,30,test,distraction,precision,4,0.4239901860370881,0.18506353491492972,0.21739130434782608,0.6577946768060836
lstm,30,test,distraction,recall,4,0.5811997398667579,0.25374626028480757,0.3191489361702128,0.9234828496042217
lstm,30,test,distraction,f1,4,0.47763318729436366,0.1738315391352147,0.25862068965517243,0.6200716845878136
lstm,30,test,fatigue,precision,3,0.0,0.0,0.0,0.0
lstm,30,test,fatigue,recall,3,0.0,0.0,0.0,0.0
lstm,30,test,fatigue,f1,3,0.0,0.0,0.0,0.0
lstm,30,validation,alert,precision,4,0.9098002323271581,0.02070003758080693,0.8874734607218684,0.9289719626168225
lstm,30,validation,alert,recall,4,0.8706861846094822,0.035076227601622365,0.8418932527693856,0.9152854511970534
lstm,30,validation,alert,f1,4,0.8897427364923189,0.027720784469482368,0.8640826873385012,0.922077922077922
lstm,30,validation,distraction,precision,4,0.265899537358283,0.04653123669203382,0.2,0.3090128755364807
lstm,30,validation,distraction,recall,4,0.39760206158857053,0.07932506751927726,0.2911392405063291,0.47474747474747475
lstm,30,validation,distraction,f1,4,0.3182395199619116,0.05692295337455536,0.23711340206185566,0.36180904522613067
lstm,30,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
lstm,30,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
lstm,30,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
lstm,60,test,alert,precision,4,0.9249200687562905,0.0225894667143344,0.8927789934354485,0.9439114391143911
lstm,60,test,alert,recall,4,0.8477669952002608,0.12846535469896503,0.6645220588235294,0.9382558879694463
lstm,60,test,alert,f1,4,0.8804379193098637,0.0750322620544074,0.7774193548387097,0.9397501836884644
lstm,60,test,distraction,precision,4,0.4274738164305806,0.17554783495083082,0.22099447513812154,0.6446886446886447
lstm,60,test,distraction,recall,4,0.5778454983743011,0.26278516987786593,0.2898550724637681,0.920844327176781
lstm,60,test,distraction,f1,4,0.48005839394360345,0.17510793398836688,0.2507836990595611,0.6219081272084805
lstm,60,test,fatigue,precision,2,0.0,0.0,0.0,0.0
lstm,60,test,fatigue,recall,2,0.0,0.0,0.0,0.0
lstm,60,test,fatigue,f1,2,0.0,0.0,0.0,0.0
lstm,60,validation,alert,precision,4,0.9123340272805794,0.024452013731938796,0.8842105263157894,0.9351145038167938
lstm,60,validation,alert,recall,4,0.8742010682666487,0.033079976176389726,0.8402366863905325,0.9074074074074074
lstm,60,validation,alert,f1,4,0.8928116320115921,0.02841108811679091,0.8677685950413223,0.9210526315789473
lstm,60,validation,distraction,precision,4,0.26901861204104205,0.047819564654289125,0.2,0.30201342281879195
lstm,60,validation,distraction,recall,4,0.3979095597790773,0.06388509180822873,0.32894736842105265,0.46875
lstm,60,validation,distraction,f1,4,0.3205370670765013,0.053454089271806345,0.24875621890547264,0.3673469387755102
lstm,60,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
lstm,60,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
lstm,60,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
lstm,150,test,alert,precision,4,0.9204747016408544,0.022453625571032785,0.8885350318471338,0.9390420899854862
lstm,150,test,alert,recall,4,0.8572337124329336,0.13457317927358908,0.6596330275229357,0.947985347985348
lstm,150,test,alert,f1,4,0.8829854291042629,0.07737955391908088,0.7727028479312198,0.9434925264309151
lstm,150,test,distraction,precision,4,0.40770720721486975,0.1777095729858008,0.1865671641791045,0.61328125
lstm,150,test,distraction,recall,4,0.5192249242083985,0.3066609436632411,0.19230769230769232,0.9202127659574468
lstm,150,test,distraction,f1,4,0.44350801629224335,0.1961711147687282,0.1893939393939394,0.6107678729037952
lstm,150,test,fatigue,precision,2,0.0,0.0,0.0,0.0
lstm,150,test,fatigue,recall,2,0.0,0.0,0.0,0.0
lstm,150,test,fatigue,f1,2,0.0,0.0,0.0,0.0
lstm,150,validation,alert,precision,4,0.9125943006264212,0.0250735507381301,0.8844953173777316,0.937799043062201
lstm,150,validation,alert,recall,4,0.8824250386500042,0.03386293909234325,0.8368368368368369,0.9124767225325885
lstm,150,validation,alert,f1,4,0.8971389679136184,0.02779668415158455,0.866770347330223,0.924964605946201
lstm,150,validation,distraction,precision,4,0.24802411996074825,0.04421534946146445,0.1826086956521739,0.27555555555555555
lstm,150,validation,distraction,recall,4,0.3419387462490911,0.05402280466539783,0.28378378378378377,0.4
