ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,alert,qualification_r0_w30_b1024,862,1,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,0,1,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,160,1,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,6,1,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,1,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,1,1,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,93,1,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,1,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,72,1,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,726,1,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,0,1,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,362,1,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,20,1,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,1,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,48,1,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,29,1,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,1,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,350,1,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,922,1,G2,tcn,alert,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,0,1,G2,tcn,fatigue,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,100,1,G2,tcn,distraction,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,7,1,G2,tcn,alert,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,1,G2,tcn,fatigue,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,1,G2,tcn,distraction,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,106,1,G2,tcn,alert,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,1,G2,tcn,fatigue,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,59,1,G2,tcn,distraction,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,994,1,G2,tcn,alert,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,0,1,G2,tcn,fatigue,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,94,1,G2,tcn,distraction,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,38,1,G2,tcn,alert,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,test,30
