model,subset,fold,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
lstm,test,1,macro_f1_all_classes,1,0.4646540905400062,0.0,0.4646540905400062,0.4646540905400062,0.4646540905400062,nan,nan
lstm,test,1,best_epoch,1,1.0,0.0,1.0,1.0,1.0,nan,nan
lstm,test,1,stopping_epoch,1,16.0,0.0,16.0,16.0,16.0,nan,nan
lstm,test,1,best_validation_macro_f1,1,0.41039961954671655,0.0,0.41039961954671655,0.41039961954671655,0.41039961954671655,nan,nan
lstm,test,2,macro_f1_all_classes,1,0.5178852148291876,0.0,0.5178852148291876,0.5178852148291876,0.5178852148291876,nan,nan
lstm,test,2,best_epoch,1,10.0,0.0,10.0,10.0,10.0,nan,nan
lstm,test,2,stopping_epoch,1,25.0,0.0,25.0,25.0,25.0,nan,nan
lstm,test,2,best_validation_macro_f1,1,0.3863971080465926,0.0,0.3863971080465926,0.3863971080465926,0.3863971080465926,nan,nan
lstm,test,3,macro_f1_all_classes,1,0.4502651275967841,0.0,0.4502651275967841,0.4502651275967841,0.4502651275967841,nan,nan
lstm,test,3,best_epoch,1,17.0,0.0,17.0,17.0,17.0,nan,nan
lstm,test,3,stopping_epoch,1,32.0,0.0,32.0,32.0,32.0,nan,nan
lstm,test,3,best_validation_macro_f1,1,0.3949116204171816,0.0,0.3949116204171816,0.3949116204171816,0.3949116204171816,nan,nan
lstm,test,4,macro_f1_all_classes,1,0.37253628298875324,0.0,0.37253628298875324,0.37253628298875324,0.37253628298875324,nan,nan
lstm,test,4,best_epoch,1,20.0,0.0,20.0,20.0,20.0,nan,nan
lstm,test,4,stopping_epoch,1,35.0,0.0,35.0,35.0,35.0,nan,nan
lstm,test,4,best_validation_macro_f1,1,0.41893466059514983,0.0,0.41893466059514983,0.41893466059514983,0.41893466059514983,nan,nan
lstm,validation,1,macro_f1_all_classes,1,0.41039961954671655,0.0,0.41039961954671655,0.41039961954671655,0.41039961954671655,nan,nan
lstm,validation,1,best_epoch,1,1.0,0.0,1.0,1.0,1.0,nan,nan
lstm,validation,1,stopping_epoch,1,16.0,0.0,16.0,16.0,16.0,nan,nan
lstm,validation,1,best_validation_macro_f1,1,0.41039961954671655,0.0,0.41039961954671655,0.41039961954671655,0.41039961954671655,nan,nan
lstm,validation,2,macro_f1_all_classes,1,0.3863971080465926,0.0,0.3863971080465926,0.3863971080465926,0.3863971080465926,nan,nan
lstm,validation,2,best_epoch,1,10.0,0.0,10.0,10.0,10.0,nan,nan
lstm,validation,2,stopping_epoch,1,25.0,0.0,25.0,25.0,25.0,nan,nan
lstm,validation,2,best_validation_macro_f1,1,0.3863971080465926,0.0,0.3863971080465926,0.3863971080465926,0.3863971080465926,nan,nan
lstm,validation,3,macro_f1_all_classes,1,0.3949116204171816,0.0,0.3949116204171816,0.3949116204171816,0.3949116204171816,nan,nan
lstm,validation,3,best_epoch,1,17.0,0.0,17.0,17.0,17.0,nan,nan
lstm,validation,3,stopping_epoch,1,32.0,0.0,32.0,32.0,32.0,nan,nan
lstm,validation,3,best_validation_macro_f1,1,0.3949116204171816,0.0,0.3949116204171816,0.3949116204171816,0.3949116204171816,nan,nan
lstm,validation,4,macro_f1_all_classes,1,0.41893466059514983,0.0,0.41893466059514983,0.41893466059514983,0.41893466059514983,nan,nan
lstm,validation,4,best_epoch,1,20.0,0.0,20.0,20.0,20.0,nan,nan
lstm,validation,4,stopping_epoch,1,35.0,0.0,35.0,35.0,35.0,nan,nan
lstm,validation,4,best_validation_macro_f1,1,0.41893466059514983,0.0,0.41893466059514983,0.41893466059514983,0.41893466059514983,nan,nan
tcn,test,1,macro_f1_all_classes,1,0.5383928665484908,0.0,0.5383928665484908,0.5383928665484908,0.5383928665484908,nan,nan
tcn,test,1,best_epoch,1,6.0,0.0,6.0,6.0,6.0,nan,nan
tcn,test,1,stopping_epoch,1,21.0,0.0,21.0,21.0,21.0,nan,nan
tcn,test,1,best_validation_macro_f1,1,0.42021622443488155,0.0,0.42021622443488155,0.42021622443488155,0.42021622443488155,nan,nan
tcn,test,2,macro_f1_all_classes,1,0.5184104980804827,0.0,0.5184104980804827,0.5184104980804827,0.5184104980804827,nan,nan
tcn,test,2,best_epoch,1,5.0,0.0,5.0,5.0,5.0,nan,nan
tcn,test,2,stopping_epoch,1,20.0,0.0,20.0,20.0,20.0,nan,nan
tcn,test,2,best_validation_macro_f1,1,0.3937711995066297,0.0,0.3937711995066297,0.3937711995066297,0.3937711995066297,nan,nan
tcn,test,3,macro_f1_all_classes,1,0.4511424941377708,0.0,0.4511424941377708,0.4511424941377708,0.4511424941377708,nan,nan
tcn,test,3,best_epoch,1,8.0,0.0,8.0,8.0,8.0,nan,nan
tcn,test,3,stopping_epoch,1,23.0,0.0,23.0,23.0,23.0,nan,nan
tcn,test,3,best_validation_macro_f1,1,0.39323755263809756,0.0,0.39323755263809756,0.39323755263809756,0.39323755263809756,nan,nan
tcn,test,4,macro_f1_all_classes,1,0.37070946492360807,0.0,0.37070946492360807,0.37070946492360807,0.37070946492360807,nan,nan
tcn,test,4,best_epoch,1,4.0,0.0,4.0,4.0,4.0,nan,nan
tcn,test,4,stopping_epoch,1,19.0,0.0,19.0,19.0,19.0,nan,nan
tcn,test,4,best_validation_macro_f1,1,0.41885136394604877,0.0,0.41885136394604877,0.41885136394604877,0.41885136394604877,nan,nan
tcn,validation,1,macro_f1_all_classes,1,0.42021622443488155,0.0,0.42021622443488155,0.42021622443488155,0.42021622443488155,nan,nan
tcn,validation,1,best_epoch,1,6.0,0.0,6.0,6.0,6.0,nan,nan
tcn,validation,1,stopping_epoch,1,21.0,0.0,21.0,21.0,21.0,nan,nan
tcn,validation,1,best_validation_macro_f1,1,0.42021622443488155,0.0,0.42021622443488155,0.42021622443488155,0.42021622443488155,nan,nan
tcn,validation,2,macro_f1_all_classes,1,0.3937711995066297,0.0,0.3937711995066297,0.3937711995066297,0.3937711995066297,nan,nan
tcn,validation,2,best_epoch,1,5.0,0.0,5.0,5.0,5.0,nan,nan
tcn,validation,2,stopping_epoch,1,20.0,0.0,20.0,20.0,20.0,nan,nan
tcn,validation,2,best_validation_macro_f1,1,0.3937711995066297,0.0,0.3937711995066297,0.3937711995066297,0.3937711995066297,nan,nan
tcn,validation,3,macro_f1_all_classes,1,0.39323755263809756,0.0,0.39323755263809756,0.39323755263809756,0.39323755263809756,nan,nan
tcn,validation,3,best_epoch,1,8.0,0.0,8.0,8.0,8.0,nan,nan
tcn,validation,3,stopping_epoch,1,23.0,0.0,23.0,23.0,23.0,nan,nan
tcn,validation,3,best_validation_macro_f1,1,0.39323755263809756,0.0,0.39323755263809756,0.39323755263809756,0.39323755263809756,nan,nan
tcn,validation,4,macro_f1_all_classes,1,0.41885136394604877,0.0,0.41885136394604877,0.41885136394604877,0.41885136394604877,nan,nan
tcn,validation,4,best_epoch,1,4.0,0.0,4.0,4.0,4.0,nan,nan
tcn,validation,4,stopping_epoch,1,19.0,0.0,19.0,19.0,19.0,nan,nan
tcn,validation,4,best_validation_macro_f1,1,0.41885136394604877,0.0,0.41885136394604877,0.41885136394604877,0.41885136394604877,nan,nan
transformer,test,1,macro_f1_all_classes,1,0.4810944764018888,0.0,0.4810944764018888,0.4810944764018888,0.4810944764018888,nan,nan
transformer,test,1,best_epoch,1,3.0,0.0,3.0,3.0,3.0,nan,nan
transformer,test,1,stopping_epoch,1,18.0,0.0,18.0,18.0,18.0,nan,nan
transformer,test,1,best_validation_macro_f1,1,0.4243896479786495,0.0,0.4243896479786495,0.4243896479786495,0.4243896479786495,nan,nan
transformer,test,2,macro_f1_all_classes,1,0.5203498039627529,0.0,0.5203498039627529,0.5203498039627529,0.5203498039627529,nan,nan
transformer,test,2,best_epoch,1,8.0,0.0,8.0,8.0,8.0,nan,nan
transformer,test,2,stopping_epoch,1,23.0,0.0,23.0,23.0,23.0,nan,nan
transformer,test,2,best_validation_macro_f1,1,0.3870307287713786,0.0,0.3870307287713786,0.3870307287713786,0.3870307287713786,nan,nan
transformer,test,3,macro_f1_all_classes,1,0.448001540878336,0.0,0.448001540878336,0.448001540878336,0.448001540878336,nan,nan
transformer,test,3,best_epoch,1,33.0,0.0,33.0,33.0,33.0,nan,nan
transformer,test,3,stopping_epoch,1,48.0,0.0,48.0,48.0,48.0,nan,nan
transformer,test,3,best_validation_macro_f1,1,0.3951795366978123,0.0,0.3951795366978123,0.3951795366978123,0.3951795366978123,nan,nan
transformer,test,4,macro_f1_all_classes,1,0.37070946492360807,0.0,0.37070946492360807,0.37070946492360807,0.37070946492360807,nan,nan
transformer,test,4,best_epoch,1,7.0,0.0,7.0,7.0,7.0,nan,nan
transformer,test,4,stopping_epoch,1,22.0,0.0,22.0,22.0,22.0,nan,nan
transformer,test,4,best_validation_macro_f1,1,0.4182162775162728,0.0,0.4182162775162728,0.4182162775162728,0.4182162775162728,nan,nan
transformer,validation,1,macro_f1_all_classes,1,0.4243896479786495,0.0,0.4243896479786495,0.4243896479786495,0.4243896479786495,nan,nan
transformer,validation,1,best_epoch,1,3.0,0.0,3.0,3.0,3.0,nan,nan
transformer,validation,1,stopping_epoch,1,18.0,0.0,18.0,18.0,18.0,nan,nan
transformer,validation,1,best_validation_macro_f1,1,0.4243896479786495,0.0,0.4243896479786495,0.4243896479786495,0.4243896479786495,nan,nan
transformer,validation,2,macro_f1_all_classes,1,0.3870307287713786,0.0,0.3870307287713786,0.3870307287713786,0.3870307287713786,nan,nan
transformer,validation,2,best_epoch,1,8.0,0.0,8.0,8.0,8.0,nan,nan
transformer,validation,2,stopping_epoch,1,23.0,0.0,23.0,23.0,23.0,nan,nan
transformer,validation,2,best_validation_macro_f1,1,0.3870307287713786,0.0,0.3870307287713786,0.3870307287713786,0.3870307287713786,nan,nan
transformer,validation,3,macro_f1_all_classes,1,0.3951795366978123,0.0,0.3951795366978123,0.3951795366978123,0.3951795366978123,nan,nan
transformer,validation,3,best_epoch,1,33.0,0.0,33.0,33.0,33.0,nan,nan
transformer,validation,3,stopping_epoch,1,48.0,0.0,48.0,48.0,48.0,nan,nan
transformer,validation,3,best_validation_macro_f1,1,0.3951795366978123,0.0,0.3951795366978123,0.3951795366978123,0.3951795366978123,nan,nan
transformer,validation,4,macro_f1_all_classes,1,0.4182162775162728,0.0,0.4182162775162728,0.4182162775162728,0.4182162775162728,nan,nan
transformer,validation,4,best_epoch,1,7.0,0.0,7.0,7.0,7.0,nan,nan
transformer,validation,4,stopping_epoch,1,22.0,0.0,22.0,22.0,22.0,nan,nan
transformer,validation,4,best_validation_macro_f1,1,0.4182162775162728,0.0,0.4182162775162728,0.4182162775162728,0.4182162775162728,nan,nan
