ablation,configuration_id,f1,fold,generation,label,model,precision,recall,representation,run_id,seed,subset,support,window_size_frames
temporal_r0,qualification_r0_w60_b1024,0.8689444161142275,1,G2,alert,lstm,0.8996832101372756,0.8402366863905325,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,validation,1014,60
temporal_r0,qualification_r0_w60_b1024,0.0,1,G2,fatigue,lstm,0.0,0.0,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,validation,4,60
temporal_r0,qualification_r0_w60_b1024,0.35443037974683544,1,G2,distraction,lstm,0.30042918454935624,0.43209876543209874,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,validation,162,60
temporal_r0,qualification_r0_w60_b1024,0.7774193548387097,1,G2,alert,lstm,0.9365284974093264,0.6645220588235294,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,test,1088,60
temporal_r0,qualification_r0_w60_b1024,0.0,1,G2,fatigue,lstm,0.0,0.0,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,test,67,60
temporal_r0,qualification_r0_w60_b1024,0.6117440841367222,1,G2,distraction,lstm,0.458005249343832,0.920844327176781,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,test,379,60
temporal_r0,qualification_r0_w60_b1024,0.90357317670093,1,G2,alert,tcn,0.8969873663751214,0.9102564102564102,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,validation,1014,60
temporal_r0,qualification_r0_w60_b1024,0.0,1,G2,fatigue,tcn,0.0,0.0,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,validation,4,60
temporal_r0,qualification_r0_w60_b1024,0.38338658146964855,1,G2,distraction,tcn,0.3973509933774834,0.37037037037037035,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,validation,162,60
temporal_r0,qualification_r0_w60_b1024,0.8930022573363431,1,G2,alert,tcn,0.8775510204081632,0.9090073529411765,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,test,1088,60
temporal_r0,qualification_r0_w60_b1024,0.0,1,G2,fatigue,tcn,0.0,0.0,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,test,67,60
