run_id,configuration_id,generation,model,representation,window_size_frames,fold,seed,parameter_count,model_size_bytes,best_epoch,stopping_epoch,best_validation_macro_f1,best_training_loss,best_validation_loss,training_seconds,peak_gpu_memory_bytes,resumed_checkpoint,validation_num_windows,validation_accuracy,validation_balanced_accuracy,validation_macro_f1_all_classes,test_num_windows,test_accuracy,test_balanced_accuracy,test_macro_f1_all_classes
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,qualification_r0_w150_b1024,G2,transformer,R0,150,1,42,17443,267763,5,20,0.41041757118105576,0.2903022467855836,0.37811593666221155,6.9278790999997,570034688,False,1155,0.8571428571428571,0.39755454379110294,0.41041757118105576,1528,0.831151832460733,0.5358806688789121,0.5326557684054466
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,qualification_r0_w150_b1024,G2,transformer,R0,150,2,42,17443,268851,15,30,0.4084289248762933,0.3613035149252723,0.38355440641271654,8.022920000003069,570034688,False,1160,0.853448275862069,0.4540574093646719,0.4084289248762933,1841,0.8924497555676263,0.7921126471393376,0.5280750980928918
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,qualification_r0_w150_b1024,G2,transformer,R0,150,3,42,17443,267507,3,18,0.39020915706836284,0.3854414101156564,0.5087802194025781,6.004303699999582,570034688,False,1125,0.8,0.39365621626751124,0.39020915706836284,1493,0.8948425987943738,0.44807058769322916,0.4421222480059219
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,qualification_r0_w150_b1024,G2,transformer,R0,150,4,42,17443,267507,3,18,0.42321963962359366,0.34877615476023593,0.40292383285399475,6.257067800001096,570034688,False,1105,0.8552036199095022,0.4475846841116302,0.42321963962359366,1076,0.7797397769516728,0.5330216295332574,0.3527387078963939
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,qualification_r0_w60_b1024,G2,lstm,R0,60,1,42,51651,651410,1,16,0.40779159862035436,1.076000134716619,1.0296862638602822,2.997760800000833,376863232,False,1180,0.7813559322033898,0.42411181727421043,0.40779159862035436,1534,0.6988265971316818,0.5284554620001035,0.4630544796584773
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,qualification_r0_w60_b1024,G2,lstm,R0,60,2,42,51651,652626,12,27,0.38993628349480663,0.46640566767514513,0.374555635241393,3.922486100000242,377037312,False,1173,0.8567774936061381,0.4121182586094867,0.38993628349480663,1864,0.8851931330472103,0.7694692409130508,0.5180764809438346
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,qualification_r0_w60_b1024,G2,lstm,R0,60,3,42,51651,652498,11,26,0.39312777530650306,0.4020146477930259,0.5268204708419397,3.7950619000002916,377037312,False,1151,0.7775847089487402,0.40458969431692826,0.39312777530650306,1500,0.89,0.47854181906851984,0.45851594968603804
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,qualification_r0_w60_b1024,G2,lstm,R0,60,4,42,51651,653970,24,39,0.42694260802912715,0.35246437701510025,0.4428368062178294,6.599656700000196,377037312,False,1125,0.8471111111111111,0.4553277338603426,0.42694260802912715,1095,0.7817351598173516,0.571259824633138,0.374348174049606
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,qualification_r0_w60_b1024,G2,tcn,R0,60,1,42,49379,637244,7,22,0.4289865860568595,0.3150767494105022,0.42942934127177224,382.1272772000011,188977152,False,1180,0.8330508474576271,0.4268755935422602,0.4289865860568595,1534,0.8305084745762712,0.5536620815872523,0.5393976990103332
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,qualification_r0_w60_b1024,G2,tcn,R0,60,2,42,49379,637052,5,20,0.38791986407513207,0.5098828602937678,0.36189903583114,305.0764182999992,189763584,False,1173,0.8772378516624041,0.3950617283950617,0.38791986407513207,1864,0.8905579399141631,0.7587697668709523,0.5184977368795122
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,qualification_r0_w60_b1024,G2,tcn,R0,60,3,42,49379,637372,8,23,0.40173702223932367,0.38581888331170877,0.5293528201474406,383.3797777,189763584,False,1151,0.7819287576020851,0.41555460659762994,0.40173702223932367,1500,0.8913333333333333,0.4790295049987808,0.4594580119965724
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,qualification_r0_w60_b1024,G2,tcn,R0,60,4,42,49379,636924,4,19,0.43120758315104607,0.41290829999252726,0.46443741949399314,340.01912399999856,186113024,True,1125,0.8462222222222222,0.4644268774703557,0.43120758315104607,1095,0.765296803652968,0.5680568806505838,0.3691134200040496
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_1__seed_42,qualification_r1_w150_b1024,G3,transformer,R1,150,1,42,17443,267443,1,16,0.30919220055710306,0.7877366892087013,0.5033501160867286,5.331979800001136,568796672,False,1155,0.8649350649350649,0.3333333333333333,0.30919220055710306,1528,0.675392670157068,0.352407391082594,0.33155746505695166
