run_id,model,representation,window_size_frames,fold,seed,subset,train_actual_fatigue_windows,actual_fatigue_windows,predicted_fatigue_windows,fatigue_true_positives,fatigue_false_positives,fatigue_false_negatives,mean_probability_fatigue_all,p95_probability_fatigue_all,max_probability_fatigue_all,mean_probability_fatigue_actual,max_probability_fatigue_actual,mean_missing_ratio_fatigue_actual,mean_missing_ratio_fatigue_false_negative
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,transformer,R0,150,1,42,validation,14,1,0,0,0,1,0.011393427332758388,0.02286682128906249,0.0257415771484375,0.01358795166015625,0.01358795166015625,0.06666666666666667,0.06666666666666667
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,transformer,R0,150,1,42,test,14,62,0,0,0,62,0.015978548539246563,0.0257415771484375,0.06182861328125,0.017135743171938004,0.0257720947265625,0.5359139784946236,0.5359139784946236
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,transformer,R0,150,2,42,validation,65,12,0,0,0,12,0.02374573411612675,0.064642333984375,0.2393798828125,0.013261159261067709,0.018157958984375,0.005555555555555556,0.005555555555555556
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,transformer,R0,150,2,42,test,65,0,0,0,0,0,0.019961235382063503,0.05462646484375,0.1951904296875,,,,
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,transformer,R0,150,3,42,validation,51,11,0,0,0,11,0.0255867919921875,0.05877685546875,0.05877685546875,0.01897222345525568,0.0200653076171875,0.0,0.0
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,transformer,R0,150,3,42,test,51,22,0,0,0,22,0.02239434254385047,0.05709228515624999,0.06005859375,0.0228729248046875,0.0276336669921875,0.25696969696969696,0.25696969696969696
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,transformer,R0,150,4,42,validation,65,12,0,0,0,12,0.02636863743018241,0.066943359375,0.0673828125,0.020239512125651043,0.02532958984375,0.005555555555555556,0.005555555555555556
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,transformer,R0,150,4,42,test,65,0,0,0,0,0,0.02583254137003732,0.0673828125,0.06768798828125,,,,
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,lstm,R0,60,1,42,validation,14,4,0,0,0,4,0.29691803495762714,0.30126953125,0.3125,0.30035400390625,0.302978515625,0.008333333333333333,0.008333333333333333
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,lstm,R0,60,1,42,test,14,67,0,0,0,67,0.29685255943407757,0.3017578125,0.320068359375,0.296171729244403,0.301513671875,0.5233830845771145,0.5233830845771145
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,lstm,R0,60,2,42,validation,68,17,0,0,0,17,0.03192206315270674,0.1378173828125,0.150390625,0.029128579532398897,0.058990478515625,0.00196078431372549,0.00196078431372549
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,lstm,R0,60,2,42,test,68,0,0,0,0,0,0.0323549647187982,0.1378173828125,0.175537109375,,,,
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,lstm,R0,60,3,42,validation,54,13,0,0,0,13,0.014891746249227913,0.04132080078125,0.1483154296875,0.011219318096454326,0.0160675048828125,0.0,0.0
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,lstm,R0,60,3,42,test,54,21,0,0,0,21,0.011598492940266927,0.04132080078125,0.1983642578125,0.011783054896763392,0.04144287109375,0.16428571428571428,0.16428571428571428
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,lstm,R0,60,4,42,validation,68,17,0,0,0,17,0.017315829806857638,0.047637939453125,0.1309814453125,0.015962937298943016,0.0241851806640625,0.00196078431372549,0.00196078431372549
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,lstm,R0,60,4,42,test,68,0,0,0,0,0,0.017170624754744578,0.047637939453125,0.1025390625,,,,
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,tcn,R0,60,1,42,validation,14,4,0,0,0,4,0.006678788742776645,0.049163818359375,0.0491943359375,0.0004207491874694824,0.0006351470947265625,0.008333333333333333,0.008333333333333333
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,tcn,R0,60,1,42,test,14,67,0,0,0,67,0.014408187185459062,0.049163818359375,0.0498046875,0.017496968383219704,0.049163818359375,0.5233830845771145,0.5233830845771145
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,tcn,R0,60,2,42,validation,68,17,0,0,0,17,0.010626274809711324,0.031463623046875,0.031951904296875,0.007134381462545956,0.011383056640625,0.00196078431372549,0.00196078431372549
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,tcn,R0,60,2,42,test,68,0,0,0,0,0,0.01083875070186132,0.031463623046875,0.031707763671875,,,,
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,tcn,R0,60,3,42,validation,54,13,0,0,0,13,0.03087309896169177,0.1080322265625,0.11029052734375,0.017980428842397835,0.034088134765625,0.0,0.0
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,tcn,R0,60,3,42,test,54,21,0,0,0,21,0.02174339167277018,0.1080322265625,0.11029052734375,0.02913629441034226,0.1092529296875,0.16428571428571428,0.16428571428571428
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,tcn,R0,60,4,42,validation,68,17,0,0,0,17,0.005112570603688558,0.013702392578125,0.0191802978515625,0.003850375904756434,0.0081024169921875,0.00196078431372549,0.00196078431372549
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,tcn,R0,60,4,42,test,68,0,0,0,0,0,0.005718896868022065,0.0139739990234375,0.0169219970703125,,,,
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_1__seed_42,transformer,R1,150,1,42,validation,14,1,0,0,0,1,0.09279264639982414,0.1272705078125,0.2047119140625,0.105712890625,0.105712890625,0.06666666666666667,0.06666666666666667
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_1__seed_42,transformer,R1,150,1,42,test,14,62,23,6,17,56,0.14682354352861174,0.3232177734374998,0.462890625,0.19230504189768144,0.45361328125,0.5359139784946236,0.5486904761904762
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_2__seed_42,transformer,R1,150,2,42,validation,65,12,0,0,0,12,0.052046308846309265,0.11344909667968746,0.197509765625,0.06440989176432292,0.0711669921875,0.005555555555555556,0.005555555555555556
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_2__seed_42,transformer,R1,150,2,42,test,65,0,0,0,0,0,0.04501448863877478,0.06427001953125,0.1861572265625,,,,
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_3__seed_42,transformer,R1,150,3,42,validation,51,11,0,0,0,11,0.03565566677517361,0.07414550781249994,0.141845703125,0.04103504527698864,0.045196533203125,0.0,0.0
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_3__seed_42,transformer,R1,150,3,42,test,51,22,0,0,0,22,0.03138212700937709,0.04537963867187498,0.079345703125,0.03774192116477273,0.050262451171875,0.25696969696969696,0.25696969696969696
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_4__seed_42,transformer,R1,150,4,42,validation,65,12,0,0,0,12,0.03635090961715215,0.07843017578124999,0.14697265625,0.0425262451171875,0.052947998046875,0.005555555555555556,0.005555555555555556
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_4__seed_42,transformer,R1,150,4,42,test,65,0,0,0,0,0,0.029433310696626684,0.0479888916015625,0.08111572265625,,,,
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,lstm,R1,60,1,42,validation,14,4,0,0,0,4,0.2979053561970339,0.30372314453125,0.318115234375,0.30169677734375,0.3056640625,0.008333333333333333,0.008333333333333333
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,lstm,R1,60,1,42,test,14,67,0,0,0,67,0.2980952256661506,0.30615234375,0.3251953125,0.2975527635261194,0.305908203125,0.5233830845771145,0.5233830845771145
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_2__seed_42,lstm,R1,60,2,42,validation,68,17,0,0,0,17,0.26760206035539214,0.2783203125,0.2890625,0.27228860294117646,0.2783203125,0.00196078431372549,0.00196078431372549
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_2__seed_42,lstm,R1,60,2,42,test,68,0,0,0,0,0,0.26576239458992756,0.269287109375,0.294921875,,,,
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_3__seed_42,lstm,R1,60,3,42,validation,54,13,0,0,0,13,0.2746734751710469,0.284423828125,0.304443359375,0.27877103365384615,0.284423828125,0.0,0.0
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_3__seed_42,lstm,R1,60,3,42,test,54,21,0,0,0,21,0.27494580078125,0.28516845703125,0.29833984375,0.27805292038690477,0.291748046875,0.16428571428571428,0.16428571428571428
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_4__seed_42,lstm,R1,60,4,42,validation,68,17,0,0,0,17,0.27600868055555555,0.285400390625,0.30126953125,0.28000057444852944,0.285400390625,0.00196078431372549,0.00196078431372549
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_4__seed_42,lstm,R1,60,4,42,test,68,0,0,0,0,0,0.275050834760274,0.28173828125,0.3046875,,,,
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,tcn,R1,60,1,42,validation,14,4,0,0,0,4,0.10618938389471022,0.1505126953125,0.1590576171875,0.023502826690673828,0.037872314453125,0.008333333333333333,0.008333333333333333
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,tcn,R1,60,1,42,test,14,67,0,0,0,67,0.06977658340952698,0.1505126953125,0.1505126953125,0.06464034407886106,0.1505126953125,0.5233830845771145,0.5233830845771145
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_2__seed_42,tcn,R1,60,2,42,validation,68,17,0,0,0,17,0.16105800150605418,0.201904296875,0.20947265625,0.10287744858685662,0.1954345703125,0.00196078431372549,0.00196078431372549
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_2__seed_42,tcn,R1,60,2,42,test,68,0,0,0,0,0,0.18387144522605536,0.202618408203125,0.2142333984375,,,,
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_3__seed_42,tcn,R1,60,3,42,validation,54,13,0,0,0,13,0.2158185360640883,0.253662109375,0.259521484375,0.15752234825721154,0.247314453125,0.0,0.0
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_3__seed_42,tcn,R1,60,3,42,test,54,21,0,0,0,21,0.2234073486328125,0.251708984375,0.259765625,0.17787097749255953,0.2421875,0.16428571428571428,0.16428571428571428
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_4__seed_42,tcn,R1,60,4,42,validation,68,17,0,0,0,17,0.09210241794586181,0.141357421875,0.1583251953125,0.040654967812930834,0.128173828125,0.00196078431372549,0.00196078431372549
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_4__seed_42,tcn,R1,60,4,42,test,68,0,0,0,0,0,0.10743365206130563,0.141357421875,0.1422119140625,,,,
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,transformer,R2,150,1,42,validation,14,1,0,0,0,1,0.011523361536331506,0.031787109375,0.046905517578125,0.0142059326171875,0.0142059326171875,0.06666666666666667,0.06666666666666667
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,transformer,R2,150,1,42,test,14,62,0,0,0,62,0.0244965927763135,0.06447143554687498,0.097900390625,0.01622064651981477,0.034912109375,0.5359139784946236,0.5359139784946236
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_2__seed_42,transformer,R2,150,2,42,validation,65,12,0,0,0,12,0.030058262265961744,0.07727966308593749,0.1314697265625,0.021221160888671875,0.049163818359375,0.005555555555555556,0.005555555555555556
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_2__seed_42,transformer,R2,150,2,42,test,65,0,0,0,0,0,0.030231150513689912,0.07830810546875,0.1695556640625,,,,
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,transformer,R2,150,3,42,validation,51,11,0,0,0,11,0.020201273600260417,0.037078857421875,0.052764892578125,0.019213589754971592,0.0227508544921875,0.0,0.0
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,transformer,R2,150,3,42,test,51,22,0,0,0,22,0.019067129351033992,0.036572265624999996,0.07452392578125,0.021109147505326706,0.02691650390625,0.25696969696969696,0.25696969696969696
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,transformer,R2,150,4,42,validation,65,12,0,0,0,12,0.022362425100749435,0.046844482421875,0.05792236328125,0.021608988444010418,0.030548095703125,0.005555555555555556,0.005555555555555556
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,transformer,R2,150,4,42,test,65,0,0,0,0,0,0.02201849643182577,0.058868408203125,0.0703125,,,,
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42,lstm,R2,60,1,42,validation,14,4,0,0,0,4,0.32412005925582626,0.3271484375,0.328857421875,0.31915283203125,0.3212890625,0.008333333333333333,0.008333333333333333
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42,lstm,R2,60,1,42,test,14,67,1,0,1,67,0.32370691411342895,0.327392578125,0.335693359375,0.3254285214552239,0.33154296875,0.5233830845771145,0.5233830845771145
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_2__seed_42,lstm,R2,60,2,42,validation,68,17,0,0,0,17,0.32709349024936063,0.32958984375,0.33251953125,0.32487936580882354,0.328369140625,0.00196078431372549,0.00196078431372549
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_2__seed_42,lstm,R2,60,2,42,test,68,0,4,0,4,0,0.3278915994668723,0.330078125,0.3349609375,,,,
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_3__seed_42,lstm,R2,60,3,42,validation,54,13,0,0,0,13,0.32340996789476545,0.326416015625,0.330078125,0.3208195612980769,0.324462890625,0.0,0.0
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_3__seed_42,lstm,R2,60,3,42,test,54,21,0,0,0,21,0.32325390625,0.326416015625,0.3310546875,0.3207310267857143,0.325927734375,0.16428571428571428,0.16428571428571428
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_4__seed_42,lstm,R2,60,4,42,validation,68,17,0,0,0,17,0.037157480875651044,0.1528076171875,0.160400390625,0.03232709099264706,0.073486328125,0.00196078431372549,0.00196078431372549
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_4__seed_42,lstm,R2,60,4,42,test,68,0,0,0,0,0,0.03757184520704017,0.1486328125,0.160400390625,,,,
G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_1__seed_42,tcn,R2,60,1,42,validation,14,4,0,0,0,4,0.24876962435447564,0.2958984375,0.296142578125,0.178070068359375,0.2008056640625,0.008333333333333333,0.008333333333333333
G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_1__seed_42,tcn,R2,60,1,42,test,14,67,0,0,0,67,0.2054723965919624,0.296142578125,0.296142578125,0.21155923871851678,0.296142578125,0.5233830845771145,0.5233830845771145
G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_2__seed_42,tcn,R2,60,2,42,validation,68,17,0,0,0,17,0.26657179940590364,0.311767578125,0.31201171875,0.21923828125,0.283447265625,0.00196078431372549,0.00196078431372549
