model,representation,window_size_frames,subset,metric,n_folds,mean,standard_deviation,minimum,maximum
lstm,R0,60,test,accuracy,4,0.813938722499061,0.09156123600015649,0.6988265971316818,0.89
lstm,R0,60,test,balanced_accuracy,4,0.586931586653703,0.1274537801440294,0.47854181906851984,0.7694692409130508
lstm,R0,60,test,macro_f1_all_classes,4,0.453498771084489,0.059305933568030905,0.374348174049606,0.5180764809438346
lstm,R0,60,validation,accuracy,4,0.8157073114673448,0.04205674172316517,0.7775847089487402,0.8567774936061381
lstm,R0,60,validation,balanced_accuracy,4,0.424036876015242,0.022355981434853855,0.40458969431692826,0.4553277338603426
lstm,R0,60,validation,macro_f1_all_classes,4,0.4044495663626978,0.016891067021185074,0.38993628349480663,0.42694260802912715
lstm,R1,60,test,accuracy,4,0.7931299881017563,0.15253604511157193,0.5671447196870926,0.8993333333333333
lstm,R1,60,test,balanced_accuracy,4,0.40935513467295465,0.10353873011957072,0.30609042759584043,0.4990451941438574
lstm,R1,60,test,macro_f1_all_classes,4,0.3105600236479051,0.011790627740742412,0.2984692937351016,0.3255917250303841
lstm,R1,60,validation,accuracy,4,0.8735311214896592,0.0390691795870705,0.8338983050847457,0.9198635976129582
lstm,R1,60,validation,balanced_accuracy,4,0.3323166487962437,0.0025260644017195267,0.3300395256916996,0.33557357488981426
lstm,R1,60,validation,macro_f1_all_classes,4,0.316346975848868,0.008235980477556746,0.30624706434945986,0.32566370625029845
lstm,R2,60,test,accuracy,4,0.8080732553673492,0.08745017939944975,0.7086049543676662,0.9113333333333333
lstm,R2,60,test,balanced_accuracy,4,0.43264997945978667,0.11804971675699137,0.3330269607843137,0.5655126981963564
lstm,R2,60,test,macro_f1_all_classes,4,0.3170430340229281,0.0388944528868063,0.27648480223833144,0.36933854675790156
lstm,R2,60,validation,accuracy,4,0.867171135217473,0.03775558196282727,0.832,0.9207161125319693
lstm,R2,60,validation,balanced_accuracy,4,0.3561463823012736,0.045626097935880544,0.3333333333333333,0.4245855292050944
lstm,R2,60,validation,macro_f1_all_classes,4,0.33429537557607736,0.04540640377875224,0.30759631882701605,0.4018982464610756
tcn,R0,60,test,accuracy,4,0.8444241378691839,0.059954374361580284,0.765296803652968,0.8913333333333333
tcn,R0,60,test,balanced_accuracy,4,0.5898795585268923,0.11916315390708611,0.4790295049987808,0.7587697668709523
tcn,R0,60,test,macro_f1_all_classes,4,0.4716167169726168,0.07626019396257507,0.3691134200040496,0.5393976990103332
tcn,R0,60,validation,accuracy,4,0.8346099197360846,0.03970609398863387,0.7819287576020851,0.8772378516624041
tcn,R0,60,validation,balanced_accuracy,4,0.42547970150132686,0.029112377821660325,0.3950617283950617,0.4644268774703557
tcn,R0,60,validation,macro_f1_all_classes,4,0.41246276388059033,0.02114868327982445,0.38791986407513207,0.43120758315104607
tcn,R1,60,test,accuracy,4,0.7486768182636853,0.1396637589083895,0.5686666666666667,0.873972602739726
tcn,R1,60,test,balanced_accuracy,4,0.4153886682690633,0.09772303731868054,0.32822133974291984,0.5
tcn,R1,60,test,macro_f1_all_classes,4,0.2929124219851824,0.01752044273670621,0.2766336130180524,0.310916179337232
tcn,R1,60,validation,accuracy,4,0.8208541162001934,0.14691122479492535,0.6038227628149435,0.9207161125319693
tcn,R1,60,validation,balanced_accuracy,4,0.34073631721291053,0.014805967759154492,0.3333333333333333,0.3629452688516423
tcn,R1,60,validation,macro_f1_all_classes,4,0.3167271280662042,0.006567874029199404,0.3081130355515041,0.32351419730444025
tcn,R2,60,test,accuracy,4,0.8027110648390278,0.07881569908004664,0.7092568448500652,0.888
tcn,R2,60,test,balanced_accuracy,4,0.4684424707517701,0.09864990515983922,0.3333333333333333,0.5680909545227386
tcn,R2,60,test,macro_f1_all_classes,4,0.35124444466063115,0.07842416366481672,0.2766336130180524,0.45308296428867534
tcn,R2,60,validation,accuracy,4,0.849602837119201,0.05745863747727632,0.7819287576020851,0.9207161125319693
tcn,R2,60,validation,balanced_accuracy,4,0.3831156140225459,0.06093578465513934,0.3333333333333333,0.4576608476064998
tcn,R2,60,validation,macro_f1_all_classes,4,0.36170496754681825,0.056426808309008036,0.3081130355515041,0.42228232289084217
transformer,R0,150,test,accuracy,4,0.8495459909436015,0.05508710762625615,0.7797397769516728,0.8948425987943738
transformer,R0,150,test,balanced_accuracy,4,0.577271383311184,0.14890807699406575,0.44807058769322916,0.7921126471393376
transformer,R0,150,test,macro_f1_all_classes,4,0.46389795560016356,0.08500372978404383,0.3527387078963939,0.5326557684054466
transformer,R0,150,validation,accuracy,4,0.8414486882286071,0.02767362729327029,0.8,0.8571428571428571
transformer,R0,150,validation,balanced_accuracy,4,0.4232132133837291,0.032027677691560355,0.39365621626751124,0.4540574093646719
transformer,R0,150,validation,macro_f1_all_classes,4,0.4080688231873264,0.01359118835778983,0.39020915706836284,0.42321963962359366
transformer,R1,150,test,accuracy,4,0.8290517414615938,0.10602064729190087,0.675392670157068,0.9142665773610181
transformer,R1,150,test,balanced_accuracy,4,0.4214351811039818,0.09105242612943308,0.3333333333333333,0.5
transformer,R1,150,test,macro_f1_all_classes,4,0.3169141911417837,0.011037184671556939,0.3057924139958836,0.33155746505695166
transformer,R1,150,validation,accuracy,4,0.8897294493876643,0.03171560292507342,0.8613333333333333,0.9258620689655173
transformer,R1,150,validation,balanced_accuracy,4,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
transformer,R1,150,validation,macro_f1_all_classes,4,0.3138081160697585,0.0059079607792338566,0.30850047755491883,0.3205013428827216
transformer,R2,150,test,accuracy,4,0.857703472459088,0.04695579654817784,0.8076208178438662,0.9011406844106464
transformer,R2,150,test,balanced_accuracy,4,0.5767870564139241,0.1541418687661294,0.4304236643859285,0.7943231590473583
transformer,R2,150,test,macro_f1_all_classes,4,0.4654155946507298,0.0851418862792716,0.3617725668956124,0.5354149528756434
transformer,R2,150,validation,accuracy,4,0.8572294130818472,0.026692380879405002,0.8213333333333334,0.8823529411764706
transformer,R2,150,validation,balanced_accuracy,4,0.41363386265978813,0.025373013399125628,0.3940927369132771,0.4509040527004599
transformer,R2,150,validation,macro_f1_all_classes,4,0.4112426608823129,0.023177140853954625,0.39101406887332124,0.4422941059461832
