model,representation,window_size_frames,fold,missing_ratio_lower,missing_ratio_upper,num_windows,error_rate,mean_probability_fatigue,fatigue_windows
transformer,R0,150,1,0.0,0.1,808,0.07549504950495049,0.009394749556437577,1
transformer,R0,150,1,0.1,0.25,79,0.0759493670886076,0.01088463505612144,0
transformer,R0,150,1,0.25,0.5,89,0.16853932584269662,0.011695518922270014,0
transformer,R0,150,1,0.5,0.75,79,0.4177215189873418,0.01660136935077136,0
transformer,R0,150,1,0.75,1.0,100,0.5,0.023561553955078127,0
transformer,R0,150,2,0.0,0.1,838,0.05369928400954654,0.014313445170910091,12
transformer,R0,150,2,0.1,0.25,89,0.056179775280898875,0.026987311545382725,0
transformer,R0,150,2,0.25,0.5,79,0.08860759493670886,0.03664678259740902,0
transformer,R0,150,2,0.5,0.75,68,0.6176470588235294,0.06460257137522978,0
transformer,R0,150,2,0.75,1.0,86,0.8255813953488372,0.06814468738644622,0
transformer,R0,150,3,0.0,0.1,763,0.09305373525557012,0.02054208977975508,11
transformer,R0,150,3,0.1,0.25,71,0.08450704225352113,0.021084422796544895,0
transformer,R0,150,3,0.25,0.5,61,0.19672131147540983,0.02252622510566086,0
transformer,R0,150,3,0.5,0.75,91,0.4065934065934066,0.03260970901656937,0
transformer,R0,150,3,0.75,1.0,139,0.7122302158273381,0.05232337567446043,0
transformer,R0,150,4,0.0,0.1,813,0.06027060270602706,0.021040593859307732,12
transformer,R0,150,4,0.1,0.25,61,0.03278688524590164,0.024276483254354508,0
transformer,R0,150,4,0.25,0.5,77,0.14285714285714285,0.024075198483157468,0
transformer,R0,150,4,0.5,0.75,47,0.46808510638297873,0.04255254217918883,0
transformer,R0,150,4,0.75,1.0,107,0.7102803738317757,0.06258613372517523,0
lstm,R0,60,1,0.0,0.1,886,0.11060948081264109,0.2969945903287246,4
lstm,R0,60,1,0.1,0.25,49,0.3469387755102041,0.2976024394132653,0
lstm,R0,60,1,0.25,0.5,53,0.5471698113207547,0.29730800412735847,0
lstm,R0,60,1,0.5,0.75,56,0.5892857142857143,0.29761178152901785,0
lstm,R0,60,1,0.75,1.0,136,0.5955882352941176,0.29573507869944854,0
lstm,R0,60,2,0.0,0.1,909,0.056105610561056105,0.017363234583956444,17
lstm,R0,60,2,0.1,0.25,48,0.08333333333333333,0.021585941314697266,0
lstm,R0,60,2,0.25,0.5,55,0.32727272727272727,0.056640763716264204,0
lstm,R0,60,2,0.5,0.75,51,0.35294117647058826,0.07365671793619792,0
lstm,R0,60,2,0.75,1.0,110,0.7,0.12503218217329545,0
lstm,R0,60,3,0.0,0.1,845,0.10295857988165681,0.00875458576270109,13
lstm,R0,60,3,0.1,0.25,30,0.16666666666666666,0.009795379638671876,0
lstm,R0,60,3,0.25,0.5,47,0.40425531914893614,0.02008657252534907,0
lstm,R0,60,3,0.5,0.75,58,0.4827586206896552,0.02741570308290679,0
lstm,R0,60,3,0.75,1.0,171,0.6842105263157895,0.04043704027320907,0
