model,subset,comparison,metric,n_folds,mean_delta,standard_deviation,minimum,maximum
lstm,test,R1-R0,balanced_accuracy,4,-0.1775764519807484,0.0867972279955674,-0.2704240467691934,-0.07338376266412244
lstm,test,R1-R0,distraction_f1,4,-0.4230157252495402,0.15737220757494305,-0.6219081272084805,-0.23745036572622777
lstm,test,R1-R0,fatigue_f1,4,0.0,0.0,0.0,0.0
lstm,test,R1-R0,fatigue_predictions,4,0.0,0.0,0.0,0.0
lstm,test,R1-R0,fatigue_recall,4,0.0,0.0,0.0,0.0
lstm,test,R1-R0,macro_f1_all_classes,4,-0.1429387474365839,0.06403404347228997,-0.21349217635953005,-0.06075340280777597
lstm,test,R2-R0,balanced_accuracy,4,-0.15428160719391637,0.11165568644645882,-0.2707423153879076,-0.005747126436781547
lstm,test,R2-R0,distraction_f1,4,-0.41945233333754284,0.2870708327526357,-0.6219081272084805,-0.008359456635318674
lstm,test,R2-R0,fatigue_f1,4,0.0,0.0,0.0,0.0
lstm,test,R2-R0,fatigue_predictions,4,1.25,1.8929694486000912,0.0,4.0
lstm,test,R2-R0,fatigue_recall,4,0.0,0.0,0.0,0.0
lstm,test,R2-R0,macro_f1_all_classes,4,-0.1364557370615609,0.09266054244011454,-0.21359770896287672,-0.005009627291704455
lstm,test,R2-R1,balanced_accuracy,4,0.023294844786832025,0.03230557355176643,-0.0010755216497718711,0.0676366362273409
lstm,test,R2-R1,distraction_f1,4,0.0035633919119974072,0.17082443329081812,-0.18498659517426275,0.2290909090909091
lstm,test,R2-R1,fatigue_f1,4,0.0,0.0,0.0,0.0
lstm,test,R2-R1,fatigue_predictions,4,1.25,1.8929694486000912,0.0,4.0
lstm,test,R2-R1,fatigue_recall,4,0.0,0.0,0.0,0.0
lstm,test,R2-R1,macro_f1_all_classes,4,0.006483010375023038,0.03406955934663771,-0.021984491496770175,0.055743775516071514
lstm,validation,R1-R0,balanced_accuracy,4,-0.09172022721899833,0.023178732600232548,-0.125288208168643,-0.07396089107149217
lstm,validation,R1-R0,distraction_f1,4,-0.30371014399957824,0.04968970967067678,-0.3673469387755102,-0.24875621890547264
lstm,validation,R1-R0,fatigue_f1,4,0.0,0.0,0.0,0.0
lstm,validation,R1-R0,fatigue_predictions,4,0.0,0.0,0.0,0.0
lstm,validation,R1-R0,fatigue_recall,4,0.0,0.0,0.0,0.0
lstm,validation,R1-R0,macro_f1_all_classes,4,-0.08810259051382979,0.01789451044660758,-0.11288525024821505,-0.07051650848000501
lstm,validation,R2-R0,balanced_accuracy,4,-0.06789049371396841,0.026037621359340644,-0.09077848394087712,-0.030742204655248184
lstm,validation,R2-R0,distraction_f1,4,-0.245333815043981,0.12685468292881683,-0.35443037974683544,-0.0665339306454289
lstm,validation,R2-R0,fatigue_f1,4,0.0,0.0,0.0,0.0
lstm,validation,R2-R0,fatigue_predictions,4,0.0,0.0,0.0,0.0
lstm,validation,R2-R0,fatigue_recall,4,0.0,0.0,0.0,0.0
lstm,validation,R2-R0,macro_f1_all_classes,4,-0.07015419078662044,0.0323681370824819,-0.09967856306885026,-0.025044361568051565
lstm,validation,R2-R1,balanced_accuracy,4,0.023829733505029926,0.04718739383129259,-0.0022402415564809486,0.09454600351339482
lstm,validation,R2-R1,distraction_f1,4,0.05837632895559726,0.1647094494098896,-0.0673076923076923,0.3008130081300813
lstm,validation,R2-R1,fatigue_f1,4,0.0,0.0,0.0,0.0
lstm,validation,R2-R1,fatigue_predictions,4,0.0,0.0,0.0,0.0
lstm,validation,R2-R1,fatigue_recall,4,0.0,0.0,0.0,0.0
lstm,validation,R2-R1,macro_f1_all_classes,4,0.017948399727209352,0.04738956213357327,-0.017550670698794346,0.08784088868016349
tcn,test,R1-R0,balanced_accuracy,4,-0.17449089025782902,0.08385127336229264,-0.2587697668709523,-0.0680568806505838
tcn,test,R1-R0,distraction_f1,4,-0.4762947089749588,0.23206989466892547,-0.7251908396946565,-0.24633431085043989
tcn,test,R1-R0,fatigue_f1,4,0.0,0.0,0.0,0.0
tcn,test,R1-R0,fatigue_predictions,4,0.0,0.0,0.0,0.0
tcn,test,R1-R0,fatigue_recall,4,0.0,0.0,0.0,0.0
tcn,test,R1-R0,macro_f1_all_classes,4,-0.1787042949874344,0.08719313746950628,-0.2627640859922808,-0.05819724066681764
tcn,test,R2-R0,balanced_accuracy,4,-0.12143708777512219,0.1373115195656174,-0.2587697668709523,3.4073872154816165e-05
tcn,test,R2-R0,distraction_f1,4,-0.34048710658461434,0.38563111646109277,-0.7251908396946565,-8.806460419363837e-05
tcn,test,R2-R0,fatigue_f1,4,0.0,0.0,0.0,0.0
tcn,test,R2-R0,fatigue_predictions,4,0.0,0.0,0.0,0.0
tcn,test,R2-R0,fatigue_recall,4,0.0,0.0,0.0,0.0
tcn,test,R2-R0,macro_f1_all_classes,4,-0.12037227231198568,0.13754149819595315,-0.2627640859922808,0.0012472476102528551
tcn,test,R2-R1,balanced_accuracy,4,0.053053802482706816,0.06867642791442917,0.0,0.14412425540808865
tcn,test,R2-R1,distraction_f1,4,0.13580760239034445,0.15817921016187103,0.0,0.2969841633151315
tcn,test,R2-R1,fatigue_f1,4,0.0,0.0,0.0,0.0
tcn,test,R2-R1,fatigue_predictions,4,0.0,0.0,0.0,0.0
tcn,test,R2-R1,fatigue_recall,4,0.0,0.0,0.0,0.0
tcn,test,R2-R1,macro_f1_all_classes,4,0.058332022675448736,0.08197287132762511,0.0,0.17388360242472445
tcn,validation,R1-R0,balanced_accuracy,4,-0.08474338428841632,0.03553422862420312,-0.1310935441370224,-0.05260933774598764
tcn,validation,R1-R0,distraction_f1,4,-0.2730790022053421,0.13711445439188258,-0.38338658146964855,-0.0976740160963086
tcn,validation,R1-R0,fatigue_f1,4,0.0,0.0,0.0,0.0
tcn,validation,R1-R0,fatigue_predictions,4,0.0,0.0,0.0,0.0
tcn,validation,R1-R0,fatigue_recall,4,0.0,0.0,0.0,0.0
tcn,validation,R1-R0,macro_f1_all_classes,4,-0.0957356358143862,0.026327714810333955,-0.12087355050535542,-0.06834596261041836
tcn,validation,R2-R0,balanced_accuracy,4,-0.04236408747878098,0.0427493319863107,-0.09354226020892686,-0.006766029863855938
