model,window_size_frames,fold,subset,comparison,metric,delta
lstm,60,1,validation,R1-R0,macro_f1_all_classes,-0.08212789237005591
lstm,60,1,validation,R1-R0,balanced_accuracy,-0.08853824238439617
lstm,60,1,validation,R1-R0,fatigue_f1,0.0
lstm,60,1,validation,R1-R0,fatigue_recall,0.0
lstm,60,1,validation,R1-R0,distraction_f1,-0.28712268743914315
lstm,60,1,validation,R1-R0,fatigue_predictions,0
lstm,60,1,validation,R2-R0,macro_f1_all_classes,-0.09967856306885026
lstm,60,1,validation,R2-R0,balanced_accuracy,-0.09077848394087712
lstm,60,1,validation,R2-R0,fatigue_f1,0.0
lstm,60,1,validation,R2-R0,fatigue_recall,0.0
lstm,60,1,validation,R2-R0,distraction_f1,-0.35443037974683544
lstm,60,1,validation,R2-R0,fatigue_predictions,0
lstm,60,1,validation,R2-R1,macro_f1_all_classes,-0.017550670698794346
lstm,60,1,validation,R2-R1,balanced_accuracy,-0.0022402415564809486
lstm,60,1,validation,R2-R1,fatigue_f1,0.0
lstm,60,1,validation,R2-R1,fatigue_recall,0.0
lstm,60,1,validation,R2-R1,distraction_f1,-0.0673076923076923
lstm,60,1,validation,R2-R1,fatigue_predictions,0
lstm,60,1,test,R1-R0,macro_f1_all_classes,-0.16458518592337568
lstm,60,1,test,R1-R0,balanced_accuracy,-0.22236503440426308
lstm,60,1,test,R1-R0,fatigue_f1,0.0
lstm,60,1,test,R1-R0,fatigue_recall,0.0
lstm,60,1,test,R1-R0,distraction_f1,-0.42675748896245946
lstm,60,1,test,R1-R0,fatigue_predictions,0
lstm,60,1,test,R2-R0,macro_f1_all_classes,-0.18656967742014585
lstm,60,1,test,R2-R0,balanced_accuracy,-0.1954285012157898
lstm,60,1,test,R2-R0,fatigue_f1,0.0
lstm,60,1,test,R2-R0,fatigue_recall,0.0
lstm,60,1,test,R2-R0,distraction_f1,-0.6117440841367222
lstm,60,1,test,R2-R0,fatigue_predictions,1
lstm,60,1,test,R2-R1,macro_f1_all_classes,-0.021984491496770175
lstm,60,1,test,R2-R1,balanced_accuracy,0.026936533188473277
lstm,60,1,test,R2-R1,fatigue_f1,0.0
lstm,60,1,test,R2-R1,fatigue_recall,0.0
lstm,60,1,test,R2-R1,distraction_f1,-0.18498659517426275
lstm,60,1,test,R2-R1,fatigue_predictions,1
lstm,60,2,validation,R1-R0,macro_f1_all_classes,-0.07051650848000501
lstm,60,2,validation,R1-R0,balanced_accuracy,-0.079093567251462
lstm,60,2,validation,R1-R0,fatigue_f1,0.0
lstm,60,2,validation,R1-R0,fatigue_recall,0.0
lstm,60,2,validation,R1-R0,distraction_f1,-0.24875621890547264
lstm,60,2,validation,R1-R0,fatigue_predictions,0
lstm,60,2,validation,R2-R0,macro_f1_all_classes,-0.07036238203009293
lstm,60,2,validation,R2-R0,balanced_accuracy,-0.07878492527615338
lstm,60,2,validation,R2-R0,fatigue_f1,0.0
lstm,60,2,validation,R2-R0,fatigue_recall,0.0
lstm,60,2,validation,R2-R0,distraction_f1,-0.24875621890547264
lstm,60,2,validation,R2-R0,fatigue_predictions,0
lstm,60,2,validation,R2-R1,macro_f1_all_classes,0.00015412644991208424
lstm,60,2,validation,R2-R1,balanced_accuracy,0.00030864197530861004
lstm,60,2,validation,R2-R1,fatigue_f1,0.0
lstm,60,2,validation,R2-R1,fatigue_recall,0.0
lstm,60,2,validation,R2-R1,distraction_f1,0.0
lstm,60,2,validation,R2-R1,fatigue_predictions,0
lstm,60,2,test,R1-R0,macro_f1_all_classes,-0.21349217635953005
lstm,60,2,test,R1-R0,balanced_accuracy,-0.2704240467691934
lstm,60,2,test,R1-R0,fatigue_f1,0.0
lstm,60,2,test,R1-R0,fatigue_recall,0.0
lstm,60,2,test,R1-R0,distraction_f1,-0.6219081272084805
lstm,60,2,test,R1-R0,fatigue_predictions,0
