model,representation,window_size_frames,subset,label,metric,n_folds_with_support,mean,standard_deviation,minimum,maximum
lstm,R0,60,test,alert,precision,4,0.9249200687562905,0.0225894667143344,0.8927789934354485,0.9439114391143911
lstm,R0,60,test,alert,recall,4,0.8477669952002608,0.12846535469896503,0.6645220588235294,0.9382558879694463
lstm,R0,60,test,alert,f1,4,0.8804379193098637,0.0750322620544074,0.7774193548387097,0.9397501836884644
lstm,R0,60,test,distraction,precision,4,0.4274738164305806,0.17554783495083082,0.22099447513812154,0.6446886446886447
lstm,R0,60,test,distraction,recall,4,0.5778454983743011,0.26278516987786593,0.2898550724637681,0.920844327176781
lstm,R0,60,test,distraction,f1,4,0.48005839394360345,0.17510793398836688,0.2507836990595611,0.6219081272084805
lstm,R0,60,test,fatigue,precision,2,0.0,0.0,0.0,0.0
lstm,R0,60,test,fatigue,recall,2,0.0,0.0,0.0,0.0
lstm,R0,60,test,fatigue,f1,2,0.0,0.0,0.0,0.0
lstm,R0,60,validation,alert,precision,4,0.9123340272805794,0.024452013731938796,0.8842105263157894,0.9351145038167938
lstm,R0,60,validation,alert,recall,4,0.8742010682666487,0.033079976176389726,0.8402366863905325,0.9074074074074074
lstm,R0,60,validation,alert,f1,4,0.8928116320115921,0.02841108811679091,0.8677685950413223,0.9210526315789473
lstm,R0,60,validation,distraction,precision,4,0.26901861204104205,0.047819564654289125,0.2,0.30201342281879195
lstm,R0,60,validation,distraction,recall,4,0.3979095597790773,0.06388509180822873,0.32894736842105265,0.46875
lstm,R0,60,validation,distraction,f1,4,0.3205370670765013,0.053454089271806345,0.24875621890547264,0.3673469387755102
lstm,R0,60,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
lstm,R0,60,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
lstm,R0,60,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
lstm,R1,60,test,alert,precision,4,0.8284498340178937,0.09880770100613813,0.6863753213367609,0.9113667117726658
lstm,R1,60,test,alert,recall,4,0.9270446982001105,0.1273360007579354,0.7362132352941176,0.9980903882877148
lstm,R1,60,test,alert,f1,4,0.8746374022496521,0.11032020714423876,0.7104212860310422,0.9469244288224956
lstm,R1,60,test,distraction,precision,4,0.09056333085624639,0.07692017048578184,0.0,0.1880108991825613
lstm,R1,60,test,distraction,recall,4,0.05179039179053519,0.0871541574027652,0.0,0.1820580474934037
lstm,R1,60,test,distraction,f1,4,0.0570426686940632,0.08616538558256719,0.0,0.18498659517426275
