model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r2,1,validation,alert,alert,945,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,validation,alert,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,validation,alert,distraction,54,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,validation,fatigue,alert,1,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,validation,fatigue,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,validation,fatigue,distraction,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,validation,distraction,alert,114,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,validation,distraction,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,validation,distraction,distraction,41,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,test,alert,alert,1001,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,test,alert,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,test,alert,distraction,89,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,test,fatigue,alert,56,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,test,fatigue,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,test,fatigue,distraction,6,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,test,distraction,alert,112,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,test,distraction,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,1,test,distraction,distraction,264,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,2,validation,alert,alert,989,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_2__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
