model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,configuration_id,representation,window_size_frames,seed
lstm,temporal_r2,1,validation,alert,0.8593220338983051,1.0,0.9243391066545124,1014,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
lstm,temporal_r2,1,validation,fatigue,0.0,0.0,0.0,4,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
lstm,temporal_r2,1,validation,distraction,0.0,0.0,0.0,162,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
lstm,temporal_r2,1,test,alert,0.7090671885192433,0.9990808823529411,0.8294544067149943,1088,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
lstm,temporal_r2,1,test,fatigue,0.0,0.0,0.0,67,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
lstm,temporal_r2,1,test,distraction,0.0,0.0,0.0,379,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,1,validation,alert,0.8593220338983051,1.0,0.9243391066545124,1014,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,1,validation,fatigue,0.0,0.0,0.0,4,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,1,validation,distraction,0.0,0.0,0.0,162,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,1,test,alert,0.7092568448500652,1.0,0.8299008390541571,1088,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
