model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,configuration_id,representation,window_size_frames,seed,best_epoch,stopping_epoch,best_validation_macro_f1,best_training_loss,best_validation_loss,training_seconds,parameter_count,model_size_bytes,peak_gpu_memory_bytes,inference_seconds,inference_windows_per_second
lstm,temporal_r2,1,validation,1180,0.8593220338983051,0.3333333333333333,0.3081130355515041,0.3081130355515041,"[""alert"", ""fatigue"", ""distraction""]",[],2.272800399994594,False,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42,1,16,0.3081130355515041,1.1039234112392906,1.0555308176299274,2.272800399994594,52419,660818,378766848,0.02077899999858346,56788.10337746969
lstm,temporal_r2,1,test,1534,0.7086049543676662,0.3330269607843137,0.27648480223833144,0.27648480223833144,"[""alert"", ""fatigue"", ""distraction""]",[],2.272800399994594,False,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42,1,16,0.3081130355515041,1.1039234112392906,1.0555308176299274,2.272800399994594,52419,660818,378766848,0.0267669000022579,57309.587582820604
tcn,temporal_r2,1,validation,1180,0.8593220338983051,0.3333333333333333,0.3081130355515041,0.3081130355515041,"[""alert"", ""fatigue"", ""distraction""]",[],249.8309805999961,False,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42,1,16,0.3081130355515041,1.050269439285445,0.8552469582880957,249.8309805999961,49763,641404,190461440,3.7573715999969863,314.04932107352556
tcn,temporal_r2,1,test,1534,0.7092568448500652,0.3333333333333333,0.2766336130180524,0.2766336130180524,"[""alert"", ""fatigue"", ""distraction""]",[],249.8309805999961,False,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_1__seed_42,G3,qualification_r2_w60_b1024,R2,60,42,1,16,0.3081130355515041,1.050269439285445,0.8552469582880957,249.8309805999961,49763,641404,190461440,4.711152000003494,325.6103814945606
lstm,temporal_r2,2,validation,1173,0.9207161125319693,0.3333333333333333,0.3195739014647137,0.3195739014647137,"[""alert"", ""fatigue"", ""distraction""]",[],1.884115799999563,False,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_2__seed_42,G3,qualification_r2_w60_b1024,R2,60,42,1,16,0.3195739014647137,1.1059457501418994,1.0676933490406826,1.884115799999563,52419,660818,379171328,0.02235389999987092,52474.06492857056
lstm,temporal_r2,2,test,1864,0.8406652360515021,0.4987269255251432,0.4567181579714369,0.3044787719809579,"[""alert"", ""distraction""]","[""fatigue""]",1.884115799999563,False,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_2__seed_42,G3,qualification_r2_w60_b1024,R2,60,42,1,16,0.3195739014647137,1.1059457501418994,1.0676933490406826,1.884115799999563,52419,660818,379171328,0.03191479999804869,58405.50465971797
tcn,temporal_r2,2,validation,1173,0.9207161125319693,0.3333333333333333,0.3195739014647137,0.3195739014647137,"[""alert"", ""fatigue"", ""distraction""]",[],227.11427370000456,False,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_2__seed_42,G3,qualification_r2_w60_b1024,R2,60,42,1,16,0.3195739014647137,1.0700342933802287,0.9091349376741883,227.11427370000456,49763,641404,190461440,3.612795400003961,324.67933279551727
tcn,temporal_r2,2,test,1864,0.8428111587982833,0.5,0.45735080058224165,0.30490053372149445,"[""alert"", ""distraction""]","[""fatigue""]",227.11427370000456,False,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_2__seed_42,G3,qualification_r2_w60_b1024,R2,60,42,1,16,0.3195739014647137,1.0700342933802287,0.9091349376741883,227.11427370000456,49763,641404,190461440,5.781421400002728,322.4120628880504
lstm,temporal_r2,3,validation,1151,0.8566463944396178,0.3333333333333333,0.30759631882701605,0.30759631882701605,"[""alert"", ""fatigue"", ""distraction""]",[],2.4667289999997593,False,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_3__seed_42,G3,qualification_r2_w60_b1024,R2,60,42,1,16,0.30759631882701605,1.1021700040458442,1.053821663562367,2.4667289999997593,52419,660818,379171328,0.03463919999921927,33228.2500758084
lstm,temporal_r2,3,test,1500,0.9113333333333333,0.3333333333333333,0.31787001511452156,0.31787001511452156,"[""alert"", ""fatigue"", ""distraction""]",[],2.4667289999997593,False,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_3__seed_42,G3,qualification_r2_w60_b1024,R2,60,42,1,16,0.30759631882701605,1.1021700040458442,1.053821663562367,2.4667289999997593,52419,660818,379171328,0.05608380000194302,26745.69126820994
