model,subset,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
lstm,test,accuracy,1,0.8080732553673492,0.0,0.8080732553673492,0.8080732553673492,0.8080732553673492,nan,nan
lstm,test,balanced_accuracy,1,0.43264997945978667,0.0,0.43264997945978667,0.43264997945978667,0.43264997945978667,nan,nan
lstm,test,macro_f1_all_classes,1,0.3170430340229281,0.0,0.3170430340229281,0.3170430340229281,0.3170430340229281,nan,nan
lstm,test,best_epoch,1,5.0,0.0,5.0,5.0,5.0,nan,nan
lstm,test,stopping_epoch,1,20.0,0.0,20.0,20.0,20.0,nan,nan
lstm,test,best_validation_macro_f1,1,0.33429537557607736,0.0,0.33429537557607736,0.33429537557607736,0.33429537557607736,nan,nan
lstm,test,training_seconds,1,11.780490899996948,0.0,11.780490899996948,11.780490899996948,11.780490899996948,nan,nan
lstm,validation,accuracy,1,0.867171135217473,0.0,0.867171135217473,0.867171135217473,0.867171135217473,nan,nan
lstm,validation,balanced_accuracy,1,0.3561463823012736,0.0,0.3561463823012736,0.3561463823012736,0.3561463823012736,nan,nan
lstm,validation,macro_f1_all_classes,1,0.33429537557607736,0.0,0.33429537557607736,0.33429537557607736,0.33429537557607736,nan,nan
lstm,validation,best_epoch,1,5.0,0.0,5.0,5.0,5.0,nan,nan
lstm,validation,stopping_epoch,1,20.0,0.0,20.0,20.0,20.0,nan,nan
lstm,validation,best_validation_macro_f1,1,0.33429537557607736,0.0,0.33429537557607736,0.33429537557607736,0.33429537557607736,nan,nan
lstm,validation,training_seconds,1,11.780490899996948,0.0,11.780490899996948,11.780490899996948,11.780490899996948,nan,nan
tcn,test,accuracy,1,0.8027110648390278,0.0,0.8027110648390278,0.8027110648390278,0.8027110648390278,nan,nan
tcn,test,balanced_accuracy,1,0.4684424707517701,0.0,0.4684424707517701,0.4684424707517701,0.4684424707517701,nan,nan
tcn,test,macro_f1_all_classes,1,0.35124444466063115,0.0,0.35124444466063115,0.35124444466063115,0.35124444466063115,nan,nan
tcn,test,best_epoch,1,8.75,0.0,8.75,8.75,8.75,nan,nan
tcn,test,stopping_epoch,1,23.75,0.0,23.75,23.75,23.75,nan,nan
tcn,test,best_validation_macro_f1,1,0.36170496754681825,0.0,0.36170496754681825,0.36170496754681825,0.36170496754681825,nan,nan
tcn,test,training_seconds,1,1519.2991986999914,0.0,1519.2991986999914,1519.2991986999914,1519.2991986999914,nan,nan
tcn,validation,accuracy,1,0.849602837119201,0.0,0.849602837119201,0.849602837119201,0.849602837119201,nan,nan
tcn,validation,balanced_accuracy,1,0.3831156140225459,0.0,0.3831156140225459,0.3831156140225459,0.3831156140225459,nan,nan
tcn,validation,macro_f1_all_classes,1,0.36170496754681825,0.0,0.36170496754681825,0.36170496754681825,0.36170496754681825,nan,nan
tcn,validation,best_epoch,1,8.75,0.0,8.75,8.75,8.75,nan,nan
tcn,validation,stopping_epoch,1,23.75,0.0,23.75,23.75,23.75,nan,nan
tcn,validation,best_validation_macro_f1,1,0.36170496754681825,0.0,0.36170496754681825,0.36170496754681825,0.36170496754681825,nan,nan
tcn,validation,training_seconds,1,1519.2991986999914,0.0,1519.2991986999914,1519.2991986999914,1519.2991986999914,nan,nan
