model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r0,1,validation,alert,alert,759,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,validation,alert,fatigue,122,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,validation,alert,distraction,118,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,validation,fatigue,alert,1,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,validation,fatigue,fatigue,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,validation,fatigue,distraction,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,validation,distraction,alert,67,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,validation,distraction,fatigue,17,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,validation,distraction,distraction,71,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,test,alert,alert,659,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,test,alert,fatigue,9,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,test,alert,distraction,422,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,test,fatigue,alert,6,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,test,fatigue,fatigue,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,test,fatigue,distraction,56,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,test,distraction,alert,6,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,test,distraction,fatigue,3,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,test,distraction,distraction,367,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,validation,alert,alert,816,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,validation,alert,fatigue,20,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,validation,alert,distraction,238,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,validation,fatigue,alert,12,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,validation,fatigue,fatigue,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,validation,fatigue,distraction,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,validation,distraction,alert,32,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,validation,distraction,fatigue,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,validation,distraction,distraction,42,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,alert,alert,1403,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,alert,fatigue,31,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,alert,distraction,126,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,fatigue,alert,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,fatigue,fatigue,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,fatigue,distraction,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,alert,82,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,fatigue,14,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,distraction,185,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,alert,737,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,fatigue,40,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
