model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r0,1,validation,alert,0.9177750906892382,0.7597597597597597,0.8313253012048193,999,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,validation,fatigue,0.0,0.0,0.0,1,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,validation,distraction,0.37566137566137564,0.45806451612903226,0.4127906976744186,155,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,test,alert,0.9821162444113264,0.6045871559633027,0.7484383872799546,1090,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,test,fatigue,0.0,0.0,0.0,62,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,1,test,distraction,0.43431952662721895,0.976063829787234,0.6011466011466011,376,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,validation,alert,0.9488372093023256,0.7597765363128491,0.843846949327818,1074,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,validation,fatigue,0.0,0.0,0.0,12,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,validation,distraction,0.15,0.5675675675675675,0.23728813559322035,74,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,alert,0.9447811447811448,0.8993589743589744,0.9215106732348112,1560,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,fatigue,,,,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,0.594855305466238,0.6583629893238434,0.625,281,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,0.8998778998778999,0.760577915376677,0.8243847874720358,969,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,fatigue,0.0,0.0,0.0,11,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,distraction,0.26717557251908397,0.4827586206896552,0.343980343980344,145,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,test,alert,0.9645881447267128,0.9179487179487179,0.9406906906906907,1365,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,test,fatigue,0.0,0.0,0.0,22,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,test,distraction,0.375,0.6226415094339622,0.46808510638297873,106,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,validation,alert,0.9412568306010929,0.687624750499002,0.7946943483275664,1002,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,validation,fatigue,0.031746031746031744,0.5,0.05970149253731343,12,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,validation,distraction,0.22826086956521738,0.46153846153846156,0.3054545454545455,91,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,test,alert,0.9129852744310576,0.7209302325581395,0.8056704075605434,946,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,test,fatigue,,,,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,test,distraction,0.21888412017167383,0.3923076923076923,0.2809917355371901,130,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
