model,subset,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
transformer,test,accuracy,1,0.7746808876638807,0.0,0.7746808876638807,0.7746808876638807,0.7746808876638807,nan,nan
transformer,test,balanced_accuracy,1,0.5939734204963493,0.0,0.5939734204963493,0.5939734204963493,0.5939734204963493,nan,nan
transformer,test,macro_f1_all_classes,1,0.4492944668193975,0.0,0.4492944668193975,0.4492944668193975,0.4492944668193975,nan,nan
transformer,test,best_epoch,1,10.25,0.0,10.25,10.25,10.25,nan,nan
transformer,test,stopping_epoch,1,25.25,0.0,25.25,25.25,25.25,nan,nan
transformer,test,best_validation_macro_f1,1,0.3877888834643401,0.0,0.3877888834643401,0.3877888834643401,0.3877888834643401,nan,nan
transformer,test,training_seconds,1,34.20880440001201,0.0,34.20880440001201,34.20880440001201,34.20880440001201,nan,nan
transformer,validation,accuracy,1,0.7106428875384251,0.0,0.7106428875384251,0.7106428875384251,0.7106428875384251,nan,nan
transformer,validation,balanced_accuracy,1,0.45313901065608375,0.0,0.45313901065608375,0.45313901065608375,0.45313901065608375,nan,nan
transformer,validation,macro_f1_all_classes,1,0.3877888834643401,0.0,0.3877888834643401,0.3877888834643401,0.3877888834643401,nan,nan
transformer,validation,best_epoch,1,10.25,0.0,10.25,10.25,10.25,nan,nan
transformer,validation,stopping_epoch,1,25.25,0.0,25.25,25.25,25.25,nan,nan
transformer,validation,best_validation_macro_f1,1,0.3877888834643401,0.0,0.3877888834643401,0.3877888834643401,0.3877888834643401,nan,nan
transformer,validation,training_seconds,1,34.20880440001201,0.0,34.20880440001201,34.20880440001201,34.20880440001201,nan,nan
