model,subset,fold,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
lstm,test,1,macro_f1_all_classes,1,0.49498128742739467,0.0,0.49498128742739467,0.49498128742739467,0.49498128742739467,nan,nan
lstm,test,1,best_epoch,1,9.0,0.0,9.0,9.0,9.0,nan,nan
lstm,test,1,stopping_epoch,1,24.0,0.0,24.0,24.0,24.0,nan,nan
lstm,test,1,best_validation_macro_f1,1,0.46230365557907716,0.0,0.46230365557907716,0.46230365557907716,0.46230365557907716,nan,nan
lstm,test,2,macro_f1_all_classes,1,0.510974185998294,0.0,0.510974185998294,0.510974185998294,0.510974185998294,nan,nan
lstm,test,2,best_epoch,1,8.0,0.0,8.0,8.0,8.0,nan,nan
lstm,test,2,stopping_epoch,1,23.0,0.0,23.0,23.0,23.0,nan,nan
lstm,test,2,best_validation_macro_f1,1,0.33815165744779224,0.0,0.33815165744779224,0.33815165744779224,0.33815165744779224,nan,nan
lstm,test,3,macro_f1_all_classes,1,0.4803296000224983,0.0,0.4803296000224983,0.4803296000224983,0.4803296000224983,nan,nan
lstm,test,3,best_epoch,1,12.0,0.0,12.0,12.0,12.0,nan,nan
lstm,test,3,stopping_epoch,1,27.0,0.0,27.0,27.0,27.0,nan,nan
lstm,test,3,best_validation_macro_f1,1,0.39763990497999196,0.0,0.39763990497999196,0.39763990497999196,0.39763990497999196,nan,nan
lstm,test,4,macro_f1_all_classes,1,0.3591701869342952,0.0,0.3591701869342952,0.3591701869342952,0.3591701869342952,nan,nan
lstm,test,4,best_epoch,1,17.0,0.0,17.0,17.0,17.0,nan,nan
lstm,test,4,stopping_epoch,1,32.0,0.0,32.0,32.0,32.0,nan,nan
lstm,test,4,best_validation_macro_f1,1,0.40367770692186283,0.0,0.40367770692186283,0.40367770692186283,0.40367770692186283,nan,nan
lstm,validation,1,macro_f1_all_classes,1,0.46230365557907716,0.0,0.46230365557907716,0.46230365557907716,0.46230365557907716,nan,nan
lstm,validation,1,best_epoch,1,9.0,0.0,9.0,9.0,9.0,nan,nan
lstm,validation,1,stopping_epoch,1,24.0,0.0,24.0,24.0,24.0,nan,nan
lstm,validation,1,best_validation_macro_f1,1,0.46230365557907716,0.0,0.46230365557907716,0.46230365557907716,0.46230365557907716,nan,nan
lstm,validation,2,macro_f1_all_classes,1,0.33815165744779224,0.0,0.33815165744779224,0.33815165744779224,0.33815165744779224,nan,nan
lstm,validation,2,best_epoch,1,8.0,0.0,8.0,8.0,8.0,nan,nan
lstm,validation,2,stopping_epoch,1,23.0,0.0,23.0,23.0,23.0,nan,nan
lstm,validation,2,best_validation_macro_f1,1,0.33815165744779224,0.0,0.33815165744779224,0.33815165744779224,0.33815165744779224,nan,nan
lstm,validation,3,macro_f1_all_classes,1,0.39763990497999196,0.0,0.39763990497999196,0.39763990497999196,0.39763990497999196,nan,nan
lstm,validation,3,best_epoch,1,12.0,0.0,12.0,12.0,12.0,nan,nan
lstm,validation,3,stopping_epoch,1,27.0,0.0,27.0,27.0,27.0,nan,nan
lstm,validation,3,best_validation_macro_f1,1,0.39763990497999196,0.0,0.39763990497999196,0.39763990497999196,0.39763990497999196,nan,nan
lstm,validation,4,macro_f1_all_classes,1,0.40367770692186283,0.0,0.40367770692186283,0.40367770692186283,0.40367770692186283,nan,nan
lstm,validation,4,best_epoch,1,17.0,0.0,17.0,17.0,17.0,nan,nan
lstm,validation,4,stopping_epoch,1,32.0,0.0,32.0,32.0,32.0,nan,nan
lstm,validation,4,best_validation_macro_f1,1,0.40367770692186283,0.0,0.40367770692186283,0.40367770692186283,0.40367770692186283,nan,nan
tcn,test,1,macro_f1_all_classes,1,0.5143859211896066,0.0,0.5143859211896066,0.5143859211896066,0.5143859211896066,nan,nan
tcn,test,1,best_epoch,1,5.0,0.0,5.0,5.0,5.0,nan,nan
tcn,test,1,stopping_epoch,1,20.0,0.0,20.0,20.0,20.0,nan,nan
tcn,test,1,best_validation_macro_f1,1,0.41761614901703537,0.0,0.41761614901703537,0.41761614901703537,0.41761614901703537,nan,nan
tcn,test,2,macro_f1_all_classes,1,0.5183312734600382,0.0,0.5183312734600382,0.5183312734600382,0.5183312734600382,nan,nan
tcn,test,2,best_epoch,1,4.0,0.0,4.0,4.0,4.0,nan,nan
tcn,test,2,stopping_epoch,1,19.0,0.0,19.0,19.0,19.0,nan,nan
tcn,test,2,best_validation_macro_f1,1,0.38381767490112173,0.0,0.38381767490112173,0.38381767490112173,0.38381767490112173,nan,nan
tcn,test,3,macro_f1_all_classes,1,0.4699633118481286,0.0,0.4699633118481286,0.4699633118481286,0.4699633118481286,nan,nan
tcn,test,3,best_epoch,1,4.0,0.0,4.0,4.0,4.0,nan,nan
tcn,test,3,stopping_epoch,1,19.0,0.0,19.0,19.0,19.0,nan,nan
tcn,test,3,best_validation_macro_f1,1,0.39384059125073234,0.0,0.39384059125073234,0.39384059125073234,0.39384059125073234,nan,nan
tcn,test,4,macro_f1_all_classes,1,0.3669796704562109,0.0,0.3669796704562109,0.3669796704562109,0.3669796704562109,nan,nan
tcn,test,4,best_epoch,1,4.0,0.0,4.0,4.0,4.0,nan,nan
tcn,test,4,stopping_epoch,1,19.0,0.0,19.0,19.0,19.0,nan,nan
tcn,test,4,best_validation_macro_f1,1,0.41639273351049894,0.0,0.41639273351049894,0.41639273351049894,0.41639273351049894,nan,nan
tcn,validation,1,macro_f1_all_classes,1,0.41761614901703537,0.0,0.41761614901703537,0.41761614901703537,0.41761614901703537,nan,nan
tcn,validation,1,best_epoch,1,5.0,0.0,5.0,5.0,5.0,nan,nan
tcn,validation,1,stopping_epoch,1,20.0,0.0,20.0,20.0,20.0,nan,nan
tcn,validation,1,best_validation_macro_f1,1,0.41761614901703537,0.0,0.41761614901703537,0.41761614901703537,0.41761614901703537,nan,nan
tcn,validation,2,macro_f1_all_classes,1,0.38381767490112173,0.0,0.38381767490112173,0.38381767490112173,0.38381767490112173,nan,nan
tcn,validation,2,best_epoch,1,4.0,0.0,4.0,4.0,4.0,nan,nan
tcn,validation,2,stopping_epoch,1,19.0,0.0,19.0,19.0,19.0,nan,nan
tcn,validation,2,best_validation_macro_f1,1,0.38381767490112173,0.0,0.38381767490112173,0.38381767490112173,0.38381767490112173,nan,nan
tcn,validation,3,macro_f1_all_classes,1,0.39384059125073234,0.0,0.39384059125073234,0.39384059125073234,0.39384059125073234,nan,nan
tcn,validation,3,best_epoch,1,4.0,0.0,4.0,4.0,4.0,nan,nan
tcn,validation,3,stopping_epoch,1,19.0,0.0,19.0,19.0,19.0,nan,nan
tcn,validation,3,best_validation_macro_f1,1,0.39384059125073234,0.0,0.39384059125073234,0.39384059125073234,0.39384059125073234,nan,nan
tcn,validation,4,macro_f1_all_classes,1,0.41639273351049894,0.0,0.41639273351049894,0.41639273351049894,0.41639273351049894,nan,nan
tcn,validation,4,best_epoch,1,4.0,0.0,4.0,4.0,4.0,nan,nan
tcn,validation,4,stopping_epoch,1,19.0,0.0,19.0,19.0,19.0,nan,nan
tcn,validation,4,best_validation_macro_f1,1,0.41639273351049894,0.0,0.41639273351049894,0.41639273351049894,0.41639273351049894,nan,nan
