run_id,generation,configuration_id,representation,window_size_frames,model,fold,seed,epoch,training_loss,validation_loss,training_macro_f1,validation_macro_f1,training_accuracy,validation_accuracy,learning_rate
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,1,1.089375562330943,1.0785868264861027,0.08793915340208135,0.13997861499996753,0.1391385187480632,0.21101694915254238,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,2,1.0678083732987396,1.0646515587628897,0.27836157551448554,0.37702486000703184,0.45584133870467924,0.7059322033898305,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,3,1.0493695479189977,1.0493597762059357,0.4199169538533793,0.39747872655415234,0.7570498915401301,0.7533898305084745,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,4,1.014924584101478,1.0376193062733796,0.4833726321191502,0.40559289184223113,0.8292531763247598,0.7686440677966102,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,5,0.9862806447194314,1.0364782701104374,0.4903155662436192,0.4083330360828157,0.8397892779671522,0.7728813559322034,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,6,0.9772281949277037,1.0381131507582584,0.47339783551004677,0.4088017785737444,0.8456770994731949,0.7754237288135594,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,7,0.9618998910570278,1.025817150584722,0.4746602499365342,0.452271233790251,0.8481561822125814,0.7813559322033898,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,8,0.9224721600036337,1.0175923036316694,0.4996041895018877,0.454840154540632,0.8503253796095445,0.785593220338983,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,9,0.9416568554847795,1.0061415130809201,0.5221544740588184,0.46230365557907716,0.851874806321661,0.7830508474576271,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,10,0.9345277884370741,0.9976682642758903,0.504172474854279,0.43400663024700004,0.847846296870158,0.7694915254237288,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,11,0.9198506411325462,0.9827513779624034,0.49466615481566484,0.41160986622310536,0.8394793926247288,0.7288135593220338,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,12,0.8993795038858065,0.9744320380485664,0.4880660066656219,0.3951482853676955,0.8118995971490548,0.6516949152542373,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,13,0.9031654321301416,0.9758782617116378,0.4682021513927377,0.35704615372309156,0.7341183762008057,0.5305084745762711,0.001
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,14,0.8745573194247855,0.9667701111001483,0.43405073418395895,0.3565932820527555,0.6151224047102573,0.5313559322033898,0.0005
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,15,0.862065686819758,0.9420341265403618,0.44663617395770316,0.37767578529221085,0.6569569259374032,0.5957627118644068,0.0005
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,16,0.8476853588989064,0.911169964378163,0.4663306480930533,0.38652549921405294,0.7300898667493028,0.6288135593220339,0.0005
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,17,0.8356524182060462,0.8977145698110937,0.474203510327114,0.38499656024493584,0.7567400061977069,0.6254237288135593,0.0005
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,18,0.8103173836340726,0.8913891404362048,0.4753575928255103,0.38596359256448315,0.7579795475674,0.6271186440677966,0.00025
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,19,0.7898773560037841,0.8930094177440061,0.47631001512086496,0.3819311629130324,0.7542609234583204,0.611864406779661,0.00025
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,20,0.7907186418005213,0.8909376536385488,0.47395975085902203,0.38102626128468003,0.7437248218159281,0.6076271186440678,0.00025
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,21,0.768508423250232,0.8935521424826929,0.47016696848087985,0.3784615295119973,0.7338084908583824,0.5932203389830508,0.00025
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,lstm,1,42,22,0.7596890594259592,0.8927393755670321,0.4678369651442605,0.37797091727063337,0.7217229625038736,0.5923728813559322,0.000125
