model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,configuration_id,representation,window_size_frames,seed,best_epoch,stopping_epoch,best_validation_macro_f1,best_training_loss,best_validation_loss,training_seconds,parameter_count,model_size_bytes,peak_gpu_memory_bytes,inference_seconds,inference_windows_per_second
lstm,temporal_r0,1,validation,1180,0.7830508474576271,0.5907784839408771,0.46230365557907716,0.46230365557907716,"[""alert"", ""fatigue"", ""distraction""]",[],3.3810958999965806,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42,9,24,0.46230365557907716,0.9416568554847795,1.0061415130809201,3.3810958999965806,51651,652434,376863744,0.019952800001192372,59139.56938021148
lstm,temporal_r0,1,test,1534,0.6773142112125163,0.5136053156150028,0.49498128742739467,0.49498128742739467,"[""alert"", ""fatigue"", ""distraction""]",[],3.3810958999965806,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42,9,24,0.46230365557907716,0.9416568554847795,1.0061415130809201,3.3810958999965806,51651,652434,376863744,0.026840499995159917,57152.437558041864
tcn,temporal_r0,1,validation,1180,0.6923728813559322,0.7268001071419875,0.41761614901703537,0.41761614901703537,"[""alert"", ""fatigue"", ""distraction""]",[],316.106775799999,False,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42,5,20,0.41761614901703537,0.8849148528473201,0.9798167952036454,316.106775799999,49379,637116,188977664,3.7019225000040024,318.75329642874055
tcn,temporal_r0,1,test,1534,0.6564537157757496,0.5370557917767981,0.5143859211896066,0.5143859211896066,"[""alert"", ""fatigue"", ""distraction""]",[],316.106775799999,False,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42,5,20,0.41761614901703537,0.8849148528473201,0.9798167952036454,316.106775799999,49379,637116,188977664,4.949780799994187,309.91271371083775
lstm,temporal_r0,2,validation,1173,0.7331628303495311,0.391829109811566,0.33815165744779224,0.33815165744779224,"[""alert"", ""fatigue"", ""distraction""]",[],3.1360491999948863,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42,8,23,0.33815165744779224,0.9397821014928605,1.0815254412242112,3.1360491999948863,51651,652306,377266176,0.025698400000692345,45644.86504873447
lstm,temporal_r0,2,test,1864,0.8707081545064378,0.7775345804828558,0.766461278997441,0.510974185998294,"[""alert"", ""distraction""]","[""fatigue""]",3.1360491999948863,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42,8,23,0.33815165744779224,0.9397821014928605,1.0815254412242112,3.1360491999948863,51651,652306,377266176,0.031868599995505065,58490.17529050255
tcn,temporal_r0,2,validation,1173,0.7246376811594203,0.49339334174215493,0.38381767490112173,0.38381767490112173,"[""alert"", ""fatigue"", ""distraction""]",[],284.21722659999796,False,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42,4,19,0.38381767490112173,0.9365705414923807,1.0614251592478383,284.21722659999796,49379,637052,188977664,3.667486500002269,319.83757813403656
tcn,temporal_r0,2,test,1864,0.8626609442060086,0.7810898473396871,0.7774969101900573,0.5183312734600382,"[""alert"", ""distraction""]","[""fatigue""]",284.21722659999796,False,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42,4,19,0.38381767490112173,0.9365705414923807,1.0614251592478383,284.21722659999796,49379,637052,188977664,5.8548451000024215,318.3687985185516
lstm,temporal_r0,3,validation,1151,0.6620330147697654,0.5460221782416722,0.39763990497999196,0.39763990497999196,"[""alert"", ""fatigue"", ""distraction""]",[],3.9570870000025025,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42,12,27,0.39763990497999196,0.879392947113467,1.1256484369108928,3.9570870000025025,51651,652754,377266176,0.022437799998442642,51297.36427278469
lstm,temporal_r0,3,test,1500,0.8413333333333334,0.5533137968671985,0.4803296000224983,0.4803296000224983,"[""alert"", ""fatigue"", ""distraction""]",[],3.9570870000025025,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42,12,27,0.39763990497999196,0.879392947113467,1.1256484369108928,3.9570870000025025,51651,652754,377266176,0.029339200002141297,51126.1384049505
tcn,temporal_r0,3,validation,1151,0.7471763683753258,0.40388687235329707,0.39384059125073234,0.39384059125073234,"[""alert"", ""fatigue"", ""distraction""]",[],301.0808567999993,False,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42,4,19,0.39384059125073234,0.8566997883103898,1.1831304072090898,301.0808567999993,49379,637052,188977664,3.5833621000056155,321.2067237073798
