model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r0,1,validation,alert,alert,756,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,validation,alert,fatigue,126,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,validation,alert,distraction,117,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,validation,fatigue,alert,1,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,validation,fatigue,fatigue,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,validation,fatigue,distraction,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,validation,distraction,alert,69,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,validation,distraction,fatigue,9,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,validation,distraction,distraction,77,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,test,alert,alert,663,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,test,alert,fatigue,43,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,test,alert,distraction,384,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,test,fatigue,alert,7,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,test,fatigue,fatigue,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
