model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r0,1,validation,alert,0.9152542372881356,0.7567567567567568,0.8284931506849315,999,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,validation,fatigue,0.0,0.0,0.0,1,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,validation,distraction,0.39690721649484534,0.4967741935483871,0.44126074498567336,155,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,test,alert,0.9793205317577548,0.6082568807339449,0.7504244482173175,1090,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,test,fatigue,0.0,0.0,0.0,62,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,1,test,distraction,0.4491844416562108,0.9521276595744681,0.6104006820119352,376,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,2,validation,alert,0.9481132075471698,0.7486033519553073,0.8366285119667014,1074,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,2,validation,fatigue,0.0,0.0,0.0,12,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,2,validation,distraction,0.15298507462686567,0.5540540540540541,0.23976608187134502,74,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,2,test,alert,0.9453072248480756,0.8974358974358975,0.9207497533706018,1560,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,2,test,fatigue,,,,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,0.6161616161616161,0.6512455516014235,0.6332179930795848,281,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,0.902676399026764,0.7657378740970072,0.8285873813512005,969,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,validation,fatigue,0.0,0.0,0.0,11,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,validation,distraction,0.2889733840304182,0.5241379310344828,0.37254901960784315,145,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,test,alert,0.963020030816641,0.9157509157509157,0.938790837401427,1365,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,test,fatigue,0.0,0.0,0.0,22,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,test,distraction,0.3651685393258427,0.6132075471698113,0.45774647887323944,106,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,validation,alert,0.9433701657458563,0.6816367265469062,0.7914252607184241,1002,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,validation,fatigue,0.036458333333333336,0.5833333333333334,0.06862745098039216,12,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,validation,distraction,0.2222222222222222,0.46153846153846156,0.3,91,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,test,alert,0.912043301759134,0.7124735729386892,0.8,946,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,test,fatigue,,,,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,test,distraction,0.22594142259414227,0.4153846153846154,0.2926829268292683,130,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
