model,subset,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
transformer,test,accuracy,1,0.7713523436192529,0.0,0.7713523436192529,0.7713523436192529,0.7713523436192529,nan,nan
transformer,test,balanced_accuracy,1,0.5920127049391731,0.0,0.5920127049391731,0.5920127049391731,0.5920127049391731,nan,nan
transformer,test,macro_f1_all_classes,1,0.4503344266486145,0.0,0.4503344266486145,0.4503344266486145,0.4503344266486145,nan,nan
transformer,test,best_epoch,1,8.25,0.0,8.25,8.25,8.25,nan,nan
transformer,test,stopping_epoch,1,23.25,0.0,23.25,23.25,23.25,nan,nan
transformer,test,best_validation_macro_f1,1,0.3922781335138759,0.0,0.3922781335138759,0.3922781335138759,0.3922781335138759,nan,nan
transformer,test,training_seconds,1,30.233716200003983,0.0,30.233716200003983,30.233716200003983,30.233716200003983,nan,nan
transformer,validation,accuracy,1,0.7098037367748321,0.0,0.7098037367748321,0.7098037367748321,0.7098037367748321,nan,nan
transformer,validation,balanced_accuracy,1,0.46438105690539133,0.0,0.46438105690539133,0.46438105690539133,0.46438105690539133,nan,nan
transformer,validation,macro_f1_all_classes,1,0.3922781335138759,0.0,0.3922781335138759,0.3922781335138759,0.3922781335138759,nan,nan
transformer,validation,best_epoch,1,8.25,0.0,8.25,8.25,8.25,nan,nan
transformer,validation,stopping_epoch,1,23.25,0.0,23.25,23.25,23.25,nan,nan
transformer,validation,best_validation_macro_f1,1,0.3922781335138759,0.0,0.3922781335138759,0.3922781335138759,0.3922781335138759,nan,nan
transformer,validation,training_seconds,1,30.233716200003983,0.0,30.233716200003983,30.233716200003983,30.233716200003983,nan,nan
