model,subset,fold,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
lstm,test,1,macro_f1_all_classes,1,0.5000096210374783,0.0,0.5000096210374783,0.5000096210374783,0.5000096210374783,nan,nan
lstm,test,1,best_epoch,1,6.0,0.0,6.0,6.0,6.0,nan,nan
lstm,test,1,stopping_epoch,1,21.0,0.0,21.0,21.0,21.0,nan,nan
lstm,test,1,best_validation_macro_f1,1,0.4074660972357264,0.0,0.4074660972357264,0.4074660972357264,0.4074660972357264,nan,nan
lstm,test,2,macro_f1_all_classes,1,0.5098344723108713,0.0,0.5098344723108713,0.5098344723108713,0.5098344723108713,nan,nan
lstm,test,2,best_epoch,1,5.0,0.0,5.0,5.0,5.0,nan,nan
lstm,test,2,stopping_epoch,1,20.0,0.0,20.0,20.0,20.0,nan,nan
lstm,test,2,best_validation_macro_f1,1,0.36804687541731435,0.0,0.36804687541731435,0.36804687541731435,0.36804687541731435,nan,nan
lstm,test,3,macro_f1_all_classes,1,0.4653540929466065,0.0,0.4653540929466065,0.4653540929466065,0.4653540929466065,nan,nan
lstm,test,3,best_epoch,1,13.0,0.0,13.0,13.0,13.0,nan,nan
lstm,test,3,stopping_epoch,1,28.0,0.0,28.0,28.0,28.0,nan,nan
lstm,test,3,best_validation_macro_f1,1,0.3842129248323873,0.0,0.3842129248323873,0.3842129248323873,0.3842129248323873,nan,nan
lstm,test,4,macro_f1_all_classes,1,0.3606192165015694,0.0,0.3606192165015694,0.3606192165015694,0.3606192165015694,nan,nan
lstm,test,4,best_epoch,1,11.0,0.0,11.0,11.0,11.0,nan,nan
lstm,test,4,stopping_epoch,1,26.0,0.0,26.0,26.0,26.0,nan,nan
lstm,test,4,best_validation_macro_f1,1,0.4026040994258369,0.0,0.4026040994258369,0.4026040994258369,0.4026040994258369,nan,nan
lstm,validation,1,macro_f1_all_classes,1,0.4074660972357264,0.0,0.4074660972357264,0.4074660972357264,0.4074660972357264,nan,nan
lstm,validation,1,best_epoch,1,6.0,0.0,6.0,6.0,6.0,nan,nan
lstm,validation,1,stopping_epoch,1,21.0,0.0,21.0,21.0,21.0,nan,nan
lstm,validation,1,best_validation_macro_f1,1,0.4074660972357264,0.0,0.4074660972357264,0.4074660972357264,0.4074660972357264,nan,nan
lstm,validation,2,macro_f1_all_classes,1,0.36804687541731435,0.0,0.36804687541731435,0.36804687541731435,0.36804687541731435,nan,nan
lstm,validation,2,best_epoch,1,5.0,0.0,5.0,5.0,5.0,nan,nan
lstm,validation,2,stopping_epoch,1,20.0,0.0,20.0,20.0,20.0,nan,nan
lstm,validation,2,best_validation_macro_f1,1,0.36804687541731435,0.0,0.36804687541731435,0.36804687541731435,0.36804687541731435,nan,nan
lstm,validation,3,macro_f1_all_classes,1,0.3842129248323873,0.0,0.3842129248323873,0.3842129248323873,0.3842129248323873,nan,nan
lstm,validation,3,best_epoch,1,13.0,0.0,13.0,13.0,13.0,nan,nan
lstm,validation,3,stopping_epoch,1,28.0,0.0,28.0,28.0,28.0,nan,nan
lstm,validation,3,best_validation_macro_f1,1,0.3842129248323873,0.0,0.3842129248323873,0.3842129248323873,0.3842129248323873,nan,nan
lstm,validation,4,macro_f1_all_classes,1,0.4026040994258369,0.0,0.4026040994258369,0.4026040994258369,0.4026040994258369,nan,nan
lstm,validation,4,best_epoch,1,11.0,0.0,11.0,11.0,11.0,nan,nan
lstm,validation,4,stopping_epoch,1,26.0,0.0,26.0,26.0,26.0,nan,nan
lstm,validation,4,best_validation_macro_f1,1,0.4026040994258369,0.0,0.4026040994258369,0.4026040994258369,0.4026040994258369,nan,nan
tcn,test,1,macro_f1_all_classes,1,0.4761927703104174,0.0,0.4761927703104174,0.4761927703104174,0.4761927703104174,nan,nan
tcn,test,1,best_epoch,1,15.0,0.0,15.0,15.0,15.0,nan,nan
tcn,test,1,stopping_epoch,1,30.0,0.0,30.0,30.0,30.0,nan,nan
tcn,test,1,best_validation_macro_f1,1,0.4155355864483232,0.0,0.4155355864483232,0.4155355864483232,0.4155355864483232,nan,nan
tcn,test,2,macro_f1_all_classes,1,0.5106388915719545,0.0,0.5106388915719545,0.5106388915719545,0.5106388915719545,nan,nan
tcn,test,2,best_epoch,1,11.0,0.0,11.0,11.0,11.0,nan,nan
tcn,test,2,stopping_epoch,1,26.0,0.0,26.0,26.0,26.0,nan,nan
tcn,test,2,best_validation_macro_f1,1,0.3841724676497678,0.0,0.3841724676497678,0.3841724676497678,0.3841724676497678,nan,nan
tcn,test,3,macro_f1_all_classes,1,0.4850523589246072,0.0,0.4850523589246072,0.4850523589246072,0.4850523589246072,nan,nan
tcn,test,3,best_epoch,1,3.0,0.0,3.0,3.0,3.0,nan,nan
tcn,test,3,stopping_epoch,1,18.0,0.0,18.0,18.0,18.0,nan,nan
tcn,test,3,best_validation_macro_f1,1,0.3975278133562489,0.0,0.3975278133562489,0.3975278133562489,0.3975278133562489,nan,nan
tcn,test,4,macro_f1_all_classes,1,0.35942026971631846,0.0,0.35942026971631846,0.35942026971631846,0.35942026971631846,nan,nan
tcn,test,4,best_epoch,1,4.0,0.0,4.0,4.0,4.0,nan,nan
tcn,test,4,stopping_epoch,1,19.0,0.0,19.0,19.0,19.0,nan,nan
tcn,test,4,best_validation_macro_f1,1,0.4166219503790627,0.0,0.4166219503790627,0.4166219503790627,0.4166219503790627,nan,nan
tcn,validation,1,macro_f1_all_classes,1,0.4155355864483232,0.0,0.4155355864483232,0.4155355864483232,0.4155355864483232,nan,nan
tcn,validation,1,best_epoch,1,15.0,0.0,15.0,15.0,15.0,nan,nan
tcn,validation,1,stopping_epoch,1,30.0,0.0,30.0,30.0,30.0,nan,nan
tcn,validation,1,best_validation_macro_f1,1,0.4155355864483232,0.0,0.4155355864483232,0.4155355864483232,0.4155355864483232,nan,nan
tcn,validation,2,macro_f1_all_classes,1,0.3841724676497678,0.0,0.3841724676497678,0.3841724676497678,0.3841724676497678,nan,nan
tcn,validation,2,best_epoch,1,11.0,0.0,11.0,11.0,11.0,nan,nan
tcn,validation,2,stopping_epoch,1,26.0,0.0,26.0,26.0,26.0,nan,nan
tcn,validation,2,best_validation_macro_f1,1,0.3841724676497678,0.0,0.3841724676497678,0.3841724676497678,0.3841724676497678,nan,nan
tcn,validation,3,macro_f1_all_classes,1,0.3975278133562489,0.0,0.3975278133562489,0.3975278133562489,0.3975278133562489,nan,nan
tcn,validation,3,best_epoch,1,3.0,0.0,3.0,3.0,3.0,nan,nan
tcn,validation,3,stopping_epoch,1,18.0,0.0,18.0,18.0,18.0,nan,nan
tcn,validation,3,best_validation_macro_f1,1,0.3975278133562489,0.0,0.3975278133562489,0.3975278133562489,0.3975278133562489,nan,nan
tcn,validation,4,macro_f1_all_classes,1,0.4166219503790627,0.0,0.4166219503790627,0.4166219503790627,0.4166219503790627,nan,nan
tcn,validation,4,best_epoch,1,4.0,0.0,4.0,4.0,4.0,nan,nan
tcn,validation,4,stopping_epoch,1,19.0,0.0,19.0,19.0,19.0,nan,nan
tcn,validation,4,best_validation_macro_f1,1,0.4166219503790627,0.0,0.4166219503790627,0.4166219503790627,0.4166219503790627,nan,nan
