model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,configuration_id,representation,window_size_frames,seed,best_epoch,stopping_epoch,best_validation_macro_f1,best_training_loss,best_validation_loss,training_seconds,parameter_count,model_size_bytes,peak_gpu_memory_bytes,inference_seconds,inference_windows_per_second
lstm,temporal_r0,1,validation,1180,0.6957627118644067,0.7125550928969733,0.4074660972357264,0.4074660972357264,"[""alert"", ""fatigue"", ""distraction""]",[],3.908732700001565,False,G4__g4_c_weighted_sampling_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,42,6,21,0.4074660972357264,0.9333803639679381,1.0361007460093095,3.908732700001565,51651,652050,376863232,0.03142929999739863,37544.58419683758
lstm,temporal_r0,1,test,1534,0.6192959582790091,0.5278674627020107,0.5000096210374783,0.5000096210374783,"[""alert"", ""fatigue"", ""distraction""]",[],3.908732700001565,False,G4__g4_c_weighted_sampling_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,42,6,21,0.4074660972357264,0.9333803639679381,1.0361007460093095,3.908732700001565,51651,652050,376863232,0.03681890000007115,41663.38483759796
tcn,temporal_r0,1,validation,1180,0.6754237288135593,0.7133099568997006,0.4155355864483232,0.4155355864483232,"[""alert"", ""fatigue"", ""distraction""]",[],492.6108324000015,False,G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,42,15,30,0.4155355864483232,0.5878664249970442,1.0435201364048456,492.6108324000015,49379,638268,188977152,3.766410200005339,313.29566811345387
tcn,temporal_r0,1,test,1534,0.6264667535853976,0.501995107498361,0.4761927703104174,0.4761927703104174,"[""alert"", ""fatigue"", ""distraction""]",[],492.6108324000015,False,G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,42,15,30,0.4155355864483232,0.5878664249970442,1.0435201364048456,492.6108324000015,49379,638268,188977152,4.802491700000246,319.41752236655014
lstm,temporal_r0,2,validation,1173,0.7280477408354646,0.4133537820586324,0.36804687541731435,0.36804687541731435,"[""alert"", ""fatigue"", ""distraction""]",[],3.14050309999584,False,G4__g4_c_weighted_sampling_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,42,5,20,0.36804687541731435,1.0050439456188387,1.0252582564479962,3.14050309999584,51651,651986,377265664,0.025178399999276735,46587.55123572964
lstm,temporal_r0,2,test,1864,0.8669527896995708,0.7753067001518565,0.7647517084663069,0.5098344723108713,"[""alert"", ""distraction""]","[""fatigue""]",3.14050309999584,False,G4__g4_c_weighted_sampling_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,42,5,20,0.36804687541731435,1.0050439456188387,1.0252582564479962,3.14050309999584,51651,651986,377265664,0.035303500000736676,52799.297518974156
tcn,temporal_r0,2,validation,1173,0.7297527706734868,0.4841006383060047,0.3841724676497678,0.3841724676497678,"[""alert"", ""fatigue"", ""distraction""]",[],384.96875049999653,False,G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,42,11,26,0.3841724676497678,0.7915724514477671,0.781438982700143,384.96875049999653,49379,637820,188977152,3.736637800000608,313.9185713958707
tcn,temporal_r0,2,test,1864,0.846030042918455,0.765670656067851,0.7659583373579317,0.5106388915719545,"[""alert"", ""distraction""]","[""fatigue""]",384.96875049999653,False,G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,42,11,26,0.3841724676497678,0.7915724514477671,0.781438982700143,384.96875049999653,49379,637820,188977152,5.964305400004378,312.52591458489565
lstm,temporal_r0,3,validation,1151,0.7254561251086012,0.3972901320237714,0.3842129248323873,0.3842129248323873,"[""alert"", ""fatigue"", ""distraction""]",[],4.261741499998607,False,G4__g4_c_weighted_sampling_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,42,13,28,0.3842129248323873,0.8513185089373365,0.9372703858710288,4.261741499998607,51651,652818,377265664,0.025451599998632446,45223.090102855815
lstm,temporal_r0,3,test,1500,0.8253333333333334,0.5318323927961822,0.4653540929466065,0.4653540929466065,"[""alert"", ""fatigue"", ""distraction""]",[],4.261741499998607,False,G4__g4_c_weighted_sampling_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,42,13,28,0.3842129248323873,0.8513185089373365,0.9372703858710288,4.261741499998607,51651,652818,377265664,0.032143999997060746,46665.00747066825
