model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r0,1,validation,alert,alert,892,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,validation,alert,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,validation,alert,distraction,107,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,validation,fatigue,alert,1,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,validation,fatigue,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,validation,fatigue,distraction,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,validation,distraction,alert,79,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,validation,distraction,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,validation,distraction,distraction,76,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,test,alert,alert,866,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,test,alert,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,test,alert,distraction,224,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,test,fatigue,alert,24,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,test,fatigue,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,test,fatigue,distraction,38,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,test,distraction,alert,57,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,test,distraction,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
