model,subset,fold,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
transformer,test,1,macro_f1_all_classes,1,0.5056455571919489,0.0,0.5056455571919489,0.5056455571919489,0.5056455571919489,nan,nan
transformer,test,1,best_epoch,1,11.0,0.0,11.0,11.0,11.0,nan,nan
transformer,test,1,stopping_epoch,1,26.0,0.0,26.0,26.0,26.0,nan,nan
transformer,test,1,best_validation_macro_f1,1,0.45160948146547025,0.0,0.45160948146547025,0.45160948146547025,0.45160948146547025,nan,nan
transformer,test,2,macro_f1_all_classes,1,0.5321628560856205,0.0,0.5321628560856205,0.5321628560856205,0.5321628560856205,nan,nan
transformer,test,2,best_epoch,1,3.0,0.0,3.0,3.0,3.0,nan,nan
transformer,test,2,stopping_epoch,1,18.0,0.0,18.0,18.0,18.0,nan,nan
transformer,test,2,best_validation_macro_f1,1,0.3932938673857966,0.0,0.3932938673857966,0.3932938673857966,0.3932938673857966,nan,nan
transformer,test,3,macro_f1_all_classes,1,0.4637523949889462,0.0,0.4637523949889462,0.4637523949889462,0.4637523949889462,nan,nan
transformer,test,3,best_epoch,1,6.0,0.0,6.0,6.0,6.0,nan,nan
transformer,test,3,stopping_epoch,1,21.0,0.0,21.0,21.0,21.0,nan,nan
transformer,test,3,best_validation_macro_f1,1,0.40488841361871825,0.0,0.40488841361871825,0.40488841361871825,0.40488841361871825,nan,nan
transformer,test,4,macro_f1_all_classes,1,0.3514908514994107,0.0,0.3514908514994107,0.3514908514994107,0.3514908514994107,nan,nan
transformer,test,4,best_epoch,1,1.0,0.0,1.0,1.0,1.0,nan,nan
transformer,test,4,stopping_epoch,1,16.0,0.0,16.0,16.0,16.0,nan,nan
transformer,test,4,best_validation_macro_f1,1,0.4058480492813142,0.0,0.4058480492813142,0.4058480492813142,0.4058480492813142,nan,nan
transformer,validation,1,macro_f1_all_classes,1,0.45160948146547025,0.0,0.45160948146547025,0.45160948146547025,0.45160948146547025,nan,nan
transformer,validation,1,best_epoch,1,11.0,0.0,11.0,11.0,11.0,nan,nan
transformer,validation,1,stopping_epoch,1,26.0,0.0,26.0,26.0,26.0,nan,nan
transformer,validation,1,best_validation_macro_f1,1,0.45160948146547025,0.0,0.45160948146547025,0.45160948146547025,0.45160948146547025,nan,nan
transformer,validation,2,macro_f1_all_classes,1,0.3932938673857966,0.0,0.3932938673857966,0.3932938673857966,0.3932938673857966,nan,nan
transformer,validation,2,best_epoch,1,3.0,0.0,3.0,3.0,3.0,nan,nan
transformer,validation,2,stopping_epoch,1,18.0,0.0,18.0,18.0,18.0,nan,nan
transformer,validation,2,best_validation_macro_f1,1,0.3932938673857966,0.0,0.3932938673857966,0.3932938673857966,0.3932938673857966,nan,nan
transformer,validation,3,macro_f1_all_classes,1,0.40488841361871825,0.0,0.40488841361871825,0.40488841361871825,0.40488841361871825,nan,nan
transformer,validation,3,best_epoch,1,6.0,0.0,6.0,6.0,6.0,nan,nan
transformer,validation,3,stopping_epoch,1,21.0,0.0,21.0,21.0,21.0,nan,nan
transformer,validation,3,best_validation_macro_f1,1,0.40488841361871825,0.0,0.40488841361871825,0.40488841361871825,0.40488841361871825,nan,nan
transformer,validation,4,macro_f1_all_classes,1,0.4058480492813142,0.0,0.4058480492813142,0.4058480492813142,0.4058480492813142,nan,nan
transformer,validation,4,best_epoch,1,1.0,0.0,1.0,1.0,1.0,nan,nan
transformer,validation,4,stopping_epoch,1,16.0,0.0,16.0,16.0,16.0,nan,nan
transformer,validation,4,best_validation_macro_f1,1,0.4058480492813142,0.0,0.4058480492813142,0.4058480492813142,0.4058480492813142,nan,nan
