run_id,generation,configuration_id,representation,window_size_frames,model,fold,seed,epoch,training_loss,validation_loss,training_macro_f1,validation_macro_f1,training_accuracy,validation_accuracy,learning_rate
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,1,0.762040349248758,0.4909906834234923,0.307453628312973,0.42173049536691126,0.7064942367163339,0.8554112554112554,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,2,0.48386108270347,0.40480042760506335,0.49928644316735976,0.42378896522381154,0.8442507731234186,0.8536796536796537,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,3,0.42213292044972583,0.39351981091292904,0.5017854162834813,0.41993592902907834,0.8462187236435198,0.8415584415584415,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,4,0.40527834377330374,0.39869189288193013,0.5040776357368101,0.424455204468183,0.8462187236435198,0.8354978354978355,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,5,0.4011477389830299,0.40005981956983544,0.5053409101547506,0.4268528861668572,0.8459375878549339,0.8311688311688312,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,6,0.39801987121706434,0.3925970163051184,0.5061182431872088,0.424455204468183,0.8464998594321057,0.8354978354978355,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,7,0.3950373775626556,0.390565655035374,0.5063410257137088,0.4250481412633202,0.848186674163621,0.8363636363636363,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,8,0.3928963241615354,0.39756715388009045,0.5080670549398021,0.4349238354783321,0.8490300815293786,0.8337662337662337,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,9,0.3902673785157642,0.4009401260774373,0.5058691469841295,0.4461766866532875,0.8462187236435198,0.8380952380952381,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,10,0.38831210810882777,0.4028118444469584,0.5070325929882956,0.4490177450444313,0.8470621310092775,0.8389610389610389,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,11,0.3851171227982113,0.4082247649694418,0.5096601793114696,0.45160948146547025,0.8484678099522069,0.8380952380952381,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,12,0.3827259077813339,0.41064109567439916,0.5123552970292681,0.44867705853286016,0.8504357604723082,0.8354978354978355,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,13,0.37955940307644537,0.4097742387871722,0.5134730626480235,0.4482276607213252,0.8512791678380658,0.8363636363636363,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,14,0.37616959323131005,0.40793010420871506,0.511534768893156,0.4466666055716609,0.8501546246837223,0.8372294372294372,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,15,0.37278802096759933,0.4100204405201462,0.5126875035896546,0.4483904256378066,0.8509980320494799,0.8380952380952381,0.001
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,16,0.3696036193941898,0.4081182838131339,0.5094310701578163,0.4391195281483555,0.8487489457407928,0.8346320346320346,0.0005
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,17,0.3674889308601274,0.41344168592583047,0.5103157117541447,0.44590563882251666,0.8487489457407928,0.8346320346320346,0.0005
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,transformer,1,42,18,0.36532817418601427,0.417254427604345,0.514623446701592,0.44406710290543,0.8512791678380658,0.832034632034632,0.0005
