model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r0,1,validation,alert,0.9176954732510288,0.8928928928928929,0.9051243023845763,999,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,validation,fatigue,0.0,0.0,0.0,1,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,validation,distraction,0.41530054644808745,0.49032258064516127,0.44970414201183434,155,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,test,alert,0.914466737064414,0.7944954128440367,0.8502700049091801,1090,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,test,fatigue,0.0,0.0,0.0,62,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,1,test,distraction,0.5490533562822719,0.848404255319149,0.6666666666666666,376,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,2,validation,alert,0.9494324045407637,0.8566108007448789,0.9006363191385218,1074,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,2,validation,fatigue,0.0,0.0,0.0,12,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,2,validation,distraction,0.193717277486911,0.5,0.2792452830188679,74,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,2,test,alert,0.938985228002569,0.9371794871794872,0.9380814886108437,1560,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,2,test,fatigue,,,,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,0.6549295774647887,0.6619217081850534,0.6584070796460177,281,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,0.9013605442176871,0.8204334365325078,0.8589951377633711,969,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,validation,fatigue,0.0,0.0,0.0,11,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,validation,distraction,0.2839506172839506,0.47586206896551725,0.3556701030927835,145,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,test,alert,0.9488510007412898,0.9377289377289377,0.9432571849668386,1365,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,test,fatigue,0.0,0.0,0.0,22,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,test,distraction,0.3888888888888889,0.5283018867924528,0.448,106,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,validation,alert,0.9323467230443975,0.8802395209580839,0.9055441478439425,1002,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,validation,fatigue,0.0,0.0,0.0,12,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,validation,distraction,0.24528301886792453,0.42857142857142855,0.312,91,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,test,alert,0.8864864864864865,0.8668076109936576,0.8765366114377339,946,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,test,fatigue,,,,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,test,distraction,0.16556291390728478,0.19230769230769232,0.17793594306049823,130,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
