ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,alert,g4_d_augmentation_w60,921,1,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,0,1,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,93,1,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,4,1,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,1,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,1,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,106,1,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,0,1,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,56,1,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,849,1,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,0,1,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,239,1,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,33,1,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,1,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,34,1,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,100,1,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,0,1,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,279,1,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,906,1,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,0,1,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,108,1,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,4,1,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,1,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,1,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,95,1,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,0,1,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
