ablation,configuration_id,f1,fold,generation,label,model,precision,recall,representation,run_id,seed,subset,support,window_size_frames
temporal_r0,g4_d_augmentation_w60,0.9007334963325183,1,G4,alert,lstm,0.8933074684772065,0.908284023668639,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,validation,1014,60
temporal_r0,g4_d_augmentation_w60,0.0,1,G4,fatigue,lstm,0.0,0.0,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,validation,4,60
temporal_r0,g4_d_augmentation_w60,0.36012861736334406,1,G4,distraction,lstm,0.37583892617449666,0.345679012345679,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,validation,162,60
temporal_r0,g4_d_augmentation_w60,0.8202898550724638,1,G4,alert,lstm,0.8645621181262729,0.7803308823529411,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,test,1088,60
temporal_r0,g4_d_augmentation_w60,0.0,1,G4,fatigue,lstm,0.0,0.0,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,test,67,60
temporal_r0,g4_d_augmentation_w60,0.5993555316863588,1,G4,distraction,lstm,0.5054347826086957,0.7361477572559367,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,test,379,60
temporal_r0,g4_d_augmentation_w60,0.8974739970282318,1,G4,alert,tcn,0.9014925373134328,0.893491124260355,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,validation,1014,60
temporal_r0,g4_d_augmentation_w60,0.0,1,G4,fatigue,tcn,0.0,0.0,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,validation,4,60
temporal_r0,g4_d_augmentation_w60,0.39762611275964393,1,G4,distraction,tcn,0.38285714285714284,0.41358024691358025,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,validation,162,60
temporal_r0,g4_d_augmentation_w60,0.861969111969112,1,G4,alert,tcn,0.907520325203252,0.8207720588235294,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,test,1088,60
temporal_r0,g4_d_augmentation_w60,0.0,1,G4,fatigue,tcn,0.0,0.0,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,test,67,60
temporal_r0,g4_d_augmentation_w60,0.6996770721205597,1,G4,distraction,tcn,0.5909090909090909,0.8575197889182058,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,test,379,60
temporal_r0,g4_d_augmentation_w60,0.9028846153846154,2,G4,alert,lstm,0.939,0.8694444444444445,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,validation,1080,60
temporal_r0,g4_d_augmentation_w60,0.0,2,G4,fatigue,lstm,0.0,0.0,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,validation,17,60
