ablation,absent_classes,accuracy,balanced_accuracy,best_epoch,best_training_loss,best_validation_loss,best_validation_macro_f1,configuration_id,fold,generation,inference_seconds,inference_windows_per_second,macro_f1_all_classes,macro_f1_present_classes,model,model_size_bytes,num_windows,parameter_count,peak_gpu_memory_bytes,present_classes,representation,resumed_checkpoint,run_id,seed,stopping_epoch,subset,train_seconds,training_seconds,window_size_frames
temporal_r0,[],0.8279661016949152,0.4179876786714393,6,0.5075409486108166,0.4567395227945457,0.42028737123195414,g4_d_augmentation_w60,1,G4,0.022231800001463853,53077.12375616472,0.42028737123195414,0.42028737123195414,lstm,652050,1180,51651,376863232,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,21,validation,3.150101499995799,3.150101499995799,60
temporal_r0,[],0.7353324641460235,0.505492879869626,6,0.5075409486108166,0.4567395227945457,0.42028737123195414,g4_d_augmentation_w60,1,G4,0.02424099999916507,63281.21777372367,0.47321512891960754,0.47321512891960754,lstm,652050,1534,51651,376863232,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,21,test,3.150101499995799,3.150101499995799,60
temporal_r0,[],0.8245762711864407,0.43569045705797843,7,0.4252558895101342,0.42936572089033614,0.4317000365959586,g4_d_augmentation_w60,1,G4,3.9550903999988805,298.34969132445974,0.4317000365959586,0.4317000365959586,tcn,637372,1180,49379,188977152,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,22,validation,413.76752439999836,413.76752439999836,60
temporal_r0,[],0.7940026075619296,0.5594306159139117,7,0.4252558895101342,0.42936572089033614,0.4317000365959586,g4_d_augmentation_w60,1,G4,4.932071900002484,311.0254738985511,0.5205487280298905,0.5205487280298905,tcn,637372,1534,49379,188977152,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,22,test,413.76752439999836,413.76752439999836,60
temporal_r0,[],0.8277919863597613,0.43016569200779725,14,0.5610835063741643,0.4624348112079493,0.38663757594480486,g4_d_augmentation_w60,2,G4,0.029745699997874908,39434.271174784975,0.38663757594480486,0.38663757594480486,lstm,652946,1173,51651,377265664,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,29,validation,5.0971245000037015,5.0971245000037015,60
temporal_r0,"[""fatigue""]",0.8733905579399142,0.7777377075535028,14,0.5610835063741643,0.4624348112079493,0.38663757594480486,g4_d_augmentation_w60,2,G4,0.040222999996331055,46341.64533152736,0.5124750698395006,0.768712604759251,lstm,652946,1864,51651,377265664,"[""alert"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,29,test,5.0971245000037015,5.0971245000037015,60
temporal_r0,[],0.8618925831202046,0.4098927875243665,2,0.8252846160893001,0.5860278273075946,0.39095398886107385,g4_d_augmentation_w60,2,G4,3.9542699000012362,296.64135976141466,0.39095398886107385,0.39095398886107385,tcn,636796,1173,49379,186113024,"[""alert"", ""fatigue"", ""distraction""]",R0,True,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,17,validation,317.13180219999776,317.13180219999776,60
temporal_r0,"[""fatigue""]",0.8905579399141631,0.7768165751689649,2,0.8252846160893001,0.5860278273075946,0.39095398886107385,g4_d_augmentation_w60,2,G4,6.494436599998153,287.0148890206319,0.5241920194474355,0.7862880291711534,tcn,636796,1864,49379,186113024,"[""alert"", ""distraction""]",R0,True,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,17,test,317.13180219999776,317.13180219999776,60
temporal_r0,[],0.7671589921807124,0.41166239635600155,17,0.5123795633627357,0.5977511714325067,0.39448002101298885,g4_d_augmentation_w60,3,G4,0.022192800002812874,51863.66748919082,0.39448002101298885,0.39448002101298885,lstm,653266,1151,51651,377265664,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,32,validation,5.257176399994933,5.257176399994933,60
temporal_r0,[],0.886,0.4934728463440973,17,0.5123795633627357,0.5977511714325067,0.39448002101298885,g4_d_augmentation_w60,3,G4,0.029635300001245923,50615.31349225205,0.4622507466207703,0.4622507466207703,lstm,653266,1500,51651,377265664,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,32,test,5.257176399994933,5.257176399994933,60
temporal_r0,[],0.7688966116420504,0.4123385288779759,3,0.6228569100956474,0.5765980602501787,0.3954524555903866,g4_d_augmentation_w60,3,G4,3.7195889000067837,309.4427989065945,0.3954524555903866,0.3954524555903866,tcn,636924,1151,49379,187142144,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,18,validation,348.36087089999637,348.36087089999637,60
temporal_r0,[],0.8853333333333333,0.48776430835684675,3,0.6228569100956474,0.5765980602501787,0.3954524555903866,g4_d_augmentation_w60,3,G4,4.841512600003625,309.82053005477604,0.45849310324666853,0.45849310324666853,tcn,636924,1500,49379,187142144,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,18,test,348.36087089999637,348.36087089999637,60
temporal_r0,[],0.8071111111111111,0.44364844093104966,12,0.46595722853618193,0.5540068349308438,0.4010901503014734,g4_d_augmentation_w60,4,G4,0.023989699999219738,46895.12582635842,0.4010901503014734,0.4010901503014734,lstm,652754,1125,51651,377265664,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_4__seed_42,42,27,validation,4.93383310000354,4.93383310000354,60
temporal_r0,"[""fatigue""]",0.7442922374429224,0.5808459406660306,12,0.46595722853618193,0.5540068349308438,0.4010901503014734,g4_d_augmentation_w60,4,G4,0.01953759999742033,56045.77840392779,0.36948725404671895,0.5542308810700785,lstm,652754,1095,51651,377265664,"[""alert"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_4__seed_42,42,27,test,4.93383310000354,4.93383310000354,60
temporal_r0,[],0.8471111111111111,0.4553277338603426,2,0.7256122495623766,0.5160835498438942,0.42694260802912715,g4_d_augmentation_w60,4,G4,3.897911699998076,288.6160812725838,0.42694260802912715,0.42694260802912715,tcn,636796,1125,49379,187142144,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_4__seed_42,42,17,validation,350.9167377999984,350.9167377999984,60
temporal_r0,"[""fatigue""]",0.7707762557077625,0.574292399254918,2,0.7256122495623766,0.5160835498438942,0.42694260802912715,g4_d_augmentation_w60,4,G4,3.6016525000013644,304.02710977796585,0.37324562035632863,0.559868430534493,tcn,636796,1095,49379,187142144,"[""alert"", ""distraction""]",R0,False,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_4__seed_42,42,17,test,350.9167377999984,350.9167377999984,60
