model,subset,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
lstm,test,accuracy,1,0.809753814882215,0.0,0.809753814882215,0.809753814882215,0.809753814882215,nan,nan
lstm,test,balanced_accuracy,1,0.5893873436083142,0.0,0.5893873436083142,0.5893873436083142,0.5893873436083142,nan,nan
lstm,test,macro_f1_all_classes,1,0.4543570498566494,0.0,0.4543570498566494,0.4543570498566494,0.4543570498566494,nan,nan
lstm,test,best_epoch,1,12.25,0.0,12.25,12.25,12.25,nan,nan
lstm,test,stopping_epoch,1,27.25,0.0,27.25,27.25,27.25,nan,nan
lstm,test,best_validation_macro_f1,1,0.4006237796228053,0.0,0.4006237796228053,0.4006237796228053,0.4006237796228053,nan,nan
lstm,test,training_seconds,1,18.438235499997973,0.0,18.438235499997973,18.438235499997973,18.438235499997973,nan,nan
lstm,validation,accuracy,1,0.8075070478366251,0.0,0.8075070478366251,0.8075070478366251,0.8075070478366251,nan,nan
lstm,validation,balanced_accuracy,1,0.42586605199157196,0.0,0.42586605199157196,0.42586605199157196,0.42586605199157196,nan,nan
lstm,validation,macro_f1_all_classes,1,0.4006237796228053,0.0,0.4006237796228053,0.4006237796228053,0.4006237796228053,nan,nan
lstm,validation,best_epoch,1,12.25,0.0,12.25,12.25,12.25,nan,nan
lstm,validation,stopping_epoch,1,27.25,0.0,27.25,27.25,27.25,nan,nan
lstm,validation,best_validation_macro_f1,1,0.4006237796228053,0.0,0.4006237796228053,0.4006237796228053,0.4006237796228053,nan,nan
lstm,validation,training_seconds,1,18.438235499997973,0.0,18.438235499997973,18.438235499997973,18.438235499997973,nan,nan
tcn,test,accuracy,1,0.8351675341292971,0.0,0.8351675341292971,0.8351675341292971,0.8351675341292971,nan,nan
tcn,test,balanced_accuracy,1,0.5995759746736604,0.0,0.5995759746736604,0.5995759746736604,0.5995759746736604,nan,nan
tcn,test,macro_f1_all_classes,1,0.4691198677700808,0.0,0.4691198677700808,0.4691198677700808,0.4691198677700808,nan,nan
tcn,test,best_epoch,1,3.5,0.0,3.5,3.5,3.5,nan,nan
tcn,test,stopping_epoch,1,18.5,0.0,18.5,18.5,18.5,nan,nan
tcn,test,best_validation_macro_f1,1,0.4112622722691366,0.0,0.4112622722691366,0.4112622722691366,0.4112622722691366,nan,nan
tcn,test,training_seconds,1,1430.1769352999909,0.0,1430.1769352999909,1430.1769352999909,1430.1769352999909,nan,nan
tcn,validation,accuracy,1,0.8256191442649516,0.0,0.8256191442649516,0.8256191442649516,0.8256191442649516,nan,nan
tcn,validation,balanced_accuracy,1,0.4283123768301658,0.0,0.4283123768301658,0.4283123768301658,0.4283123768301658,nan,nan
tcn,validation,macro_f1_all_classes,1,0.4112622722691366,0.0,0.4112622722691366,0.4112622722691366,0.4112622722691366,nan,nan
tcn,validation,best_epoch,1,3.5,0.0,3.5,3.5,3.5,nan,nan
tcn,validation,stopping_epoch,1,18.5,0.0,18.5,18.5,18.5,nan,nan
tcn,validation,best_validation_macro_f1,1,0.4112622722691366,0.0,0.4112622722691366,0.4112622722691366,0.4112622722691366,nan,nan
tcn,validation,training_seconds,1,1430.1769352999909,0.0,1430.1769352999909,1430.1769352999909,1430.1769352999909,nan,nan
