window_size_frames,fold,subset,alert,fatigue,distraction,total
60,1,train,2832,14,381,3227
60,1,validation,1014,4,162,1180
60,1,test,1088,67,379,1534
60,2,train,2282,68,553,2903
60,2,validation,1080,17,76,1173
60,2,test,1571,0,293,1864
60,3,train,2589,54,658,3301
60,3,validation,986,13,152,1151
60,3,test,1367,21,112,1500
60,4,train,2965,68,688,3721
60,4,validation,1012,17,96,1125
60,4,test,957,0,138,1095
150,1,train,2805,14,362,3181
150,1,validation,999,1,155,1155
150,1,test,1090,62,376,1528
150,2,train,2259,65,538,2862
150,2,validation,1074,12,74,1160
150,2,test,1560,0,281,1841
150,3,train,2568,51,642,3261
150,3,validation,969,11,145,1125
150,3,test,1365,22,106,1493
150,4,train,2946,65,672,3683
150,4,validation,1002,12,91,1105
150,4,test,946,0,130,1076
