run_id,model,window_size_frames,scenario,strategy,fold,seed,execution,config_path,checkpoint
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,lstm,60,A,none,1,42,reused_g2,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42/best_macro_f1.pt
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,lstm,60,A,none,2,42,reused_g2,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42/best_macro_f1.pt
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,lstm,60,A,none,3,42,reused_g2,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42/best_macro_f1.pt
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,lstm,60,A,none,4,42,reused_g2,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42/best_macro_f1.pt
G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,svm,60,A,none,1,42,reused_g1,fase_2/configs/experiment/g1_baselines.yaml,fase_2/outputs/models/G1/G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42.joblib
G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,svm,60,A,none,2,42,reused_g1,fase_2/configs/experiment/g1_baselines.yaml,fase_2/outputs/models/G1/G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42.joblib
G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,svm,60,A,none,3,42,reused_g1,fase_2/configs/experiment/g1_baselines.yaml,fase_2/outputs/models/G1/G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42.joblib
G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,svm,60,A,none,4,42,reused_g1,fase_2/configs/experiment/g1_baselines.yaml,fase_2/outputs/models/G1/G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42.joblib
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,tcn,60,A,none,1,42,reused_g2,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42/best_macro_f1.pt
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,tcn,60,A,none,2,42,reused_g2,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42/best_macro_f1.pt
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,tcn,60,A,none,3,42,reused_g2,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42/best_macro_f1.pt
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,tcn,60,A,none,4,42,reused_g2,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42/best_macro_f1.pt
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,transformer,150,A,none,1,42,reused_g2,fase_2/configs/experiment/g2_temporal_r0_w150.yaml,fase_2/outputs/models/G2/G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42/best_macro_f1.pt
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,transformer,150,A,none,2,42,reused_g2,fase_2/configs/experiment/g2_temporal_r0_w150.yaml,fase_2/outputs/models/G2/G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42/best_macro_f1.pt
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,transformer,150,A,none,3,42,reused_g2,fase_2/configs/experiment/g2_temporal_r0_w150.yaml,fase_2/outputs/models/G2/G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42/best_macro_f1.pt
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,transformer,150,A,none,4,42,reused_g2,fase_2/configs/experiment/g2_temporal_r0_w150.yaml,fase_2/outputs/models/G2/G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42/best_macro_f1.pt
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,lstm,60,B,class_weights,1,42,new,fase_2/configs/experiment/g4_b_w60.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42/best_macro_f1.pt
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,lstm,60,B,class_weights,2,42,new,fase_2/configs/experiment/g4_b_w60.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42/best_macro_f1.pt
