model,scenario,metric,mean,std,median,minimum,maximum,session_fold_count
svm,A,false_fatigue_episodes_per_hour,53.095579081273264,26.302339739393542,53.03763270949839,0.0,90.28258448945199,12
svm,B,false_fatigue_episodes_per_hour,58.293350728480554,32.9071815808193,53.66647603403884,0.0,121.23703488196493,12
svm,C,false_fatigue_episodes_per_hour,80.29723743657134,29.70112765923963,80.55345265946357,10.031398276605776,121.2835786591214,12
svm,D,false_fatigue_episodes_per_hour,47.22503843367298,23.09899179735495,47.144562408443015,0.0,80.82468992130995,12
lstm,A,false_fatigue_episodes_per_hour,0.0,0.0,0.0,0.0,0.0,12
lstm,B,false_fatigue_episodes_per_hour,56.91876550150527,57.580341273337595,35.25326989523615,0.0,165.00596842955053,12
lstm,C,false_fatigue_episodes_per_hour,89.93863831783149,59.12167465847935,100.31398276605776,10.106964888260116,200.3643902358828,12
lstm,D,false_fatigue_episodes_per_hour,0.0,0.0,0.0,0.0,0.0,12
tcn,A,false_fatigue_episodes_per_hour,0.0,0.0,0.0,0.0,0.0,12
tcn,B,false_fatigue_episodes_per_hour,96.72070455489099,40.87208311733868,90.92777616147369,60.18838965963466,188.57824963377206,12
tcn,C,false_fatigue_episodes_per_hour,84.79254641584696,43.43447463761331,76.62586921629804,30.09419482981733,165.00596842955053,12
tcn,D,false_fatigue_episodes_per_hour,0.0,0.0,0.0,0.0,0.0,12
transformer,A,false_fatigue_episodes_per_hour,0.0,0.0,0.0,0.0,0.0,12
transformer,B,false_fatigue_episodes_per_hour,31.75089704075451,15.800268525954245,32.54945617381658,10.106964888260116,57.98275604523655,12
transformer,C,false_fatigue_episodes_per_hour,33.56549737915996,18.90360789141291,37.600999293898454,0.0,69.57930725428386,12
transformer,D,false_fatigue_episodes_per_hour,0.0,0.0,0.0,0.0,0.0,12
