model,scenario,strategy,subset,mean,std,median,minimum,maximum,fold_count
lstm,A,none,test,0.453498771084489,0.059305933568030905,0.46078521467225764,0.374348174049606,0.5180764809438346,4
lstm,A,none,validation,0.4044495663626978,0.016891067021185074,0.4004596869634287,0.38993628349480663,0.42694260802912715,4
lstm,B,class_weights,test,0.4613638150956205,0.06926894922870382,0.4876554437249465,0.3591701869342952,0.510974185998294,4
lstm,B,class_weights,validation,0.40044323123218106,0.050745353600033724,0.4006588059509274,0.33815165744779224,0.46230365557907716,4
lstm,C,weighted_sampling,test,0.4589543506991314,0.06827658777908874,0.48268185699204236,0.3606192165015694,0.5098344723108713,4
lstm,C,weighted_sampling,validation,0.39058249922781624,0.01805547536087159,0.3934085121291121,0.36804687541731435,0.4074660972357264,4
lstm,D,augmentation,test,0.4543570498566494,0.06054894461534145,0.46773293777018893,0.36948725404671895,0.5124750698395006,4
lstm,D,augmentation,validation,0.4006237796228053,0.014378618382393548,0.39778508565723114,0.38663757594480486,0.42028737123195414,4
svm,A,none,test,0.45466207374508544,0.0652267820239983,0.4723678048987449,0.36817033012542844,0.5057423550574236,4
svm,A,none,validation,0.4191023537027506,0.059257008142319115,0.3953246970731302,0.379491939661849,0.506268081002893,4
svm,B,class_weights,test,0.4289139351152275,0.055880341809327626,0.42932872523690946,0.36116528433352285,0.4958330056535682,4
svm,B,class_weights,validation,0.38980143113613797,0.07092225275522508,0.36075771214141283,0.34372755381472925,0.49396274644699695,4
svm,C,weighted_sampling,test,0.410762986223231,0.06270051853636141,0.41925982452418115,0.33223210743442627,0.4723001884101354,4
svm,C,weighted_sampling,validation,0.35803955144039645,0.03397621445162083,0.3499490617268395,0.3263506146313883,0.4059094676765184,4
svm,D,augmentation,test,0.4497519536056988,0.061987064470035776,0.4600359293188759,0.37502317348835396,0.5039127822966895,4
svm,D,augmentation,validation,0.4202939471415173,0.05971651409308602,0.394509421851044,0.38287790502980373,0.5092790398341775,4
tcn,A,none,test,0.4716167169726168,0.07626019396257507,0.4889778744380423,0.3691134200040496,0.5393976990103332,4
tcn,A,none,validation,0.41246276388059033,0.02114868327982445,0.4153618041480916,0.38791986407513207,0.43120758315104607,4
tcn,B,class_weights,test,0.46741504423849606,0.07045680391628766,0.4921746165188676,0.3669796704562109,0.5183312734600382,4
tcn,B,class_weights,validation,0.4029167871698471,0.016781197715560837,0.4051166623806156,0.38381767490112173,0.41761614901703537,4
tcn,C,weighted_sampling,test,0.45782607263082437,0.06720987561552189,0.4806225646175123,0.35942026971631846,0.5106388915719545,4
tcn,C,weighted_sampling,validation,0.40346445445835066,0.015559095828706232,0.4065316999022861,0.3841724676497678,0.4166219503790627,4
tcn,D,augmentation,test,0.4691198677700808,0.07066981675224111,0.4895209156382795,0.37324562035632863,0.5241920194474355,4
tcn,D,augmentation,validation,0.4112622722691366,0.02102341407908997,0.4111975318097569,0.39095398886107385,0.4317000365959586,4
transformer,A,none,test,0.46389795560016356,0.08500372978404383,0.48509867304940685,0.3527387078963939,0.5326557684054466,4
transformer,A,none,validation,0.4080688231873264,0.01359118835778983,0.4094232480286745,0.39020915706836284,0.42321963962359366,4
transformer,B,class_weights,test,0.4492944668193975,0.06423340487652336,0.45972679758337087,0.36222071436591113,0.5155035577449371,4
transformer,B,class_weights,validation,0.3877888834643401,0.022210972069091894,0.38803591962863415,0.36037836164034615,0.41470533295974593,4
transformer,C,weighted_sampling,test,0.4503344266486145,0.06385568123599439,0.4595604077506532,0.3642276422764228,0.5179892488167289,4
transformer,C,weighted_sampling,validation,0.3922781335138759,0.026939163045085455,0.39353151877631,0.3587981979460155,0.4232512985568683,4
transformer,D,augmentation,test,0.4632629149414816,0.07965911542443861,0.48469897609044754,0.3514908514994107,0.5321628560856205,4
transformer,D,augmentation,validation,0.4139099529378248,0.025772465261387944,0.4053682314500162,0.3932938673857966,0.45160948146547025,4
