model,scenario,strategy,fold,subset,macro_f1_a,macro_f1_scenario,delta_macro_f1,fatigue_recall_a,fatigue_recall_scenario,delta_fatigue_recall,fatigue_f1_a,fatigue_f1_scenario,delta_fatigue_f1
transformer,B,class_weights,1,validation,0.41041757118105576,0.41470533295974593,0.004287761778690169,0.0,0.0,0.0,0.0,0.0,0.0
transformer,B,class_weights,1,test,0.5326557684054466,0.4498616628088519,-0.08279410559659467,0.0,0.0,0.0,0.0,0.0,0.0
transformer,B,class_weights,2,validation,0.4084289248762933,0.36037836164034615,-0.04805056323594714,0.0,0.0,0.0,0.0,0.0,0.0
transformer,B,class_weights,2,test,0.5280750980928918,0.5155035577449371,-0.012571540347954713,0.0,0.0,0.0,0.0,0.0,0.0
transformer,B,class_weights,3,validation,0.39020915706836284,0.38945504381745993,-0.0007541132509029103,0.0,0.0,0.0,0.0,0.0,0.0
transformer,B,class_weights,3,test,0.4421222480059219,0.4695919323578898,0.027469684351967893,0.0,0.0,0.0,0.0,0.0,0.0
transformer,B,class_weights,4,validation,0.42321963962359366,0.38661679543980837,-0.03660284418378529,0.0,0.5,0.5,0.0,0.05970149253731343,0.05970149253731343
transformer,B,class_weights,4,test,0.3527387078963939,0.36222071436591113,0.009482006469517246,0.0,0.0,0.0,0.0,0.0,0.0
lstm,B,class_weights,1,validation,0.40779159862035436,0.46230365557907716,0.0545120569587228,0.0,0.5,0.5,0.0,0.14285714285714285,0.14285714285714285
lstm,B,class_weights,1,test,0.4630544796584773,0.49498128742739467,0.031926807768917376,0.0,0.07462686567164178,0.07462686567164178,0.0,0.03367003367003367,0.03367003367003367
lstm,B,class_weights,2,validation,0.38993628349480663,0.33815165744779224,-0.05178462604701439,0.0,0.0,0.0,0.0,0.0,0.0
lstm,B,class_weights,2,test,0.5180764809438346,0.510974185998294,-0.007102294945540599,0.0,0.0,0.0,0.0,0.0,0.0
lstm,B,class_weights,3,validation,0.39312777530650306,0.39763990497999196,0.004512129673488907,0.0,0.5384615384615384,0.5384615384615384,0.0,0.1044776119402985,0.1044776119402985
lstm,B,class_weights,3,test,0.45851594968603804,0.4803296000224983,0.021813650336460266,0.0,0.19047619047619047,0.19047619047619047,0.0,0.11428571428571428,0.11428571428571428
lstm,B,class_weights,4,validation,0.42694260802912715,0.40367770692186283,-0.023264901107264313,0.0,0.5294117647058824,0.5294117647058824,0.0,0.10650887573964497,0.10650887573964497
lstm,B,class_weights,4,test,0.374348174049606,0.3591701869342952,-0.01517798711531082,0.0,0.0,0.0,0.0,0.0,0.0
svm,B,class_weights,1,validation,0.506268081002893,0.49396274644699695,-0.012305334555896053,0.5,0.5,0.0,0.26666666666666666,0.26666666666666666,0.0
svm,B,class_weights,1,test,0.5057423550574236,0.4415649831623332,-0.06417737189509037,0.0,0.0,0.0,0.0,0.0,0.0
svm,B,class_weights,2,validation,0.379491939661849,0.34372755381472925,-0.03576438584711977,0.058823529411764705,0.058823529411764705,0.0,0.037037037037037035,0.03125,-0.005787037037037035
svm,B,class_weights,2,test,0.5043568389176954,0.4958330056535682,-0.008523833264127256,0.0,0.0,0.0,0.0,0.0,0.0
svm,B,class_weights,3,validation,0.3844486634190374,0.3754281041406502,-0.009020559278387186,0.0,0.0,0.0,0.0,0.0,0.0
svm,B,class_weights,3,test,0.4403787708797944,0.41709246731148575,-0.02328630356830863,0.0,0.0,0.0,0.0,0.0,0.0
svm,B,class_weights,4,validation,0.4062007307272231,0.3460873201421755,-0.0601134105850476,0.058823529411764705,0.0,-0.058823529411764705,0.038461538461538464,0.0,-0.038461538461538464
svm,B,class_weights,4,test,0.36817033012542844,0.36116528433352285,-0.007005045791905584,0.0,0.0,0.0,0.0,0.0,0.0
tcn,B,class_weights,1,validation,0.4289865860568595,0.41761614901703537,-0.011370437039824155,0.0,1.0,1.0,0.0,0.049689440993788817,0.049689440993788817
tcn,B,class_weights,1,test,0.5393976990103332,0.5143859211896066,-0.02501177782072661,0.0,0.1791044776119403,0.1791044776119403,0.0,0.05783132530120482,0.05783132530120482
tcn,B,class_weights,2,validation,0.38791986407513207,0.38381767490112173,-0.00410218917401034,0.0,0.29411764705882354,0.29411764705882354,0.0,0.09433962264150944,0.09433962264150944
tcn,B,class_weights,2,test,0.5184977368795122,0.5183312734600382,-0.00016646341947401666,0.0,0.0,0.0,0.0,0.0,0.0
tcn,B,class_weights,3,validation,0.40173702223932367,0.39384059125073234,-0.00789643098859133,0.0,0.0,0.0,0.0,0.0,0.0
tcn,B,class_weights,3,test,0.4594580119965724,0.4699633118481286,0.010505299851556238,0.0,0.047619047619047616,0.047619047619047616,0.0,0.030303030303030304,0.030303030303030304
tcn,B,class_weights,4,validation,0.43120758315104607,0.41639273351049894,-0.014814849640547134,0.0,0.29411764705882354,0.29411764705882354,0.0,0.06711409395973154,0.06711409395973154
tcn,B,class_weights,4,test,0.3691134200040496,0.3669796704562109,-0.002133749547838737,0.0,0.0,0.0,0.0,0.0,0.0
transformer,C,weighted_sampling,1,validation,0.41041757118105576,0.4232512985568683,0.012833727375812565,0.0,0.0,0.0,0.0,0.0,0.0
transformer,C,weighted_sampling,1,test,0.5326557684054466,0.45360837674308424,-0.07904739166236235,0.0,0.0,0.0,0.0,0.0,0.0
transformer,C,weighted_sampling,2,validation,0.4084289248762933,0.3587981979460155,-0.04963072693027781,0.0,0.0,0.0,0.0,0.0,0.0
transformer,C,weighted_sampling,2,test,0.5280750980928918,0.5179892488167289,-0.01008584927616285,0.0,0.0,0.0,0.0,0.0,0.0
transformer,C,weighted_sampling,3,validation,0.39020915706836284,0.40037880031968126,0.010169643251318417,0.0,0.0,0.0,0.0,0.0,0.0
transformer,C,weighted_sampling,3,test,0.4421222480059219,0.4655124387582221,0.0233901907523002,0.0,0.0,0.0,0.0,0.0,0.0
transformer,C,weighted_sampling,4,validation,0.42321963962359366,0.3866842372329387,-0.03653540239065495,0.0,0.5833333333333334,0.5833333333333334,0.0,0.06862745098039216,0.06862745098039216
transformer,C,weighted_sampling,4,test,0.3527387078963939,0.3642276422764228,0.011488934380028903,0.0,0.0,0.0,0.0,0.0,0.0
lstm,C,weighted_sampling,1,validation,0.40779159862035436,0.4074660972357264,-0.0003255013846279464,0.0,1.0,1.0,0.0,0.05333333333333334,0.05333333333333334
lstm,C,weighted_sampling,1,test,0.4630544796584773,0.5000096210374783,0.036955141379000966,0.0,0.22388059701492538,0.22388059701492538,0.0,0.06263048016701461,0.06263048016701461
lstm,C,weighted_sampling,2,validation,0.38993628349480663,0.36804687541731435,-0.02188940807749229,0.0,0.058823529411764705,0.058823529411764705,0.0,0.09090909090909091,0.09090909090909091
lstm,C,weighted_sampling,2,test,0.5180764809438346,0.5098344723108713,-0.008242008632963316,0.0,0.0,0.0,0.0,0.0,0.0
lstm,C,weighted_sampling,3,validation,0.39312777530650306,0.3842129248323873,-0.008914850474115776,0.0,0.0,0.0,0.0,0.0,0.0
lstm,C,weighted_sampling,3,test,0.45851594968603804,0.4653540929466065,0.0068381432605684744,0.0,0.14285714285714285,0.14285714285714285,0.0,0.05660377358490566,0.05660377358490566
lstm,C,weighted_sampling,4,validation,0.42694260802912715,0.4026040994258369,-0.024338508603290232,0.0,0.5294117647058824,0.5294117647058824,0.0,0.10714285714285714,0.10714285714285714
lstm,C,weighted_sampling,4,test,0.374348174049606,0.3606192165015694,-0.013728957548036602,0.0,0.0,0.0,0.0,0.0,0.0
svm,C,weighted_sampling,1,validation,0.506268081002893,0.4059094676765184,-0.10035861332637458,0.5,0.5,0.0,0.26666666666666666,0.08333333333333333,-0.18333333333333335
svm,C,weighted_sampling,1,test,0.5057423550574236,0.44837808662571227,-0.05736426843171133,0.0,0.014925373134328358,0.014925373134328358,0.0,0.023255813953488372,0.023255813953488372
svm,C,weighted_sampling,2,validation,0.379491939661849,0.3263506146313883,-0.05314132503046071,0.058823529411764705,0.058823529411764705,0.0,0.037037037037037035,0.028985507246376812,-0.008051529790660223
svm,C,weighted_sampling,2,test,0.5043568389176954,0.4723001884101354,-0.03205665050756007,0.0,0.0,0.0,0.0,0.0,0.0
svm,C,weighted_sampling,3,validation,0.3844486634190374,0.3456759012314568,-0.03877276218758058,0.0,0.0,0.0,0.0,0.0,0.0
svm,C,weighted_sampling,3,test,0.4403787708797944,0.39014156242265,-0.050237208457144356,0.0,0.0,0.0,0.0,0.0,0.0
svm,C,weighted_sampling,4,validation,0.4062007307272231,0.3542222222222222,-0.05197850850500091,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.038461538461538464,0.05333333333333334,0.014871794871794873
svm,C,weighted_sampling,4,test,0.36817033012542844,0.33223210743442627,-0.035938222691002164,0.0,0.0,0.0,0.0,0.0,0.0
tcn,C,weighted_sampling,1,validation,0.4289865860568595,0.4155355864483232,-0.013450999608536296,0.0,1.0,1.0,0.0,0.03686635944700461,0.03686635944700461
tcn,C,weighted_sampling,1,test,0.5393976990103332,0.4761927703104174,-0.06320492869991579,0.0,0.11940298507462686,0.11940298507462686,0.0,0.0427807486631016,0.0427807486631016
tcn,C,weighted_sampling,2,validation,0.38791986407513207,0.3841724676497678,-0.0037473964253642578,0.0,0.23529411764705882,0.23529411764705882,0.0,0.08247422680412371,0.08247422680412371
tcn,C,weighted_sampling,2,test,0.5184977368795122,0.5106388915719545,-0.00785884530755765,0.0,0.0,0.0,0.0,0.0,0.0
tcn,C,weighted_sampling,3,validation,0.40173702223932367,0.3975278133562489,-0.004209208883074744,0.0,0.38461538461538464,0.38461538461538464,0.0,0.08849557522123894,0.08849557522123894
tcn,C,weighted_sampling,3,test,0.4594580119965724,0.4850523589246072,0.025594346928034806,0.0,0.09523809523809523,0.09523809523809523,0.0,0.07142857142857142,0.07142857142857142
tcn,C,weighted_sampling,4,validation,0.43120758315104607,0.4166219503790627,-0.014585632771983381,0.0,0.29411764705882354,0.29411764705882354,0.0,0.05291005291005291,0.05291005291005291
tcn,C,weighted_sampling,4,test,0.3691134200040496,0.35942026971631846,-0.009693150287731156,0.0,0.0,0.0,0.0,0.0,0.0
transformer,D,augmentation,1,validation,0.41041757118105576,0.45160948146547025,0.04119191028441449,0.0,0.0,0.0,0.0,0.0,0.0
transformer,D,augmentation,1,test,0.5326557684054466,0.5056455571919489,-0.02701021121349767,0.0,0.0,0.0,0.0,0.0,0.0
transformer,D,augmentation,2,validation,0.4084289248762933,0.3932938673857966,-0.015135057490496706,0.0,0.0,0.0,0.0,0.0,0.0
transformer,D,augmentation,2,test,0.5280750980928918,0.5321628560856205,0.004087757992728758,0.0,0.0,0.0,0.0,0.0,0.0
