model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,representation,window_size_frames,seed,balancing,scenario,strategy,configuration_id
svm,r0_flat,1,validation,alert,0.8927875243664717,0.903353057199211,0.8980392156862745,1014,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,validation,fatigue,0.18181818181818182,0.5,0.26666666666666666,4,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,validation,distraction,0.3776223776223776,0.3333333333333333,0.3540983606557377,162,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,test,alert,0.8666061705989111,0.8777573529411765,0.8721461187214612,1088,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,test,fatigue,0.0,0.0,0.0,67,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,test,distraction,0.6108490566037735,0.683377308707124,0.6450809464508095,379,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,validation,alert,0.9355168884339816,0.8462962962962963,0.8886728245017015,1080,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,validation,fatigue,0.02702702702702703,0.058823529411764705,0.037037037037037035,17,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,validation,distraction,0.15723270440251572,0.32894736842105265,0.2127659574468085,76,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,test,alert,0.9242227979274611,0.9083386378103119,0.9162118780096308,1571,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,test,fatigue,,,,0,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,test,distraction,0.6107142857142858,0.5836177474402731,0.5968586387434555,293,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,validation,alert,0.8814655172413793,0.8296146044624746,0.8547544409613375,986,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,validation,fatigue,0.0,0.0,0.0,13,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,validation,distraction,0.26108374384236455,0.34868421052631576,0.29859154929577464,152,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,test,alert,0.9549050632911392,0.8829553767373811,0.9175218548080578,1367,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
