model,scenario,strategy,subset,label,mean,std,median,minimum,maximum,fold_count,metric
lstm,A,none,test,alert,0.9249200687562905,0.0225894667143344,0.9314949212376613,0.8927789934354485,0.9439114391143911,4,precision
lstm,A,none,test,distraction,0.4274738164305806,0.17554783495083082,0.4221060729477781,0.22099447513812154,0.6446886446886447,4,precision
lstm,A,none,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
lstm,A,none,validation,alert,0.9123340272805794,0.024452013731938796,0.9150055394948673,0.8842105263157894,0.9351145038167938,4,precision
lstm,A,none,validation,distraction,0.26901861204104205,0.047819564654289125,0.2870305126726881,0.2,0.30201342281879195,4,precision
lstm,A,none,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
lstm,B,class_weights,test,alert,0.9325375765768824,0.02599719059110421,0.9346191803088355,0.898876404494382,0.9620355411954766,4,precision
lstm,B,class_weights,test,distraction,0.4183040715196292,0.19121643708104494,0.44518486478693015,0.20080321285140562,0.5820433436532507,4,precision
lstm,B,class_weights,test,fatigue,0.025842945874001773,0.03857913266732156,0.010869565217391304,0.0,0.08163265306122448,4,precision
lstm,B,class_weights,validation,alert,0.912512966818265,0.025882056497021303,0.9146403598886532,0.8808618504435995,0.9399092970521542,4,precision
lstm,B,class_weights,validation,distraction,0.2272219872202047,0.09173184551995155,0.23667644975204938,0.10689655172413794,0.3286384976525822,4,precision
lstm,B,class_weights,validation,fatigue,0.050098774829636074,0.035390902054076835,0.058530882992605476,0.0,0.08333333333333333,4,precision
lstm,C,weighted_sampling,test,alert,0.9330917224297532,0.026657571792296712,0.9392828364222401,0.8964241676942046,0.9573770491803278,4,precision
lstm,C,weighted_sampling,test,distraction,0.44727606240452755,0.20878657284285213,0.46191832858499526,0.20689655172413793,0.6583710407239819,4,precision
lstm,C,weighted_sampling,test,fatigue,0.01792547115933752,0.0207035437591958,0.01764705882352941,0.0,0.03640776699029126,4,precision
lstm,C,weighted_sampling,validation,alert,0.9148521838226025,0.022993420211732805,0.9136709892154073,0.8905529953917051,0.9415137614678899,4,precision
lstm,C,weighted_sampling,validation,distraction,0.22795808608733995,0.09004030321305424,0.24105809802012335,0.10810810810810811,0.32160804020100503,4,precision
lstm,C,weighted_sampling,validation,fatigue,0.07174997732014879,0.08890228466760379,0.04349995464029756,0.0,0.2,4,precision
lstm,D,augmentation,test,alert,0.9103075992540017,0.03728237059137989,0.9141574927382803,0.8645621181262729,0.9483532934131736,4,precision
lstm,D,augmentation,test,distraction,0.4200001240301149,0.16679474527094584,0.4417417815482503,0.2066115702479339,0.5899053627760252,4,precision
lstm,D,augmentation,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
lstm,D,augmentation,validation,alert,0.9119689734041896,0.025308687330350667,0.9105934543677745,0.8876889848812095,0.939,4,precision
lstm,D,augmentation,validation,distraction,0.266653753275631,0.08090067944832241,0.25290249433106576,0.18497109826589594,0.37583892617449666,4,precision
lstm,D,augmentation,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
svm,A,none,test,alert,0.909094161843893,0.03861434656329263,0.907432706742761,0.8666061705989111,0.9549050632911392,4,precision
svm,A,none,test,distraction,0.4355812532699326,0.20549272652786285,0.45762987012987016,0.21621621621621623,0.6108490566037735,4,precision
svm,A,none,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
svm,A,none,validation,alert,0.9088541204414926,0.02582737591584295,0.9092170380453048,0.8814655172413793,0.9355168884339816,4,precision
svm,A,none,validation,distraction,0.25762668177545645,0.09132647727195121,0.24782582253846622,0.15723270440251572,0.3776223776223776,4,precision
svm,A,none,validation,fatigue,0.05935415935415936,0.0826901304663895,0.027799227799227798,0.0,0.18181818181818182,4,precision
svm,B,class_weights,test,alert,0.9118264590916185,0.03771914019954286,0.9081827574044653,0.8725376593279258,0.9584026622296173,4,precision
svm,B,class_weights,test,distraction,0.3643372554529505,0.17076435486400351,0.340869481796524,0.2037037037037037,0.5719063545150501,4,precision
svm,B,class_weights,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
svm,B,class_weights,validation,alert,0.9073493708375244,0.021977867242947747,0.9062011124085025,0.8835063437139562,0.9334889148191365,4,precision
