model,scenario,strategy,subset,mean,std,median,minimum,maximum,fold_count
svm,D,augmentation,validation,0.4202939471415173,0.05971651409308602,0.394509421851044,0.38287790502980373,0.5092790398341775,4
svm,A,none,validation,0.4191023537027506,0.059257008142319115,0.3953246970731302,0.379491939661849,0.506268081002893,4
transformer,D,augmentation,validation,0.4139099529378248,0.025772465261387944,0.4053682314500162,0.3932938673857966,0.45160948146547025,4
tcn,A,none,validation,0.41246276388059033,0.02114868327982445,0.4153618041480916,0.38791986407513207,0.43120758315104607,4
tcn,D,augmentation,validation,0.4112622722691366,0.02102341407908997,0.4111975318097569,0.39095398886107385,0.4317000365959586,4
transformer,A,none,validation,0.4080688231873264,0.01359118835778983,0.4094232480286745,0.39020915706836284,0.42321963962359366,4
lstm,A,none,validation,0.4044495663626978,0.016891067021185074,0.4004596869634287,0.38993628349480663,0.42694260802912715,4
tcn,C,weighted_sampling,validation,0.40346445445835066,0.015559095828706232,0.4065316999022861,0.3841724676497678,0.4166219503790627,4
tcn,B,class_weights,validation,0.4029167871698471,0.016781197715560837,0.4051166623806156,0.38381767490112173,0.41761614901703537,4
lstm,D,augmentation,validation,0.4006237796228053,0.014378618382393548,0.39778508565723114,0.38663757594480486,0.42028737123195414,4
lstm,B,class_weights,validation,0.40044323123218106,0.050745353600033724,0.4006588059509274,0.33815165744779224,0.46230365557907716,4
transformer,C,weighted_sampling,validation,0.3922781335138759,0.026939163045085455,0.39353151877631,0.3587981979460155,0.4232512985568683,4
lstm,C,weighted_sampling,validation,0.39058249922781624,0.01805547536087159,0.3934085121291121,0.36804687541731435,0.4074660972357264,4
svm,B,class_weights,validation,0.38980143113613797,0.07092225275522508,0.36075771214141283,0.34372755381472925,0.49396274644699695,4
transformer,B,class_weights,validation,0.3877888834643401,0.022210972069091894,0.38803591962863415,0.36037836164034615,0.41470533295974593,4
svm,C,weighted_sampling,validation,0.35803955144039645,0.03397621445162083,0.3499490617268395,0.3263506146313883,0.4059094676765184,4
