model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,representation,window_size_frames,seed,balancing,scenario,strategy,best_epoch,best_training_loss,best_validation_loss,best_validation_macro_f1,configuration_id,inference_seconds,inference_windows_per_second,model_size_bytes,parameter_count,peak_gpu_memory_bytes,stopping_epoch,training_seconds
svm,r0_flat,1,validation,1180,0.823728813559322,0.5788954635108481,0.506268081002893,0.506268081002893,"[""alert"", ""fatigue"", ""distraction""]",[],4.972631199998432,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,,,,,,,,,,,,
svm,r0_flat,1,test,1534,0.7913950456323338,0.5203782205494335,0.5057423550574236,0.5057423550574236,"[""alert"", ""fatigue"", ""distraction""]",[],4.972631199998432,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,,,,,,,,,,,,
svm,r0_flat,2,validation,1173,0.8013640238704177,0.4113557313763712,0.379491939661849,0.379491939661849,"[""alert"", ""fatigue"", ""distraction""]",[],13.340794799998548,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,,,,,,,,,,,,
svm,r0_flat,2,test,1864,0.8572961373390557,0.7459781926252924,0.7565352583765431,0.5043568389176954,"[""alert"", ""distraction""]","[""fatigue""]",13.340794799998548,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,,,,,,,,,,,,
svm,r0_flat,3,validation,1151,0.7567332754126846,0.3927662716629301,0.3844486634190374,0.3844486634190374,"[""alert"", ""fatigue"", ""distraction""]",[],17.180193399999553,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,,,,,,,,,,,,
svm,r0_flat,3,test,1500,0.8493333333333334,0.49372322081722225,0.4403787708797944,0.4403787708797944,"[""alert"", ""fatigue"", ""distraction""]",[],17.180193399999553,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,,,,,,,,,,,,
svm,r0_flat,4,validation,1125,0.7982222222222223,0.43449036399803664,0.4062007307272231,0.4062007307272231,"[""alert"", ""fatigue"", ""distraction""]",[],13.603763699997216,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none,A,none,,,,,,,,,,,,
svm,r0_flat,4,test,1095,0.7579908675799086,0.5576757076007451,0.5522554951881427,0.36817033012542844,"[""alert"", ""distraction""]","[""fatigue""]",13.603763699997216,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none,A,none,,,,,,,,,,,,
lstm,temporal_r0,1,validation,1180,0.7813559322033898,0.42411181727421043,0.40779159862035436,0.40779159862035436,"[""alert"", ""fatigue"", ""distraction""]",[],2.997760800000833,False,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,1,1.076000134716619,1.0296862638602822,0.40779159862035436,qualification_r0_w60_b1024,0.021169799998460803,55739.780257054605,651410,51651,376863232,16,2.997760800000833
lstm,temporal_r0,1,test,1534,0.6988265971316818,0.5284554620001035,0.4630544796584773,0.4630544796584773,"[""alert"", ""fatigue"", ""distraction""]",[],2.997760800000833,False,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,1,1.076000134716619,1.0296862638602822,0.40779159862035436,qualification_r0_w60_b1024,0.030271199997514486,50675.22926497641,651410,51651,376863232,16,2.997760800000833
lstm,temporal_r0,2,validation,1173,0.8567774936061381,0.4121182586094867,0.38993628349480663,0.38993628349480663,"[""alert"", ""fatigue"", ""distraction""]",[],3.922486100000242,False,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,12,0.46640566767514513,0.374555635241393,0.38993628349480663,qualification_r0_w60_b1024,0.023510700000770157,49892.17675192891,652626,51651,377037312,27,3.922486100000242
lstm,temporal_r0,2,test,1864,0.8851931330472103,0.7694692409130508,0.777114721415752,0.5180764809438346,"[""alert"", ""distraction""]","[""fatigue""]",3.922486100000242,False,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,12,0.46640566767514513,0.374555635241393,0.38993628349480663,qualification_r0_w60_b1024,0.03540129999964847,52653.43363149119,652626,51651,377037312,27,3.922486100000242
lstm,temporal_r0,3,validation,1151,0.7775847089487402,0.40458969431692826,0.39312777530650306,0.39312777530650306,"[""alert"", ""fatigue"", ""distraction""]",[],3.7950619000002916,False,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,11,0.4020146477930259,0.5268204708419397,0.39312777530650306,qualification_r0_w60_b1024,0.02412489999915124,47710.04232309748,652498,51651,377037312,26,3.7950619000002916
lstm,temporal_r0,3,test,1500,0.89,0.47854181906851984,0.45851594968603804,0.45851594968603804,"[""alert"", ""fatigue"", ""distraction""]",[],3.7950619000002916,False,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,11,0.4020146477930259,0.5268204708419397,0.39312777530650306,qualification_r0_w60_b1024,0.03046119999999064,49242.97138656589,652498,51651,377037312,26,3.7950619000002916
lstm,temporal_r0,4,validation,1125,0.8471111111111111,0.4553277338603426,0.42694260802912715,0.42694260802912715,"[""alert"", ""fatigue"", ""distraction""]",[],6.599656700000196,False,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,24,0.35246437701510025,0.4428368062178294,0.42694260802912715,qualification_r0_w60_b1024,0.02691950000007637,41791.26655386647,653970,51651,377037312,39,6.599656700000196
lstm,temporal_r0,4,test,1095,0.7817351598173516,0.571259824633138,0.5615222610744091,0.374348174049606,"[""alert"", ""distraction""]","[""fatigue""]",6.599656700000196,False,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,24,0.35246437701510025,0.4428368062178294,0.42694260802912715,qualification_r0_w60_b1024,0.029652000001078704,36928.36908000018,653970,51651,377037312,39,6.599656700000196
tcn,temporal_r0,1,validation,1180,0.8330508474576271,0.4268755935422602,0.4289865860568595,0.4289865860568595,"[""alert"", ""fatigue"", ""distraction""]",[],382.1272772000011,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,7,0.3150767494105022,0.42942934127177224,0.4289865860568595,qualification_r0_w60_b1024,3.9676679000003787,297.40392334748765,637244,49379,188977152,22,382.1272772000011
tcn,temporal_r0,1,test,1534,0.8305084745762712,0.5536620815872523,0.5393976990103332,0.5393976990103332,"[""alert"", ""fatigue"", ""distraction""]",[],382.1272772000011,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,7,0.3150767494105022,0.42942934127177224,0.4289865860568595,qualification_r0_w60_b1024,5.708207899999252,268.73583213396995,637244,49379,188977152,22,382.1272772000011
tcn,temporal_r0,2,validation,1173,0.8772378516624041,0.3950617283950617,0.38791986407513207,0.38791986407513207,"[""alert"", ""fatigue"", ""distraction""]",[],305.0764182999992,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,5,0.5098828602937678,0.36189903583114,0.38791986407513207,qualification_r0_w60_b1024,3.951308200001222,296.86370706279945,637052,49379,189763584,20,305.0764182999992
tcn,temporal_r0,2,test,1864,0.8905579399141631,0.7587697668709523,0.7777466053192683,0.5184977368795122,"[""alert"", ""distraction""]","[""fatigue""]",305.0764182999992,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,5,0.5098828602937678,0.36189903583114,0.38791986407513207,qualification_r0_w60_b1024,6.113239499998599,304.9119865172021,637052,49379,189763584,20,305.0764182999992
tcn,temporal_r0,3,validation,1151,0.7819287576020851,0.41555460659762994,0.40173702223932367,0.40173702223932367,"[""alert"", ""fatigue"", ""distraction""]",[],383.3797777,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,8,0.38581888331170877,0.5293528201474406,0.40173702223932367,qualification_r0_w60_b1024,3.7808227999994415,304.4310883864142,637372,49379,189763584,23,383.3797777
tcn,temporal_r0,3,test,1500,0.8913333333333333,0.4790295049987808,0.4594580119965724,0.4594580119965724,"[""alert"", ""fatigue"", ""distraction""]",[],383.3797777,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,8,0.38581888331170877,0.5293528201474406,0.40173702223932367,qualification_r0_w60_b1024,5.100818799997796,294.0704343390218,637372,49379,189763584,23,383.3797777
tcn,temporal_r0,4,validation,1125,0.8462222222222222,0.4644268774703557,0.43120758315104607,0.43120758315104607,"[""alert"", ""fatigue"", ""distraction""]",[],340.01912399999856,True,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,4,0.41290829999252726,0.46443741949399314,0.43120758315104607,qualification_r0_w60_b1024,3.49234129999968,322.13346387425054,636924,49379,186113024,19,340.01912399999856
tcn,temporal_r0,4,test,1095,0.765296803652968,0.5680568806505838,0.5536701300060745,0.3691134200040496,"[""alert"", ""distraction""]","[""fatigue""]",340.01912399999856,True,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,4,0.41290829999252726,0.46443741949399314,0.43120758315104607,qualification_r0_w60_b1024,3.396938699999737,322.34906093539007,636924,49379,186113024,19,340.01912399999856
transformer,temporal_r0,1,validation,1155,0.8571428571428571,0.39755454379110294,0.41041757118105576,0.41041757118105576,"[""alert"", ""fatigue"", ""distraction""]",[],6.9278790999997,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,G2,R0,150,42,,A,none,5,0.2903022467855836,0.37811593666221155,0.41041757118105576,qualification_r0_w150_b1024,0.03663610000148765,31526.281453350657,267763,17443,570034688,20,6.9278790999997
transformer,temporal_r0,1,test,1528,0.831151832460733,0.5358806688789121,0.5326557684054466,0.5326557684054466,"[""alert"", ""fatigue"", ""distraction""]",[],6.9278790999997,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,G2,R0,150,42,,A,none,5,0.2903022467855836,0.37811593666221155,0.41041757118105576,qualification_r0_w150_b1024,0.04178400000091642,36569.02163427358,267763,17443,570034688,20,6.9278790999997
transformer,temporal_r0,2,validation,1160,0.853448275862069,0.4540574093646719,0.4084289248762933,0.4084289248762933,"[""alert"", ""fatigue"", ""distraction""]",[],8.022920000003069,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,G2,R0,150,42,,A,none,15,0.3613035149252723,0.38355440641271654,0.4084289248762933,qualification_r0_w150_b1024,0.033240199998544995,34897.50362665616,268851,17443,570034688,30,8.022920000003069
transformer,temporal_r0,2,test,1841,0.8924497555676263,0.7921126471393376,0.7921126471393376,0.5280750980928918,"[""alert"", ""distraction""]","[""fatigue""]",8.022920000003069,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,G2,R0,150,42,,A,none,15,0.3613035149252723,0.38355440641271654,0.4084289248762933,qualification_r0_w150_b1024,0.04813389999981155,38247.47215594847,268851,17443,570034688,30,8.022920000003069
transformer,temporal_r0,3,validation,1125,0.8,0.39365621626751124,0.39020915706836284,0.39020915706836284,"[""alert"", ""fatigue"", ""distraction""]",[],6.004303699999582,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,G2,R0,150,42,,A,none,3,0.3854414101156564,0.5087802194025781,0.39020915706836284,qualification_r0_w150_b1024,0.041176299997459864,27321.541762358454,267507,17443,570034688,18,6.004303699999582
