model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,scenario,balancing,seed
svm,r0_flat,1,validation,alert,alert,856,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,validation,alert,fatigue,9,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,validation,alert,distraction,149,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,validation,fatigue,alert,2,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,validation,fatigue,fatigue,2,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,validation,fatigue,distraction,0,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,validation,distraction,alert,97,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,validation,distraction,fatigue,0,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,validation,distraction,distraction,65,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,test,alert,alert,753,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,test,alert,fatigue,6,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,test,alert,distraction,329,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,test,fatigue,alert,21,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,test,fatigue,fatigue,0,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,test,fatigue,distraction,46,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
