model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,configuration_id,representation,window_size_frames,scenario,balancing,seed
svm,r0_flat,1,validation,alert,0.8963350785340314,0.8441814595660749,0.8694768918232605,1014,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,validation,fatigue,0.18181818181818182,0.5,0.26666666666666666,4,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,validation,distraction,0.3037383177570093,0.4012345679012346,0.34574468085106386,162,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,test,alert,0.8725376593279258,0.6920955882352942,0.7719118400820092,1088,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,test,fatigue,0.0,0.0,0.0,67,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,test,distraction,0.4343891402714932,0.7598944591029023,0.5527831094049904,379,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,2,validation,alert,0.9334889148191365,0.7407407407407407,0.8260196179659267,1080,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,2,validation,fatigue,0.02127659574468085,0.058823529411764705,0.03125,17,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,2,validation,distraction,0.11152416356877323,0.39473684210526316,0.17391304347826086,76,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,2,test,alert,0.9244415243101183,0.8956078930617442,0.9097963142580019,1571,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
