model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,configuration_id,representation,window_size_frames,scenario,balancing,seed
svm,r0_flat,1,validation,1180,0.7822033898305085,0.5818053424891031,0.49396274644699695,0.49396274644699695,"[""alert"", ""fatigue"", ""distraction""]",[],8.869200400004047,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,test,1534,0.6786179921773142,0.4839966824460655,0.4415649831623332,0.4415649831623332,"[""alert"", ""fatigue"", ""distraction""]",[],8.869200400004047,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,2,validation,1173,0.7084398976982097,0.3981003707525896,0.34372755381472925,0.34372755381472925,"[""alert"", ""fatigue"", ""distraction""]",[],8.156199299999571,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,2,test,1864,0.8465665236051502,0.7396128202510086,0.7437495084803523,0.4958330056535682,"[""alert"", ""distraction""]","[""fatigue""]",8.156199299999571,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,validation,1151,0.7193744569939183,0.3949236681968613,0.3754281041406502,0.3754281041406502,"[""alert"", ""fatigue"", ""distraction""]",[],7.624128599993128,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,test,1500,0.8146666666666667,0.4892404291636186,0.41709246731148575,0.41709246731148575,"[""alert"", ""fatigue"", ""distraction""]",[],7.624128599993128,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,validation,1125,0.7111111111111111,0.3766469038208169,0.3460873201421755,0.3460873201421755,"[""alert"", ""fatigue"", ""distraction""]",[],9.067271499996423,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,test,1095,0.726027397260274,0.5517922856753441,0.5417479265002842,0.36116528433352285,"[""alert"", ""distraction""]","[""fatigue""]",9.067271499996423,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,validation,1180,0.7203389830508474,0.5560790902671244,0.4059094676765184,0.4059094676765184,"[""alert"", ""fatigue"", ""distraction""]",[],3.5192775999967125,True,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,test,1534,0.6766623207301173,0.48258810228695115,0.44837808662571227,0.44837808662571227,"[""alert"", ""fatigue"", ""distraction""]",[],3.5192775999967125,True,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,validation,1173,0.6811594202898551,0.37191453579482475,0.3263506146313883,0.3263506146313883,"[""alert"", ""fatigue"", ""distraction""]",[],3.910122599998431,True,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,test,1864,0.8004291845493562,0.7233474472249801,0.708450282615203,0.4723001884101354,"[""alert"", ""distraction""]","[""fatigue""]",3.910122599998431,True,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,validation,1151,0.6594265855777585,0.36974217999359454,0.3456759012314568,0.3456759012314568,"[""alert"", ""fatigue"", ""distraction""]",[],6.480405900001642,True,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
